,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X601898.SH,X600585.SH,X601600.SH,X600795.SH,X601991.SH,X600157.SH,X600688.SH,X600362.SH,X600111.SH,X600886.SH,X600188.SH,X600027.SH,X601158.SH,X000027.SZ,X000883.SZ,X601992.SH,X600583.SH,X000539.SZ,X600021.SH,X000709.SZ,X600352.SH,X600309.SH,X000060.SZ,X000898.SZ,X600307.SH,X000792.SZ,X600808.SH,X600098.SH,X000629.SZ,X000825.SZ,X600489.SH,X600008.SH,X002075.SZ,X002470.SZ,X600547.SH,X002353.SZ,X600660.SH,X600578.SH,X600863.SH,X600219.SH,X000831.SZ,X600549.SH,X601699.SH,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.713555307004786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00638588824912969,0,0,0,0,0,0.0632977081041809,0,0,0,0,0.147926198319733,0.0238162173188686,0,0,0,0,0,0,0,0,0.0103050113439105,0.016836551366932,0,0,0,0,0,0,0,-0.0122033705983625,0,0,0,0,0.00521492755383211,0,0,0,0,0,0,0
X600028.SH,0.574817843014134,0,0,0,0,0.0329414065983128,0.0982740834183994,0,0,0,0,0.0574686107992385,0,0,0,0,0,0,0,0,0,0.0531893740497451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782810092489574,0,0,0,0,0,0,0,0,0,0,0,0,-0.00534192784267814,0.0103790154068934,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0153046925237977,0.178390518856234,0,0.0606300201205382,0,0,-4.33680868994202e-19,0,0,0,0.063534525388989,0,0,0,0,0,0,0,0,0,0,0,0,0.00356222338813121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00410164697253085,0,0.101961535951861,0.1798563934874,0,0,-0.0149913284076568,-8.67361737988404e-19,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.00442331015287692,0.0448687702963834,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108024723486872,0,0,0.0337782375222654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.189664052315703,0,0,0.329355819456612,0,0,0.109372949645921,0,0.0139742559629303,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0294902469868703,0.0608194114750795,0,0,0,0.0556933117499312,0,0,0,0,0.156635921019291,0,0.110167350317281,0,0,0,-8.67361737988404e-19,0,0.0964764407931943,0.0477198980252764,0,0,0,0,0,0,0,0,0,0,0.0382628584214867,0,0,0,0,0,0,0,0.228515243927491,0,0,0,0,0,0,0,-0.00192566630896396,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.123336765423942,0,0,0,0,0,0,0,0,0.120416042746568,0,0,0,0,0,0,0.0196478509722812,0,0,0.217236845832655,0,0,0.103125573503944,0.175422338805018,0,0,0.0504222001586636,0,0,0,0,0,0.00908225097403569,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015334295169207,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.306771172969324,0,0,0.113302751036082,0,0.215709457833287,0,0.0687696832738301,0,0,0,0,0,0.123029249742479,0,0,0.0221459686992242,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103512084196554,0.0243074167437649,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0342030087468473,0,0,0,0,0,0,0.2741765844693,0,0,0,0,0,0,0,0,0,0,-0.00154194393987161,0,0,0,0,0,0,0.0319236447324615,0,0,0,0,0.059186910089522,0,0,0,0,0,0,0.0917656027011866,0,0,0,0,0,0,0.00434474647887127,0,0,0,0,0,0
X601600.SH,0,0.107126469186534,0.305214833059302,0,0,0,0,0,0,6.93889390390723e-18,0.123708583795299,0.00417063087506001,0,0,0,0,0,0,0,0,-0.013776912199636,-6.7762635780344e-21,0,0,0.0757255202352379,0,0,0,0,0,0,0,0.243956642400254,0,0,0,0,0,-0.0575969378969071,-0.203942874712012,0,0,0,0,0,0,0.263175796469941,0,0,0,0,-0.00337005594139798,0.0162025729665714,0,0,0,0,0,0
X600795.SH,0,0,0,0.0702217481848509,0,0,0,0,0.147893218769741,0,0.117359876310299,0.0500662692183889,0,0,0,0.172069838389594,0,0.0577667408372739,0,0,0,-0.0823177547634309,0.00252656168520696,0,0.0596092499030382,0,0,0,0,0,0,0,0,0.00524247267843047,0,0,0,0,0,0,0,0,0,0,0.324374629162111,0,0,0,0,0,0,-0.000955230517160885,0.0141101135027858,0,0,0,0,0,0
