,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X601992.SH,X600111.SH,X600299.SH,X600188.SH,X601158.SH,X600160.SH,X000027.SZ,X600352.SH,X600583.SH,X000539.SZ,X600309.SH,X600623.SH,X600660.SH,X000792.SZ,X002466.SZ,X000629.SZ,X000709.SZ,X000630.SZ,X000898.SZ,X600098.SH,X000012.SZ,X000883.SZ,X000060.SZ,X600021.SH,X002470.SZ,X600547.SH,X600489.SH,X600578.SH,X002004.SZ,X600315.SH,X600863.SH,X300072.SZ,X600022.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.34074714307076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116568092188187,0,0,0,0,0.0185494753822273,0,0,0.125330919831299,0,0,0,0,0.00486891671159358,0,0.0674174890283612,0.025096237264613,0.00251774801152662,0,0,0.00896218054940464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135871188419538,-0.00142593249321164,0.0517344664211547,0,0,0,0,0
X600028.SH,0.260078844743544,0,0.0914983402240908,0,0,0.0516013081288903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198082758274623,0,0,0,0,0.195243146193407,0,0,0,0,0,0,0.0450455514589351,0,0,0,0,0,0,0.00600906458821229,0,0,0,0,0,0,0,0,0,0,0,0.0148504592723472,-0.00248021282320871,0.0245933238362629,0,0,0,0,0
X601088.SH,0.104757232968637,0,0,0,0,0,0,0.295927082369534,0,0,0,0,0,0.0268924499351703,0,0,0,0,0,0.0127755202554108,0,-1.73472347597681e-18,0,0,0.0143468312955335,0,0,0,0,0,0,0,0.12759406645212,0,0,0,0.0153604818217056,0,0.0526800806034592,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160210610063022,0.0831435752649123,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122091214956741,0,0,0.00646407529977121,0,0,0.128212263385052,0,0.0715916504602825,0,0,0,0,0,0,0,0.0114212774573642,0,0,0,0,0,0.0503068459823632,0.0517852449126695,0,0.0325030112793039,0,0,0,0,0,0,0,0,0,0,0,0,0.0213926959253616,0,0,0,0,0,0
X600010.SH,0,0,0.0509538326707278,0,0,0,0,0,0,0,0,0,0,0.00974331696361276,0.0455521546571639,0,0.0119914160880366,0.407202798798327,0,0.0590691964542378,0,0,0,0,0,0,0,0,0,0,0,0.130129708073038,0,0,0,0,0,0,0.0896734320726223,0,0,0,0,0,0.00905436706160873,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.157173985794518,0,0,0,0,0,0,0,0,0.00361783267420726,0,0,0.129924464222201,0,0,0,0,-0.00802887761551255,0.00467497726429202,0,0.0267015014790196,0,0.0427310724333287,0.119478128180523,0,0,0,0,0,0.0490495258363498,0,0.210386859264282,0,0,0,0,0,0.0392179168647473,0,0,0,0,0,0,0,0,0,0,0,-0.0251680930067127,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975400463202073,0,0,0.195997237555278,0.00636085518950662,0,0,0,0.0155484229913445,0,0.0233494903194576,0,0,0,0,0,0,0,0,0.0694348546845756,0,0,0,0,0,0.0257376266532601,0,0,0,0.187003240385506,0,0,0,0,0,0,0,-4.33680868994202e-19,0.020103093362392,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.107815047255317,0,0,0,0.173384654271507,0,0.12659080899503,0.0548227418680603,0,0.0293220309627357,0.0263998532462536,0,0.0314731455324575,0,0,0,0,0,0,0.0986410835238894,0,0,0,0,0,0.0545283149248725,0.0189042897459341,0,0.0629827169336077,0,0,0,0,0,0,0,0,0,0,0,0,0.00319422140391808,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.062937268149197,0,0,0,0.0546456911805229,0,0.136767956299327,0,-0.00936986995354649,0,0,0.0640446895637856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0046041245474614,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.130888926247336,0,0,0,0.000344105863516794,0.253195708923398,0,0.0159606908311979,0,0,0,0,0,0,0,0,0,0,0.158912346382792,0,0,0,0,0,0.152131504427754,0,0,0,0,0,0,0,0,0,0,0,-0.0033257071133327,-1.73472347597681e-18,0,0,0,0,0,0
