,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X601898.SH,X600019.SH,X600886.SH,X600795.SH,X600585.SH,X601600.SH,X600688.SH,X601991.SH,X000709.SZ,X600157.SH,X600027.SH,X600111.SH,X600583.SH,X600188.SH,X600362.SH,X002075.SZ,X000539.SZ,X601158.SH,X600309.SH,X002353.SZ,X601992.SH,X600352.SH,X000027.SZ,X000883.SZ,X600021.SH,X000898.SZ,X002470.SZ,X000878.SZ,X601918.SH,X600863.SH,X600307.SH,X000629.SZ,X600660.SH,X600808.SH,X000792.SZ,X600098.SH,X000060.SZ,X600578.SH,X000825.SZ,X600489.SH,X600315.SH,X600008.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.83551948507524,0.114463185204236,1.73472347597681e-18,0,-0.0108918454687222,0,0,0,-8.67361737988404e-19,-0.0795675444040623,-0.036937878937369,0,0.0597830610732773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272040846989458,0,0,0,0,0,0,0,0,0,0.0157569623305841,0,0,0,0,0,-0.0612892278581971,0.00589160853863555,-0.0155845386500963,0,0,0,0,0,0
X600028.SH,0.460436690957326,0,0,0,0,0.00956621507221096,0.16260592001685,0,0,0,0,0,0,0,0,0,0,0.0882440823533168,0,0,0,0,0.0840868358543695,0,0,0,0,0,0,0,0,0,0,0.0523805838986158,0,0,0,0,0,0,0,0,0,0,0.007365190843466,0,0,0,0,0.017390236894003,0.0244773880464583,0,0,0,0,0
X601088.SH,0,0.266656475662809,0,0.123183470999306,0.00745607142915744,0.124515828384524,0,0,0,0.00938252284824449,0,0,0.0685699803695061,0,0,0,0,0,0,0,0,0,0,0.0402498969975216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056936049821672,0,0,0,0,0,0,0,0,-0.0117425705804657,0.00644760142687252,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164455640918194,0.0627146248054824,0,0,0,0,0,0,0,0,0,0,0,0.052436307216865,0,0,0,0,0,0,0.353852940228609,0,0,0,0,0,0,0,0,0,0,-0.0138882231410981,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.193276057589329,0,0,0,0,0.0888954527986121,0,0.119197367374615,0,0,0.0830199608677891,0,0,0,0,0,0,4.33680868994202e-19,0.0438358662014467,0,0,0,0,0,0,0.0213718724468126,0,0,0.0133893073499,0,0,0,0,0.0887935655692906,0,0,0,0.211985897175345,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.147497572518004,0.0895655112030979,0,0,0,0,0,0.0985163094863228,0.164808242619418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213954295857668,0.0382660015242112,0,0,0,0,0,0,0,0.292762304744351,0,0,0,0,0,0,0.0098159096174722,0,0,0,0,0,0
X600019.SH,0,0.0571268455710981,0.153068325704275,0,0.168012288647397,8.67361737988404e-19,0,0,0,0,0,0.00910954335705175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211916896702412,0,0,0,0.163040127407342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0.20540828782154,0,0,0,0,0,0,0.117038326698356,0,0,0,0,0,0,0,0.147679612671043,0,0,0,0,0,0,-0.153483114415732,0.102391638093418,0,0.0781227613015907,0,0,0,0,0,0,0,0,0,0.0861570185402012,0.0603282434444008,0,0,0,0,0,-0.00228325547115387,-0.0295318074120425,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0596579971182678,0.0156216874212375,0,0,0,0.0752952911926504,0,0.0502934169953963,0,0,0,0,0,0,0,0,0,0,0,0.205923881940836,0,0,0,0,0.283700493536831,0,0,0,0,0,0,0,0.101930557556295,0,0,0,0,0,0.00193451650450866,-0.00182077529171123,0,0,0,0,0,0
X600585.SH,0.0642985288889965,0,0.0973128211229849,0,0.0823484212178819,0,0.0514603232286805,0,0,0,0.107512828693534,0,0,0,0,0,0.0345421568136776,0.0130790638837332,0,0,0,0,0,0,0,0,0,0.0229255591990504,0,0,0,0,0,0,0.01841335665677,0,0,0.262148925877482,0,0,0,0.0194321326179585,0,0,0,0,0,0,-0.00774227180947013,0,0,0,0,0,0,0
