,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X601600.SH,X600019.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X000708.SZ,X600803.SH,X600027.SH,X002466.SZ,X600160.SH,X000786.SZ,X000301.SZ,X601991.SH,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X002128.SZ,X000630.SZ,X000408.SZ,X601168.SH,X600985.SH,X600096.SH,X600176.SH,X000877.SZ,X000933.SZ,X600378.SH,X600995.SH,X002353.SZ,X002271.SZ,X000883.SZ,X600352.SH,X000027.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.175190389750192,0,0.121294629924634,0,0,0.145331032965487,0,0,0,0,0,0,0,0,0,0,0.227207634025592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360623886092412,0,0.00328910889329343,0,0,0,0,0,-0.227024463647859,0,0.166977361257823,-0.0275905185753124,0,0,0,0,0,0.0332366690443444,0,0,0,0,0,0,0
X601088.SH,0.0397479247062482,0,0,0,0.307564638748678,0,0,0,0.00254768361877599,0,0,0,0,0,0,0,0,0,0,-0.0369974639713464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118863625833741,0,0,0,0.0216338399435365,0,0,0,0,0,0,0,0,0,0,-0.0223560609087468,-0.0441158301125264,0,0,0,0,0
X600028.SH,0.59925545117943,0,0,0,0.0671830436361562,0,0,0,0,0,0.043250620093713,0,0,0,0,0,0,0,0,0,0,0,0,-0.057827861095075,0,0,0,0.0464445369740557,0,0,0,0,0,-0.0304607538971407,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.134319399495889,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0359608610356143,0,0,0,0,0,0,0,0,0,0,0,0.136115966683964,0,0.121280468780458,0,0,0,0.0634940359350859,0,0,0,0.374366906096539,0,0,0,0.11270125810364,0,0,0,0,0,0,0,0,0,0,0.0383440789907796,0,0,0,0,0,0,-0.100631732799073,-0.0210719984389849,0,0,0,0,0,0
X601898.SH,0.0862138134704593,0.489650047229996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308176837691078,0.183520976653374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020773463507987,0,3.46944695195361e-18,0,0.00388328521720879,0,0
X600188.SH,0,0,0,0,0.065672167217953,0,0,0,0,0,0,0,0,-0.1531964347688,0,0,0,0,0,0,0,0,0.144170640544179,0,0,0,0,0,0,0,0,0,0.480899028125348,0,0,0,0,0.1346210051473,0,0,0,0,0.239514773401653,0,0,3.46944695195361e-18,0,0,0.0632059768752437,0,0,0,0,0.210309790642685,0,0,0,0,0
X600660.SH,0,0,0,0.0665912654190411,0,0,0,0,-0.0808572364624193,0,0,0,0,0,0,0,0,0.10008280712652,0,0,-0.0683408028393577,0,0,0.0146769842547378,0,0.418421241184396,0,0,0,0,0,0,0,0,0,0,-0.00472447730538845,-0.0920621529256135,0,0,-0.36761916111788,0,0,0,0,0.214047251526069,0,0,0,0,0,0,0,-0.122752226029955,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992069871409682,-0.0273348483930691,0.0937057084640671,0,0,0,0.259449825623745,0,0.338679666111737,0,0,0.0132920768489138,0,0,0.287365079398305,0,0,0,0,0.121606186058524,0.0245325248466037,0,0,0,0,0,0,0,-0.0332503315936674,0.00526183650578516,-0.0172115965141779,0,-0.165744342314325,0,0,0,0
X600019.SH,0,0.256086478452695,0.0967314415302897,0,0,0,0,0,0,0,0,0,0.232621813895328,0,0,0,0,0,0,0,0.355673689918221,0,0,0,0,0,0.0202211858637416,0,0,0,0.0267412149229978,0,0,0,0,0,0,0,0,0,0.0190983938883556,0,0,0,0,0,0,0,0,0,0,-0.049775363448622,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0540312220804846,0,0,0,0.13124699268841,0,0,0,0,0.210693808321431,0,0,0,0,0,0,0,0,0,0,0,0.128617322874294,0,0.140469950805011,0,0,0,0,0,0,0,0,-0.0175600686749085,0.0690219455048699,0,0,0.25604183440387,-0.033997513308713,0,0,0,0,0,0,-0.0486954356078479,0,0,0.0710816358082032,0,0,0,0,-0.0825097565041964,0,0
