,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600660.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X600010.SH,X000792.SZ,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X000301.SZ,X600489.SH,X000708.SZ,X600160.SH,X002466.SZ,X600803.SH,X600027.SH,X601991.SH,X000807.SZ,X000786.SZ,X600426.SH,X000983.SZ,X600176.SH,X600219.SH,X000877.SZ,X601699.SH,X002128.SZ,X000630.SZ,X000408.SZ,X600157.SH,X600096.SH,X601168.SH,X000933.SZ,X600985.SH,X002353.SZ,X600352.SH,X600378.SH,X002271.SZ,X600688.SH,X600995.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.184838130680147,0,0.0379452390718488,0.0963734948942017,0,0,0,0,0,0,0,0.118324780079005,0,0,0,0,0,0,0.231458760088282,0,0,0,0.223685121724867,0,0,0,0,0,0.00143724814301105,0,0,0,0,0,0,0.0235434202585093,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315825457595785,0,0
X601088.SH,0,0,0,0,0.422881782006242,0,0,0,0,0,0,0,0,0,0,0,-0.10108057184401,0,0,0,0,0,0,0,0,0,0,0.0477931241198974,0,0,0,0,0,0,0,0.0769846708203439,0,0,0.0489113714209449,0,0,0.0260527586412465,0,0,0,0,0,0,0,-0.00776050363739699,0,0,0,0,0,0,-0.0234396455670663,0,0
X600028.SH,0.0632604774439494,0,0,0,0,0,0,0,0,0,0,0,0,0.0582207359996908,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0254280056308362,0.00756328365349437,0,0,0,0,0,0,0,0,0,0,-0.0367020876992008,0.00095410090496522,0,0,0,0.379139424149107,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0473662248780858,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130784353609013,0,0,0,0,0,0,0.0804031036475772,0,0,0,0,0,0.250776903042633,0,0,0.158399125470278,0,0,0,0,0,0,0,0.0111466270138895,0,0,0,0,0,0,0,0.141655860828922,0,-0.0151177941612087,0,0,0,0,0,0,0
X601898.SH,0.171113007225576,0.30224914501261,0,0,0,0,0,0,0,0,0,0,0,0.00997780069034363,0,0,0,0,0,0,0,0.215320661471806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0392928723465279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303588273004132,0,0
X600019.SH,0.230213819536381,0.0324428151696371,0,0,0,0,0,0,0,0.21484063360094,0,0,0,0,0,0,0,0,0,0.0764320181952488,0,0,0,0,0.110123164582188,0,0,0,0,0,0,0,0,0.088530418454598,0,0,0,0,0.0794543345528479,0,0,0,0,0,0,0,0,0,0,0,0,-0.018764916763193,0,0,0,0,-0.0115562565430923,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.140288757518057,0,0,0,0,0,0,0,0,0,0,0,0,0.260812468934404,0,0,0,0,3.46944695195361e-18,0,0,0,0.216594342616761,0.014332331686564,0,0,0,0,0,0,0,0,0,0.152604961903731,0,0,0,5.42101086242752e-20,0,-0.036969302959787,0,0.0847247969690825,0,0,-0.0996219899083715,0,0
X600660.SH,0.108770728115939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310503969543877,0,0,0,0.0559943292875848,0,0.3266618653694,0,0,0,0,0.109949055835835,0,-0.052931536096205,0,-6.93889390390723e-18,0,0,0,-0.0583261673008488,0,0.0800920644215652,0,0,0,-0.413419675851867,0,0.0652227133747805,0,0,0,0,0,0,0,-0.0852181804844823,0,0,0,0,-0.00721500988552397,0,0
X600585.SH,0,0,0,0,0.0825175915354591,0.0270874778138686,0.124653976547837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297777315094191,0,0.0415066294793149,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.310273743971253,0,0,0,0,0,0,0,0,0.0650148756251925,0,0,0,0,0,0.0202226467869007,0.00913799766251047,0,0,0,0,0,0,-0.0432949207010147,0,0
X601600.SH,0,0,0,0,0,0.185807255304741,0,0,0,0,0,0,0,0,0,0,-0.186344367700783,0,1.48015228139354,0,0,0,0,0,0,0,0,0.0816082506912982,0,0,0,-0.000831495635788285,0,-0.201735690875787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0740202389116014,0,0,0,0,-0.032661698292146,0,0
