,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X601600.SH,X600660.SH,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X600111.SH,X600176.SH,X002466.SZ,X600516.SH,X000709.SZ,X002460.SZ,X600299.SH,X000629.SZ,X002075.SZ,X600808.SH,X600352.SH,X600219.SH,X300072.SZ,X000825.SZ,X600801.SH,X601158.SH,X000553.SZ,X600489.SH,X002110.SZ,X000786.SZ,X600339.SH,X000883.SZ,X600583.SH,X601699.SH,X000301.SZ,X000408.SZ,X000792.SZ,X600426.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.218880956370138,0,0,0,0,-0.0967095575703255,0.025752457374507,0.0507525610651282,0.075393866248655,0,0,0,0.0560736730172323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109915564128822,0,0,0,0,0,0,0,0.216233437872173,0,0.0192723339057098,0,0.336510229875669,0,0,0,0,0,0,0.0350959991679881,0,0,0,0,0,0
X600028.SH,0.0232910789875567,0,0,0,0.534765448253085,0.110738212340397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712525671225742,0.00753145664450451,0,0,0,0,0,0,0.0202889897502991,0,0,0,0,0,0,0,0,0,0.307707504015063,0,0,0,0,0,0,-0.142524131627285,0.0038939564676903,0.0122795589805668,0,0,0,0,0,0
X601088.SH,0.0231491430775333,0,0,7.84852236026129e-05,0,0,0,0,0.0315652280989235,0,0,0,0,0,0.0828138414011637,0,0,0,0,0.107152254797402,0,0,0,0,0,0,0,-0.167387122617724,0.0301554921905417,0,0,0,0,0,0,0,0,0,0,0.34031007334011,0,0.0314842711415337,0,0.0770788701860148,0,0,0.0537693472008592,0,0,0,0,0.0335658846520003,-0.0788658176627882,0,0,0,0,0,0
X600585.SH,0,0,0.15925850595915,0,0,0.0964733239373935,0.0510792795917011,0,0,0,0,0,0,0,0,0,0,0,0,0.0272420904220721,0,0,0,0,0,0,0,0,0.0123466508325012,0.0129266561908265,0.0322035542076941,0,0,0,0,0.46394679568005,0,0,0,0,0,0,0,0,0,0,0,0.130158327825244,0.0644272384500358,0,0,0.0133787459669235,-2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0.0956439034692695,0.0903579326234519,0,0,0,0,0.0225793113612604,0,0,0,0,0,0,0.0514725205338637,0,0,0,0.0368603168779347,0.533853012358073,0,0,0,0,0,0,0,0,0.0143345545310928,0,0,0,0,0,0,0.176349951666178,0,0,0,0.0872667650495302,0,0,0,0,0,-0.0271935504833259,0,0,0,0,0,-0.00424410036240033,0,0,0,0,0,0.153348777829713,0
X600011.SH,0,0,0,0.0543287210532684,0,0,0,0.0829322998522297,0,0,0,0,0.0123068695096767,0,0,0.0643551030914205,0,0,0.69389620361054,0,0,0,0,0.066752600997124,0,0,0,0,-0.0144626528402282,0,0,0,0,0,0,0,0,0,-0.20907629045324,0,0,0,0,0,0,0,0,0.00857519099233855,0,0,-0.0937574269387872,-0.00969432615974463,0.0497969146146935,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.409137085545119,0,-0.246494492206639,0,0.0863162911146095,0,0.252696332912985,0,0,0,-0.56811592494361,0.101625872554626,0.175284889373429,0,0,0,0,0,0,0,0.270169758225607,0,-0.27021377485932,0,0.0328902101656376,0,0,0,0,-0.0557830770712737,0
X600010.SH,0.136984256924451,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770677271295574,0,0.204281318434957,0,0,0,0,0.0217586652792533,0.039419013900056,0,0,0,0,0.0514172340614773,0.0695070860271028,0,0,0,0.0409175170937021,0,0.0581894624670939,0,0,0,0,0,0.0577944945645721,0,0,0,0.00316090385392683,2.16840434497101e-19,0,0,0,0,0,0
X601898.SH,0.099852044495534,0,0,0,0,0,0,0,0,0.117164704943211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288454858303981,0,0,0,-0.0439010858347062,0,0,0,0,0,0,0,0,0,0,0.0904367664612938,0.0647892211150399,0,0.0878488487510476,0,0,0.293785782611805,0.238810585054272,0,0,0,0,0,0.0187028816760888,1.35525271560688e-20,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.155547221853928,0,0,0,0.0562420950507324,0,0,0,0,0,0,0,0,0,0,0,0,0.0690027621822235,0,0,0,0,0,0,0,0,0,0,0,0.0399995176606813,0,0,0,0,0,0,0,0.0275791875793009,0,0.163164594922855,0,0,0.0778516019380768,-0.014553663321005,-0.0188234844192814,0,0,0,0,0,0
