,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600019.SH,X600660.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X600803.SH,X000708.SZ,X600489.SH,X600160.SH,X600027.SH,X000301.SZ,X002466.SZ,X601991.SH,X000807.SZ,X000983.SZ,X600426.SH,X000786.SZ,X600176.SH,X600219.SH,X601699.SH,X002128.SZ,X000877.SZ,X600157.SH,X000630.SZ,X000408.SZ,X600096.SH,X600985.SH,X601168.SH,X000933.SZ,X002353.SZ,X600352.SH,X600995.SH,X000883.SZ,X600378.SH,X600688.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.05410236096788,0,0,0,0,0,0,0,0,0.0944578322089815,0,0,0,0,0.25804321957024,0,0.286583037908173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0925709972530206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429096025810933,0,0
X601088.SH,0,0,0,0,0.493771504902362,0,0,0,0,0,0.0894491930470077,0,0,0,0,0,-0.0807555131306847,0,0,0,0,0,0,0,0.0570981199227936,-0.0300472378556561,0,0,0,0,0,0,0,0,0.0879908016912217,0,0.0805123098646914,0,0,0,0,0,0.0025817448425734,0,0,0,0,0,0,-0.050880640830684,0.00413209594983204,0.00882427561364414,0,0,0,0,-0.00139031346865257,0,0
X600028.SH,0.0733750008842251,0,0,0,0.165688795219482,0,0,0,0,0,0,0,0,0,0.0563316256175822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.0374007819005911,0,0,0,0.228302649379744,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0.00444456015462818,-0.0402063589137891,0,0,-0.0208545512421861,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805057263875726,0.0936124370081787,0,4.33680868994202e-19,0.239003949436675,0.033440177136938,0,0,0,0,0,0,0.167553358638272,0,0,0,0,0,0,0.159061640196699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107922338414316,0,-0.0277224076853603,0,0,0,0,0,0,0
X601898.SH,0,0.471482875639043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187402110000847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0192017136986458,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.177709628177304,0,0,0.0253865876210443,0,0.0510470502245787,0,0,0,0,-0.02837478836741,0,0
X600019.SH,0.0896602049403235,0.164316875251432,0,0,0,0,0,0,0,0.212222451749833,0,0,0,0,0,0,0,0,0,0.154222893730941,0,0,0,0,0.0419171486085541,0,0,0,0,0,0,0,0,0,0,0.0849131891910478,0.125004385612383,0.0480807670488314,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211659097059471,0,0,0,0,-0.00754229473671299,0,0
X600660.SH,0.0532847736045426,0,0,0,0,0,0,0.0182139860158781,0,0,0,0,0,0,0,0,0,-0.0820054607818968,0,0,0,0.102819165506679,0.323850424556983,-0.0389617000331533,0,0,0,0,0,-0.0692138920567046,0,-0.000605862232103779,0,0,-0.0334454299599481,0,4.33680868994202e-19,0,-8.67361737988404e-19,0,0,0,-0.0817149602700223,0.140569239808872,-0.231145079675012,0,0,0,0,0,0,-0.0413086285999183,0,0,0,0,-0.0319308133724352,0,0
X600188.SH,0,0,0,0.328625910981232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12165816504128,0,0.00194133640288294,0,0,0,0.0503915618712564,0,0,0,0.172957114484313,0,0,0.0336090789117798,0,0,0,0,0,0,0,0,0,0,0.0731882675906982,0,0,0,0,0,0.0640486469980981,0,0,-0.0646478853982376,0,0
X600585.SH,0,0,0,0,0.25655512318943,0,0,0,0,0,0,0,0,0,0.0562694479110909,0,-0.0557596730274659,0,0,0,0,0.0476684318201462,0.26861889758133,0,0,0,0,0,0,0,0.133798753297057,0,0,0,0,0.29102448583709,0,0,-1.73472347597681e-18,0,0,0,-0.0173962348766827,-0.0169583750552227,0,0,0,0,0,0.0526982478905018,0,0.078471191043184,0,0,0,0,0.00622581431759169,0,0
X601600.SH,0,0,0,0,0,0.283140286856427,0.0783940113410714,0,-0.049952422951918,0,0,0,0,0,-0.00976761523734872,0,-0.273675398451282,0,1.31131637100574,0,0,0,0,0,0,0,0,0.322448864484706,0,0,0,0,0.0531105417583004,0,0,-0.22008551401274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018698189361112,0,0,0,0,-0.0235784251269789,0,0
X600886.SH,0,0,0,0,0,0,0.00344547867137243,0,0,0,0,0.0797450664402408,0,0,-0.23392767290333,0.414069742806068,-0.0405000357479432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070773158892102,0,0,0,0,0,0,0,0,0.0259922808830972,0,0,0,0,0,0,-0.0716693337048647,0,-0.0413305908177242,0.061073749884726,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0631773562763229,0,0.0107565169888469,0,0,0,0,0,0,0,0,0,0,0.100855299034643,0,0,0,0,0.00882807521099971,0,0,2.77555756156289e-17,0,0,0,0,0.218154770215089,0,0,0.0682836668598048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00744492185930723,0,0.0427350404252878,0,0,-0.01690114572427,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0558584563301907,0.0141480015912954,0,0,0,0,0,0,0,0,0,0,0,0.561577891381624,0,0,-1.73472347597681e-18,0.0510565378830692,0,0,0,0,0.00212017151266056,0,0,0,-0.0726901087391165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00932091199504008,0,0,0,0,0,0,0
