,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600547.SH,X600188.SH,X601600.SH,X600795.SH,X600362.SH,X600489.SH,X601991.SH,X600111.SH,X600157.SH,X600027.SH,X600886.SH,X002466.SZ,X601992.SH,X600623.SH,X600299.SH,X000792.SZ,X600309.SH,X600660.SH,X300072.SZ,X600549.SH,X000723.SZ,X600583.SH,X601158.SH,X600352.SH,X000883.SZ,X000709.SZ,X002075.SZ,X000898.SZ,X000983.SZ,X002460.SZ,X600176.SH,X000539.SZ,X000027.SZ,X002470.SZ,X000060.SZ,X000630.SZ,X002407.SZ,X600021.SH,X000012.SZ,X600612.SH,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.113926744696899,-0.0165261146834496,0,0,0,0,0,0.0263271572378076,0,-0.0107673253161488,0,0,0,0,0,0.0580549326039701,0,0,0,0.0219964137469671,0,0,0,0,0.0572245016574225,0,0.043685210236528,-0.040178518069581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119422892444371,0,0,0,0,0,0,0,0,0,0.0433470261125661,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.187137689516924,-0.0444415929655278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0942651952939931,0,0.0366540203648818,0,0,0,0,0,0,0,0.0253333894978996,0,-5.42101086242752e-20,0,0,0,0,0.0038526989799988,0,0,0,0,0,0,0,0,0.0106080614820103,0.0477486335805733,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0675326819426946,0,-0.0126654975283483,0.107262439927154,0,0,0,-0.0253059605422341,0,0,0.0607294363008998,0,0,0,0,0,0,0.0926830160865854,0,0,0,0,0.0272204938137407,0,0,0.0619900593335212,0,0,0.011225959039979,0,0,0,0,0,0,0,0,0,-0.0391727367986843,0,0,0,0,0,-0.0122218324725637,0.0590385506031527,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0906293430439362,0.133576592501731,0,0.131616561940968,0.096669597210397,0,0,0.0194816702596409,0,0,-0.0946822874876371,0,0,0,0,0,0.0281398498175449,0,0,0,0.0264270961988724,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.0464311543964508,0,0,0,0,0,0,0,0,0.153917337637776,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.012354462966849,0.0307255922889011,0.0624768234515053,0,0,0,0,0.409424928089197,0,0,0,0,0,0,0,0,0,0,0,0,0.0663709333126006,0,0,0,0,0,0,0,0,0,0,0,0,0.0406961372414377,0,0,0,0,0,0.0602734841190343,0,0,-0.00836516400032542,-0.0366727935259501,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.135026505067559,0,0,0,0,0,0.0668976088084796,0,0,0,-0.161152604559615,0,0,0,0,0,0.203841611076868,0,0.150695460160862,0,0,0,0,0,0,0,0,-0.0770090793561371,0.11104234664657,-0.0168073702707347,0,0,0,0,0,-3.46944695195361e-18,0.0760527859404829,0.233555655166341,0,0,0,-0.105796694453278,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0432690816687036,0,0,0,0,-0.0462948201412883,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.130542311343159,0,0,0,0,0.0773721454982405,0.0657514014866122,0,0,0.0870540123787777,0.0471429148509763,0,0,0.0135936678812329,0.0274584202234788,0,0,0,0,0.0452126709851553,0,0,0,-0.0526173530650552,0,0,0,0,0,0,0.0433775285389614,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.348984237358143,0,0,0.0159201028754442,0.0902009811962065,0.0370790220466451,0,0,0,0,0,0.0540475350107861,0,0,0,0,0,0,0.0342718713965336,0,0.117653821418507,0,0,0,0,0.0679015822947285,0.016509951912509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,-0.0311660378821044,0.0948691232491209,0,0,0,0,0,0,0,0,0,0.12616340320263,0,0,0.246784923399032,0.0108309507617901,0,0,0.18138354798697,0.0425204865566412,0,0,0,0.0382357487172151,0,0,0.168511109119136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52971112481963,0,0,0,0,0,0,0.160189058052278,0,-0.0168821853638014,0,0.0393327016052659,0,0,0.0911558344968188,0,0,0,0,0,0,0,-0.0134713179735408,0,0.022952808964191,-0.0473569784082484,0,0,0,0,0,0,0,0,0,0.0322180490003116,0,0,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.121816138097297,0,0,0,0,0,0,0,-0.011354781005793,0,0,0,0,0,0,0,0,0.156252463165209,0.00872212668931132,0,0,0,0,0,-0.0288493419269895,0,0,0,0.0111458403665067,0,0.0875504276533459,0,0.437377179866529,-0.170336363455112,0,0,0,0,0.271383023387857,0,0.185135323255465,0,0,0,0,0,0.0194773195461133,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796242100142482,0,0,0,0,0,0.0639029387214019,0,0,0,0,0,0.103029526383103,0.165781400416739,0,0,0,0,0,0.0612868080771088,0,0,0,0,0,0,0,0.303175418081702,0,0,0,0,0,0,0,-0.0239739721834261,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0376646526536929,0.158842517783683,0,0,0.00705966374342769,0,0.0126860029199262,0.036144298289128,0,0,0,0,0.0102758332888655,0.0534872241302737,0,0,0,0,0,0.0530151585729133,0,0,0,0,0,0.0155400739426265,0,0,0.0109811159052189,0,0,0,0,0,0,0.023217924393249,0,0,0,0,0,0,0,0,0,0,0,-0.0198641194638497,0.0569647796048088,0,0,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0.0295435433036735,0,0,0,0.0424691815286159,0,0.111175467346575,0,0,0,0,0,0,0,0,0,0,0,0.0576548136297796,0,0,0,0,0,0,0,0,0.162434932000315,-0.0248899145436109,0,0,0,0,0,0.427005179435062,-1.73472347597681e-18,-0.0263355025160954,0,0,0,0,0.0143096078652006,0.00215238562686782,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,-0.0310253383041629,0,0.63397805516734,0,0,0,0,0,0,0,0,0,0,-0.104120313497963,0,0,0,0,0,0,0,-0.0491794415464296,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0311604898306291,0,0,0.0900217055837169,0,0,0,0.129407903500384,-0.246686217744096,0,0,0.0780433583761256,0,0
