,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X601600.SH,X600547.SH,X600886.SH,X600188.SH,X600795.SH,X600362.SH,X600027.SH,X000898.SZ,X601992.SH,X600111.SH,X600176.SH,X600516.SH,X002466.SZ,X000629.SZ,X600299.SH,X000709.SZ,X002460.SZ,X600808.SH,X600352.SH,X600219.SH,X300072.SZ,X000825.SZ,X600801.SH,X600339.SH,X601158.SH,X002110.SZ,X000553.SZ,X600489.SH,X600583.SH,X000883.SZ,X000786.SZ,X601699.SH,X600426.SH,X000301.SZ,X000630.SZ,X000792.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.148492987816319,0,0,0,0,-0.0811102278580475,0,0,0.164885349056256,0,0.0281912777742758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.059566827062223,0,0,0.204911185590514,0,0,0,0,0,0,0,0,0,0.410122061415205,0,0,0,0,0.0168374220966403,0.0181580382637259,0,0,0,0,0,0
X600028.SH,0.0273827433862977,0,0,0,0.502830486740833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604278303018862,0,0,0,0.187934766882975,0,0,0,0,0,0,0,0.00279015019204525,0,0,0.0568778122622531,0,0.230774031290984,0,0,0,-0.0432268353426649,0,0,0,0,-0.138034434625559,-0.0145038873859907,0.0284435791364954,0,0,0,0,0,0
X601088.SH,0.0794131238410195,0,0,0,0,0,0,0,0.145220494783181,0,0,0,0,0.0129361130963845,0,0.0345672774135908,0,0,0,0.0874181115570587,0,0,0,0,0,0.00837704354839842,-0.0536968691554905,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0487589416230843,0,0.207591821809313,0,0,0,0,0,0,0,0,0,0,0,0,0.0350499645128156,-0.0650593191735666,0,0,0,0,0,0
X600585.SH,0,0,0.121644506285668,0,0,0.0642458471564601,0.0746729600531188,0,0,0,0,0,0,0,0,0,0,0,0,0.0551747012039366,0,0,0,0,0,0.0411907115720248,0,0,0,0,0,0,0,0,0.50118975479826,0,0,0,0,-0.0135268113225832,0,0,0,0,0.0298151480200705,0,0,0.120833466746803,0,0,0.00638136006412816,0,0,0,0,0,0,0
X600019.SH,0,0.15114290888385,0,0.0491701196898524,0,0,0,0,0,0,0,0,0,0,0,0.0401781556575028,0,0,0.0393097723037824,0.52340102222621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871697465245289,0,0,0,0.20071051053645,0,0.00239856123518516,0,0,0,0,0,0.184355469372663,0
X600011.SH,0.025447453155624,0,0,0.0407498951883704,0,0,0,0.0665868489946055,0,0.0160228186098418,0,0,0.0103096119769083,0,0.137131230726394,0,0,0,0.722367198319595,0,0,0,0,0,0.0130808881344584,-0.0230335550007656,0,0,0,0,0,0,0,0,0,0.00779232610629035,0,0,0,-0.185510366251287,0,0,0,0,0,0,0,0,0,-0.0773018437018538,-0.0120632667346745,0.0450096994824087,0,-0.0737709181944179,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.33043779209424,0,0,0,-0.197488177991466,0,0,0,0.257591286384468,0,0,0,0,0,-0.52871824568436,0,0,0.329885420140265,0,0.153299838951381,0,0,0,0.0692134040066745,-0.312166178400173,0,0.0276002698827059,0,0.153060918019213,0,0,-0.258346134963169,0
X600010.SH,0.103130515463611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204886339314379,0,0,0.163841896160765,0,0,0.17159850794956,0.00693511175991174,0,0,0,0,0,0,0,0.051008750124146,0,0.0554345694122451,0,0,0,0,0,0,0,0,0,0,0,0.0842106302945241,0.0909110715425304,0,0,0,0,0,0,0,0,0
X601898.SH,0.117978976539778,0,0,0,0,0,0,0,0,0.107823279116323,0,0,0,0,0,0,0,0,0,0,0,-0.00225459220883494,0,0,0,0,-0.0372167382486591,0,0,0,0,0,0,0,0,0.0669277735196905,0,0,0,0.068150594454245,0,0,0,0.298490939500885,0,0.221842399198012,0,0,0.0996872408965668,0,0.0223953561918351,-0.0127151661123959,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.235356252455179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029286128367504,0.053430130996185,0,0,0,0,0,0,0,0,0,0,0.0666653568384882,0.00455729134633896,0,0,0,0,0,-8.67361737988404e-19,0,0.163185640427363,0,0.105550304781386,-0.0152829852599743,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0589448600675814,0,0,0,0,0,0.135672716265527,0,0,0,0,0,0,0.135523919360668,0,0,0,0,0,-3.46944695195361e-18,0.0238420218425747,0.0521958323555897,0,0,0,0,0,0.0431731996284086,0,2.16840434497101e-19,0,0,0,0,0,0.0610624380887989,0,0,0,0.336566725859093,0,0,0,0,0.0338138617457234,-0.0159021918530839,0.101030771964648,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0.177154162254412,0,0,0,0,0,0,0,0.0476610286426618,0,0,0,0,0,0,0,0,0,0,0.360478579437319,0,0,0,0,0,0,0,0,0,0,0.0973715835498547,0,0,0,0,0,0,0,0,0.051410264545696,0.0359646882578588,0,0,0,0,0,-0.0714579836937282,0
