,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X002466.SZ,X600111.SH,X600547.SH,X600157.SH,X600362.SH,X600886.SH,X600188.SH,X601992.SH,X600660.SH,X600299.SH,X000792.SZ,X600309.SH,X601158.SH,X600489.SH,X600583.SH,X000883.SZ,X000709.SZ,X300072.SZ,X600352.SH,X000539.SZ,X000898.SZ,X002460.SZ,X000723.SZ,X002407.SZ,X000027.SZ,X600549.SH,X000630.SZ,X002470.SZ,X600021.SH,X600098.SH,X002075.SZ,X600176.SH,X000012.SZ,X000983.SZ,X000060.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0585153683168946,0,0,0,0,0,0.0134536285501252,0.0213903070282151,0,0,0,0,0,0,0,0.00965835994469618,0,0.194064724637321,0,0,0.0881679142168989,0.0395941419998975,0,0,0,0,0,0,0,0,0,0,0,0.0465357674347193,0,0.0215508330221045,0,0.0191446129552641,0,0,0,0.0258189547577438,0,0,0,0,0,0,0,0,0
X600028.SH,0.041010991040045,0,0,0,0,0,0,0.065735165982708,0,0,0,0,0,0,0,0,0,0,0,0,0.0218190888543115,0,0,0,0,0.0745427113007308,0,0,0.265105165456555,0,0,0,0.0106466976646249,0,0,0,-0.0605964804642193,-3.46944695195361e-18,0,0.0303400631364352,0,0,0,0,0,0.00313247975657241,0,0,0,0,0,0.00119649800578497,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.199010497658668,0,0.0234669589672827,0,0,0.0642510658941513,0,0.030075083994739,0,0,0,0,0,0,0,0,0,0.0445525463086717,0,0.204521803525376,0,0,0.0322602939469154,0,0,0,0,0,0,-0.0831232853846929,0.104818941980135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312897360980257,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0476887525046546,0.0415701049670197,0,0,0,0,0.374906371046525,0,0,0,0,0,0,0.0410521915454318,0,0,0,0,0.0308038015121089,0.0137043594984812,0,0,0.0809875756352963,0,0,0,0,0,0,0,0,0,0,0.00573743932320783,0,0,0,0,0,0,0,0,0,0,0,-0.0170163766672373,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123871104058077,0,0.275609869781656,0,0.0726001251573996,0,0,0,0,0,0,0,0,0,0.0524215172984885,0.00320154907199736,0,0,0,0,0,0,0,0.130586430079274,0,0,0.135359919728712,0,0,0,0,0,0,0.109733029929151,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0170654069751002,0,0,0,0,0.0289405795908245,0,0,0,0,0,0,0,0,0,0,0,0,0.00582069234033621,0,0,0,0.0385659735690562,0,0.153606036624581,0,0.162465646302635,0,-6.93889390390723e-18,0,0,0.0646593534320055,0,0,0,0,0.0499416164915231,0.0632757539508983,0,0,0,0,0,-0.032179201473633,0.00268937160348292,0,0,0,0,0,0
X600585.SH,0,0,0.123989134428046,0,0,0,0,0,0,0,0,0,0,0.0338125645152572,0,0.212702678973498,0,0,0,0,0,0.195651528954503,0,0,0,0.00546760545718225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156151285942935,0,0,0,0,0,0,0,0,0,0,0,-0.0267400724505976,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.0116875278117269,0,0,0,0,0,0,0.0423649612620757,0.0677030602610164,0,0,0.117986474028528,0,0,0,0,0,0.234524641687128,0,0,0,0,0.225551318684775,0,0,0,0,0,0,0,0.0474572352126961,0,0,0,0,0.0375149266701334,0.0882161848381514,0,0,0.0861980256066001,0,0,-0.0507545702112047,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410176712021668,0,0,0,0,0,0.0251544711114949,0.0625072028905778,0,0,0,0.168850316403521,0,0.102229688620511,0,0.197682154284751,0,0,0,0.106731589413464,0,0,0.0413450556015408,0,0,0,0.0102294030133363,0.00807403122946101,0.110530346562252,0,0,0,0,0,-0.0136088676065782,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0.275507162549608,0,0.0556390217619431,0,0,0,0,0,0,0,0,0,0,0,0,0.0733635895430352,0,0,0,0.124450914158719,0,0,0,0,0,0,0,0.0497301183246732,0,0,0,0.170764801672716,0.0221101551656276,0,0.0979651983188486,0,0,0,0,0,0,0,1.0842021724855e-19,0.097719018763501,-0.254318985290626,0,-0.0203522837789104,0,0,0,0,0,0,0
