,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X002466.SZ,X600111.SH,X000786.SZ,X600010.SH,X600188.SH,X600886.SH,X600176.SH,X600011.SH,X600426.SH,X000027.SZ,X601991.SH,X600803.SH,X600489.SH,X600795.SH,X600219.SH,X600352.SH,X000807.SZ,X600801.SH,X000932.SZ,X600315.SH,X000898.SZ,X600688.SH,X000408.SZ,X000825.SZ,X002080.SZ,X002353.SZ,X600157.SH,X600486.SH,X000959.SZ,X300037.SZ,X002409.SZ,X601699.SH,X000830.SZ,X000883.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.232617003613659,0,0,0,0,0,0,0,0,0,0,0,0.0433680709709953,0,0.0211342302089648,0,0,0.00304476343178296,0.024735379195936,0,0,0,0.0428032282869697,0.0407258124335957,0,0,0,0,0,0,0,0,0,-0.00369910434302682,0,0.0287068355921048,0,0.0913932827637813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123559551670364,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0725706002459454,0,0,0.00185234159022992,0,0,0,0,0,0,0,0.110234132893962,0.013964887009891,0,0,0,0,0,0,0.0322308354160574,0,0.00330633281390122,0.0336025755071757,0.146598891296393,0,0,0,-0.09416702839163,0,0,0,0,0,0,0,0.0813570899588927,0.0156880508047827,0,0,0.0814552103817661,0,0,0,0,-0.0266552947331671,0,0
X601088.SH,0,0,0,0,0,0.00882631107199189,0,0,0,0,0,0,0.0149686295869466,0,0,0,0,0,0,0.0581560096065181,0,0.0556269974024012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0651112464092735,0,0,0,0,0.0834135953895203,0,0,0,0.0189614923210263,0.00814023386862123,0,0,0.018622087679254,0,0,0,0,0.0112690298878854,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133797997426345,0,0,0,0.119930295770499,0,0.201450852973759,-0.0252309707606786,-0.047017710706214,0,0,0,0,0,0,0,0,0,0,0,0,0.128007085622735,0,0,0,0,0,0.264899405480568,0,0,0.125261992706711,0,0,0,0,-0.019351869708093,0,0,0,-0.032035791335619,0,0
X600585.SH,0,0,0,0,0,0.0255370932951896,0,0,0,0,0,0,0,0,0,0,0.0502830435306185,0,0,0,0,0,0,0,-0.0334103057051186,0,0,0,0,0,0,0,0.166183659315867,0.0902492732780248,0,0,0,0.0130773141917564,0,0,-0.0105456576277247,0,0.039541144268943,0.00250011975836587,0,0,0,0.0136545530142013,0,0,0,0,0,0,0,0,-0.0144909710041132,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0113722894457833,0,0,0,0,0.0228626034183087,0,0.665094227589394,0,0,0.140341046622763,0,0,0,0,0,0,0,0,0,0,0,0,0.0116713864580943,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.342840500843455,0,0,0,-0.0494493022702349,0,0,-0.0189127124763963,-0.0111932020100996,0,0,0,-2.16840434497101e-19,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512018904929316,0,0,0,0,0,0,0,0,0,0,0,0.0501429220113333,0,0.387248296012133,0.0893637802057949,0.0151978383904714,0,0,0.148357624978302,0,0,0,0,0,0,0,-0.00599584894960499,0,0.0906295237919129,0,0,0,-0.00450645603273269,0,0,0,-0.0291533311474667,0,0
X002271.SZ,0,0,0,0,0,0,-0.012432180464573,0,0,0,0,0,0,0,0.0185568462886846,0.122352164398057,0,0,0,0,0,0.0237739760663392,0,0.17192168337642,0,0,0,0.0764241069791873,0,0,0,0.0601298046116897,0,-0.240679938169484,0,0,0,0.181978567131859,0,0.118952922831801,-0.0267168668522021,0,0,0,0.0243310930828283,0,0,0,0,0,0,-0.0293892924214468,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0102217803077986,0,0,0,0,-0.12181301497145,0,0,0.122029376342901,0,0.0667521393936596,0,0.0841397979481265,0,0,0,0,0,0,-0.0392597671399155,0,0.0252689276154733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208229164601499,0,0.193551395560673,0,0,-0.0542765228543687,-0.0978464883325983,0,0,0,0,0,0,0,-0.01660706237208,0,0
X000708.SZ,0,0,0,0.0564478354300072,0,0,0,0,0,0,0,0,0,0,0,0,0.14184772158684,0,0,0,0,0,0,0,-0.044174568774124,0,0,0,0,0,0,0.0366353566224586,0,0.00441187388450196,0.245389614237325,0.169057372642323,0.191508100363381,0,-0.067828096079375,0,0.388364939489312,0,0,0.107383775862701,0,0.18211058158323,-0.0723620894628876,0,0,0,0,0,0,0,0,0,0.0206711735725752,0,0
