,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600111.SH,X600019.SH,X600011.SH,X000708.SZ,X600660.SH,X600010.SH,X000877.SZ,X002271.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600426.SH,X600176.SH,X600362.SH,X000408.SZ,X601991.SH,X600096.SH,X000629.SZ,X600803.SH,X000983.SZ,X600348.SH,X000723.SZ,X600027.SH,X300073.SZ,X000786.SZ,X600160.SH,X002080.SZ,X600219.SH,X600141.SH,X601699.SH,X002353.SZ,X600549.SH,X600157.SH,X600378.SH,X000933.SZ,X300037.SZ,X600801.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0329154414573018,0.0451722929985143,0,0,0,0,0,0,0.0177925837572699,0,-0.0605521110424162,0,0,-0.0137402016152159,0,0,0,0,0,0.0254565867337728,0,0,0,0,0,0,0,0,0.190925716895018,0.00777672584916278,0,0,0,-0.1440672335656,0,-0.0244402532602255,0,0,0.0242445883839497,0,0,0.112915908118434,0,0,0,0,0.109443872132364,-0.0882790391754583,0.0124266440245396,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.00652716580500069,0.217067370175064,0.102834031310611,0,0,0.153575125353313,0,0,0,0,0.050732006262724,0,0,0,0,0.00617340675979606,0,0,0,0,0,0,0,0,0,0,-0.0894137115201252,0,0,0,0,0,0,0.0162831711256121,0,0,0,0,0,0,0,0,0,0.360237875148566,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.0391183914944825,0,0,0.0605773285168651,0,0,0,0,0.0170742197672295,0,0,0,0,0,0,0,0,0,0,0,0.0195164569691632,0,0,0,0,0,0,0,0,0.0123448028934148,0,0.0364764190949455,0,0,0,0,0,0,0,0,0,0,0.0370580709466003,0,0,0,0.00625786476672075,0,0,0.0824567084577203,0,0.00196992697060214,0,0,0,0,-0.0291088086203867,0,0
X600309.SH,0,0.0798056970655816,0,0,0,0,-0.0164376860415994,0,0,-0.102153356847004,0.0665500202275876,0,0,0,0.0401418129488243,0,0.00779359983185262,0,0,0,0,0,0,0.0690658915447437,0.0816167185889354,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0158630406191584,0,0,0.0144789802002823,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016239278797829,0,0
X600188.SH,0,0.222721253774333,0,0,0,0,0,0,0,0,0.20997567418421,-0.0652948404057825,0,0,0,0,0,0,0,0,0,0,-0.0921372564080177,0,0,0,0,0,0,0.116744765889245,0,0.0556878003272405,0.172698338690801,0,0,0,0,0,-0.0338633521110917,0,0,0.286093566253138,0,0,0,0,0,0,0,0,0,-0.0487566094405806,0,0,0,0,0,0,0
X002466.SZ,0,-8.67361737988404e-19,0,0,0,0,0.561928146031167,0,0.116957005171786,0.0463213699872967,0,0,0,0,0,0,0.144006013693525,0,0,0,0,0,0,0,0,0,0.045964027019133,-0.0233906643776017,0,-0.183665468961461,0,0,-0.0413833106337947,0,0,0,-0.0244147527494988,0,0.0895492417693561,0,0.214863564581579,0,0,0,0,0,0,0,0,0,0,0,0.0217215899242365,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.204944690863308,0,0,0.0631335160630096,0,0,0,0,0,0,0,0,0,0.0617018484482932,0,0,0,0,0.0129441386140768,0,0,0,0,0,0,0,0,0,0,-0.0798692423337556,0.0415277796934757,0,0,0,0,0.123448306875754,0,0,0,0,0,0.163064646520819,0.220021609857131,0,0,0,0,-0.0459751891629368,0,0,0,0.0487929768029038,0,0
X600585.SH,0,0,0,0,0,0,-0.0109091516478996,0,0,0,0,0,0,0,0,0,-0.00434466405839276,0,0.184438546939989,0,0,0,-0.0386043354022943,0,0,0,0,0.0594694324057338,0.0736915979437926,0,0,0,0,0.0176261559764849,0,0,0,0,0,0,0,0,0,0,0,0,-0.00476982415742232,0,0.347052728760397,0,0,0,-0.0456106226558181,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.343616354555379,0.0711272366816529,0,0,0,0,0,0,0.174264223331281,0,0,0.0304218041627929,0,0,0,0,0,0,0,0,0,0.0143057772014593,0,0,0,0,0,0.138819862203058,0,0,0,0,0,0.0090997563126087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0783274397380785,0,0
X000301.SZ,0,0,0,-0.156799142663992,-0.130412399159215,0.359996577894077,0,0,0,0,0,0,0,0,0.196840404470508,-6.93889390390723e-18,0.192446698224211,0,0,0,0,0,0,0,0,0,0.197070925612373,-0.0748592701098079,0,0,0,-0.020777580851737,0.0993595568869015,0.0520558487677534,0,0.0438736751109623,-0.0424347979136588,0,0.0899493281732012,0,0,0,0,0,0,0,0,0.0098474046590729,0,0,0,-0.163323310096066,-0.106180914446372,0,0,0,0.0548519074318394,0,0
