,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X600011.SH,X000877.SZ,X601898.SH,X601600.SH,X600010.SH,X002271.SZ,X600547.SH,X000708.SZ,X600660.SH,X000301.SZ,X600886.SH,X600362.SH,X600426.SH,X600176.SH,X000723.SZ,X000983.SZ,X000807.SZ,X000408.SZ,X600219.SH,X601699.SH,X000786.SZ,X600803.SH,X600096.SH,X600795.SH,X601991.SH,X002353.SZ,X002080.SZ,X000630.SZ,X600489.SH,X600688.SH,X300073.SZ,X600157.SH,X600801.SH,X000825.SZ,X600141.SH,X000932.SZ,X600486.SH,X600378.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.152036940552843,0,0,0,0,0,0,0.0434906256133368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0999058548639346,0,0,0,0,0,0,0,0,0,0,0,0,0.194409057867068,0,0,0.300387793068511,0,0.0210082073141175,0,0,0,0,0,0,-0.0280810389265863,0,0,0,0.0314090725685005,0,0
X601088.SH,0.219794180012514,0,0,0,0,0.088746306458087,0,0,0,-0.0659992073959863,0,0,0,-6.93889390390723e-18,0,0,0,0,0,-0.0287003416778491,0,0,0,0,0,0,0,0,0,0,0.0798354554258692,0,0,0,0.0114221970308151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315001643336637,0,0,0.0322712940727405,0,0,0,0.0804629901036654,0,0
X600028.SH,0.13431177318667,0,0,0,0,0.0449783937411525,0,0,0,-0.0335417436895828,0,0,0,0,0.00567411906369677,0,0,0,0,0,0,0,0.0031762767107796,0,0,0,0.0150911005394835,-8.67361737988404e-19,-0.012504824990318,0,0,0,0,0,0,0,0,0,0,0,0.283634881518467,0,0,0,0,0,0,0,0,0,0,-0.00694923861791268,0,0,0,0,1.0842021724855e-19,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378902026808239,0,0.0767970543569223,0.0703197387041229,0.216306263761638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154892472478916,0,0,0,0.0638754112521682,0.0420735605472758,0,0,0,0,0,0,0.00776533647803042,0,0,-0.0314714358896678,0.02141805869724,0,0,0,-0.0158426151465912,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159267393875389,0,0,0,0,0,0,0.00701136305056187,0,0,0,0,0,0,0,0.105782187976369,0,0,0,0,0,0,0,0,0,0,0,0.482144442407134,0.039173549549566,0,0,0,0,0,0,-0.00433570801559739,-0.00158053499128704,0,0,0,0.00888582379787313,0,0
X600188.SH,0,0.172998879854678,0,0,0,0,0.068767763269128,0,0,0,0,0.12141055382827,0,0,0,0,0.092530620117511,0,0,0,0.0350881445714396,0,0,0,0,0,0.483761664783815,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103321681835463,0.122182381440183,0,0,0,-0.0633177753483285,0,0
X002460.SZ,0,0,0,0,0,0.0451487330081339,0,0.126797804705857,0,0.0590929967886449,0.384873568301059,-5.42101086242752e-20,0,0,0,0,-0.0396038874928183,0,0,0,0,0,0,0,0,0,0,0,0.0751720965091975,0,0,0,0,0,0,0,0,0,0,0,0,0.241687070747784,0,0,-0.13930934654675,0,0,0,0,0,0.0294286109446921,0,-0.0373257146539024,0,0,0,-0.0142255953873351,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.330083267994342,0.215948657541138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315217012985827,0,0,0,0,0,0,0,0.0605289402365594,0,0,0,0,0,0,0,0,0,0,-0.181900770698848,0.192039542712701,0,0,0.00344019065351181,0,0,0,-0.0123458386988687,0,0,0,-0.0543322660714198,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.118318998603192,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0143275795272024,0,0,0,0,0,0,0,0.0294568618111201,0,0,0,0,0,0,0,0.240165941839843,0,0,0.284180485115609,0,0,0,0,-0.00486018254171187,-0.00301678990702505,0,0,0,0,0,0
X600111.SH,0,0,0,0.0441890483667769,0,0.0579021567452328,0.180956372150996,0,0,0,0.0880417198976555,0,0,0,0,0.39347406082445,-0.0598964108041036,0,0,0,0.0158406268273577,0,0,0,0,0.109621895195119,0,0,0,0.074451950081107,0,0,0,0.153742366878301,0,0,0,0,0,0,0,0,0,0,0,0.0330384719500312,0,0,0.0449542274260774,0,0,0.0290830578969853,-0.0330822092513816,0,0,0,0.0328100409655303,0,0
