,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X601991.SH,X600547.SH,X600516.SH,X600111.SH,X600886.SH,X600176.SH,X000898.SZ,X000786.SZ,X600352.SH,X000709.SZ,X002271.SZ,X000825.SZ,X600027.SH,X000792.SZ,X000553.SZ,X600299.SH,X601699.SH,X000408.SZ,X600219.SH,X601158.SH,X600808.SH,X600489.SH,X000883.SZ,X000959.SZ,X600426.SH,X000830.SZ,X002110.SZ,X000983.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.382855147622881,0,0,0,0,0,0,0,0,0,0.104090850633848,0,0,0,0.224866960871975,0,0,0,0,0,0,0,0.0254786507827809,0,0,0,0,0,0.049740052600171,0,0,0,0,-0.011285165417698,0,0,0,0.0470644778456114,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.00958089330117725,0.0125971213897648,0.031750828611377,0,0,0,0,0
X600028.SH,0.548725316471635,0,0.189325754437801,0,0,0,0,-0.0511446539287098,0,0,0,0,0.178429017144783,0,0,-0.0294180320053896,3.46944695195361e-18,0,0,0.221085542640733,0.0387825630572034,0,0,0.0368145294677783,0,0.0948001947182593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0687755158905961,-0.0163207861018848,0,0,0,-0.016390876028962,0.0144795560613491,0,0,0,0,0,0
X601088.SH,0,0.0368782470218927,0,0.26935393453557,0,0,0,0.0482259913607055,0,0.157771031825852,-0.0625902663537057,0,0,0,0,0,0,-0.0520659309594456,0,0.0652760322992761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156772329514011,0,0,0,0,0,0,0,0,0.0359817971343349,0,0,0,0,0.00656870915768413,-0.00312317150307027,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.347675668854755,0,-0.156901974918435,-0.055740927228934,0,0,0,0,0,0.153650823504786,0,0,-0.0170895053295004,0,0,0,0,0,0,0,0.589221792219458,0,0,0,0,0.00919731926812682,0,-0.103148595492442,0,0,0,0,0,0,0,0,0,0,0,0,0.0089945828721377,0,0,0,0,0.0106248983123683,0.0259117621415481,0,0,0,0,0
X600585.SH,0,0,0.0307036131364791,0.28061607693081,0,0,0,0,0,0,0.00571415324308251,0,0,0,0,0,0,0,0,0,0,0,0,0.26792232359051,0,0.311812959417188,-0.102606046489896,0,0,0,0,-0.155192116315317,0,0,0.27310805208439,0,0,0,0,0,0,0,0,-0.0100162173125627,0,0,0,0,-0.037389591540265,0.0409983118317286,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238775272024279,0,0,0,0,0,-0.0451634895421571,0,0,0,0.00578182581253366,0,0.0661180286981308,0,0,0,0,0,0.0449657725847345,0,0,0,0,0,0,0,0.265052508233421,0.0150001430188354,0.0245698374185868,0,0,0.215400822377445,0,0,0.0311847871929681,-0.0272162738662532,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0793703831439143,0,0,0,0,0.0267065847440639,0,0,0,0,0,0,0.0967665233504955,0,0,0,0,0.0524199474408188,0,0,0,0,0,0.0190349700352447,0,0,0,0.169026634916408,0.0648685623829054,0.134461168628502,0.00667676850291652,0,0,0,0,0,0,0,0.060999461735759,0,0,0,0,0,0,0.00113988964771269,0,0,0,0,0,0,0
X601600.SH,0,0.283417693387713,0,0,-0.05727676231457,0,0,0,0,0,0,0,0,0,0,-0.394496649539656,0,-0.12924724772375,0,0,-0.139743296656871,0,0,0,0,0,0,0,0.217668160206861,0,0,-0.143189866255529,0,0,0.340603502261277,-0.359848558389023,0,0,0,-0.0966170923429886,0,0,0,0,-0.0299647175934904,0,0,0,0.261590261188849,-0.390846246702401,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.067420187988067,0,0,0,0,0,0,0.222330730466275,0,0,0,0.0640358857871309,0,0.0653181557376453,0,0,0,0,0,0,0.0208581636958124,0,0,0,0,0.0869558810955266,0,0.0029994007626921,0.0481192521842391,0,0,0,0,0,0,0.225403040068307,0,0,0,0.162619980055767,0,0,0.00982795140410647,0,0,0,0,0,0,0
X600188.SH,0,0,0.487870681041714,0,0.0387804168268163,0,0,0,0,0,0,0,0,0,0,0,0.0702827372778101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308396910860583,0,0,0,0,0,0,0,0,0.0966745104101818,0,0,0,0,0.000400751604724284,0,0,0,0,0,0,0
