,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X601898.SH,X601992.SH,X600309.SH,X600795.SH,X600688.SH,X601600.SH,X300072.SZ,X600660.SH,X601991.SH,X600188.SH,X600362.SH,X600547.SH,X600886.SH,X002466.SZ,X600027.SH,X000709.SZ,X600157.SH,X600111.SH,X000898.SZ,X600339.SH,X600489.SH,X000959.SZ,X601158.SH,X600008.SH,X000723.SZ,X600299.SH,X002460.SZ,X000883.SZ,X002271.SZ,X600219.SH,X600352.SH,X600176.SH,X000630.SZ,X600578.SH,X000792.SZ,X000539.SZ,X600583.SH,X000408.SZ,X600021.SH,X000027.SZ,X600808.SH,X000786.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00430557590760873,0,0,0,0,0,0,0.0204694896858444,0,0,0,0.183995648957629,0,0,0.0421092907030017,0,0,-0.0280197906235631,0,0.00954814760550029,0,0,0,0.0633867159059989,0,-0.0347638696221939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425330551249187,0,0,-0.0266030962900162,0,-0.0115593543898385,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0.00774917655636427,0,0,0,0,0.0478405023461888,0,-0.153943326521789,0,0,0,0,0,0,0,-0.028748095226356,-0.0573623486898973,0,0,0.00111016068174144,0,0,-0.0142164704132851,0,0.0549585134588902,0,0,0.0447073156819455,0,0,0,0,0,0,0,0,0,0,-0.0399650400193981,8.67361737988404e-19,0.0122471114905721,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,-0.00425635803876223,0,0,0,0,0,0,-0.0421051850028206,0,0,0,0,0.0262734522566583,0,0,0,0,0.195991597857114,-0.0222338999649044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0124489118817993,0,-0.0893967638007853,0,0,0,0.000699192390390489,0,0,-0.0256924842457449,0,0,0,0,0,0
X600019.SH,0,0,0.0359490868582894,0,0.019983288682287,0,0,0.162011230467562,0,0,0,0,0,0,0.0846878277039476,0,0.0786322423980525,0,-0.0311659283720656,0,0,0,0,0,0,0.299160880273677,0.102057464504465,0,-0.0483810206024152,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248644370055621,0,0,0,0,0,0,0,-0.019950601382486,0.0134864727088818,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.250737059455592,0,0,0.0526927102474539,0,0,0.272861383881299,0.00368994909771401,0,0,0,0.0830940915319659,0,0,0,0.0632426340882859,0,0,0.0199724368282142,0,-0.131609097919209,0,0,0,0,0.10678143053316,0,0,0,-0.0775123510126517,0,0,0,0,0,0.0398163747014332,-0.0595936161532211,0,0,0,0,0,0
X600585.SH,0,0,0.130017543383633,0,0,0,0,0,0,0,0,0,0,0,0.206050372260099,-0.0279271321548728,-0.0240464866303976,0,0,0.194172247745171,0.171117964765165,0,0,0,0,0,0.0778819736183887,0,0,0,-0.0200544924789129,0,0,0,0,0.172928025240773,0,0,0,0,0,0,0,0,0,0.281890656061611,0,0,-0.0923987814957805,0,0.00675209841844846,-0.0506526713464314,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,-0.0644300107028487,0,0,0.124589225520005,0,0,2.16840434497101e-19,0,0.0699443729111901,0,0,0,0,0.0317994846384422,0,0.0883056327524264,0.0348357655660317,0,0,0,0,0.0884703539433684,0,0,-0.0301817783157428,0,0,0,0,0,0,-0.03237238197453,0,0,0,0,0,0.0413100329857138,0,0,0,-0.0136096152466888,-0.00431329302883048,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.0402558922236559,0,0,0,0,0,0,0,0.365370233901369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128181473712828,0,0.109495546508146,0.0667057064000102,0,0.0743577633617408,0,0,0,0,0,0,-0.00287333914681205,-0.0203974330770204,0,0,0,0,0,0
X601992.SH,0,0,0,0,-0.0391843961190725,0,0,0,0,-0.176451873803146,-0.0205328773899469,0,0.0645662029719023,-0.133681018777064,0,0,-0.033532906119045,0,-0.158694605530332,0,-0.23083089973295,0,0.605364370471296,0,0,0,0,0.154186959090314,0.0638339257692307,0,0.415675274752014,0,0,0,0,0.173391823650918,0,0,0,0,0,0,0,0.232154563744413,0,0,0,0,8.67361737988404e-19,0,-0.0549402209799971,0.0660629595313253,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0580737538881105,0,0.063437830345167,0,-0.0815228820017926,0.168655883491978,0.209456532800042,0,0.379680337289626,0,0,0,0,0,0.103455570629036,0,0,-0.182946664982603,0,0,0,0,0.0206691614635172,0,0,-0.0270333248840841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0997047353881756,0,-0.0276185187366074,-0.0154553175652441,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0678477906250242,0,0,0,-0.0190630753540957,0,0,0,0,0,0,0,0,0,0.0455963643044808,0,0,0.0202767672088664,0.0681678290268233,0,0,0,-0.00408447642176626,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190966105658734,0,0.172449934233695,0,-0.0836260792972414,0,0,0,0,0,-0.00971067083989606,0,0,0,0,0,0,0
