,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600547.SH,X601600.SH,X600585.SH,X600886.SH,X600660.SH,X600795.SH,X600362.SH,X000792.SZ,X000708.SZ,X002466.SZ,X002460.SZ,X600027.SH,X600010.SH,X600111.SH,X601699.SH,X000301.SZ,X600489.SH,X600160.SH,X000983.SZ,X600426.SH,X600803.SH,X000877.SZ,X601991.SH,X000933.SZ,X600985.SH,X000630.SZ,X000807.SZ,X000786.SZ,X601168.SH,X000408.SZ,X002128.SZ,X600176.SH,X600612.SH,X600219.SH,X000932.SZ,X000883.SZ,X600096.SH,X600348.SH,X002271.SZ,X601666.SH,X600295.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.270232840179515,0,0,0,0,0,0,0.0152035992909049,0.0478336867416375,0,0,0,0,0,0,0,0,0,0,0,-0.00554863275970912,0.0872230575751577,0,0,0,0,0,0,0,0,0,0.106338867926356,0,0,0,0.0642469959483678,0,0,0,0,0,0,0,0,0,-0.0394439087068218,0,0,0,0,0.0470172325169886,-0.039847673563961,0.0798562605144692,0,0,0,0,0
X601088.SH,0.0192332994967185,0,0,0,0.199154553245938,0,0,0.179735682736892,0,0,0,0,0,0,0,0,0,0,-0.0275262345704584,0,0,0,0,0,0,0,0.161797555127723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730173416975965,0.0916554245663552,0,0.0106263709027094,0,-0.0282955749022043,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0012747887056892,0,0,0,0,0.0378151149666119,0,0,0,-0.0193504351451494,-0.141234310124543,0,0,0,0.00728964822411326,0,0.106999811457706,0.00964571723426084,0,0,0,0,0,0,0,0,0,0,0.154523081069242,0,0,0,0,0,0.0812365953568835,0,0,0,-0.0692627343937221,0.105934524857803,0,0,0,0.0245572774049252,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565307916783033,0.026274754098834,0,-0.105795199142234,-0.048742493489791,0,0,0.0510358705133989,0,-0.0298803405129882,0.073390725767126,0,0.201683600316877,-0.0937440420774093,0.194088826403826,0,0,0,0,0.11525215407927,0,0,0,0,0,0,0.218021039160622,-0.0630027898018983,0,0,0,0,0,0,0,0,0,0,0,-0.0978072927984806,0,0,0,0,0,0
X600188.SH,0,0.0159617370807824,0,0,0,0.192100243329089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32057234177803,0,0.017168823755745,0,0.0709705343242118,0,0,0,0,0,0,0.00296255784101383,0,-0.0350060846296022,0,0,0.203357620298954,0,0,0,0,0,0,0,0,0.032486700158106,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.496965289089569,0,0,0.172113466486727,0,0,0,0,0,0,0,-0.172023759883583,0,0.141292678435003,0,0.398885516253354,0,0,0,0,0,0,0,0,0,0.182237719667844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.00567507750850979,0,0,0,0,0
X600019.SH,0,0,0,0,0.0862463598696458,0,0,0,0,0.00826221328438742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0576235008520227,0.00441436946656143,0,0,0,0,0,0,0,0,0.0441498292714081,-0.0547340483324599,0.00427384569920791,0,0,0,0,0,0.111089363445726,0,0,0,-1.38777878078145e-17,0,0,0,0,0,-0.0172254758121691,0,0,0,0,0,0
X600011.SH,0.00699122724873436,0,0,0,0,0.151418610737738,0,0,0,0,0,0,0,0.161022029305401,0,0,0,0,0,0.28158840291299,0,0,0,0,0,0,0,0,0,-0.0365897155276127,0.106043853204705,0.0107140166000993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461436680173214,-0.0734241115845918,0.0348122233192766,0,0,0,0,0
X600547.SH,0,0,0,0,-0.173807326029985,-0.103410137267577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617969550370343,0,0,0,0,0,0,0.280585872014574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00877686686263254,0,0,0,0,0.0148355725632909,-0.0483851091650292,0,0,0,0,0,0
X601600.SH,0.140747155854704,0,0,0,0,0,0,0,-0.0707049978042331,0,0,0,0,0,0,0,0,0,-0.0833530472997849,0.297174868270703,0,0,0,0,0,0.051383548702468,0,0,0,0,0,0.148885700615511,0,0,0.208816066452377,0,0.128378560563921,0,0,0.12267633101536,0.0895918078625094,0,0.0255158722712496,0,0,0,0,-0.0307380519307118,0,0,0,1.73472347597681e-18,0.034950267338291,0.186651241281348,0,0,0,0,0
