,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600886.SH,X601600.SH,X600547.SH,X600585.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X600489.SH,X000708.SZ,X600027.SH,X600803.SH,X600010.SH,X600111.SH,X600160.SH,X000983.SZ,X601699.SH,X002460.SZ,X600426.SH,X601991.SH,X000301.SZ,X000786.SZ,X002466.SZ,X002128.SZ,X000933.SZ,X000877.SZ,X000807.SZ,X600985.SH,X000630.SZ,X600219.SH,X600176.SH,X601168.SH,X000408.SZ,X000883.SZ,X002353.SZ,X600348.SH,X600096.SH,X000027.SZ,X002271.SZ,X600995.SH,X600612.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0675412297168294,0.490725820757692,0,0,0,0,0.0633652690640131,0,0.107373509089102,0,0,0,0,-0.155776320996149,0.0407004511957165,0.0871127035916213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689524877599513,0,0,0,0,0,-0.110114106935096,0,0,0,0,0,-0.0109117893458876,0,0,0,0,0,0,-0.00359689189240884,0,0,0,0,0,0,0
X601088.SH,0.237452129322471,0,0,0,0,0,0,0,0,0,-0.0481270500590351,0,0,-0.0151878330295339,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.271003361661963,0.0309823333790915,-0.0217039045727157,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0525831667732441,0,0,0.172319095896222,0,0.0543930394121657,0,-0.0592820923032421,0,0,0,0,0,-0.00290743530159945,0.0707375751565637,0,0,0.058038615560593,0,0
X600028.SH,0.33754443428739,0.0949115379021769,0,0,0,0,0.120244356624575,0,0,0,0,0,0.0745169015192381,0,0,0,0,0,0,0,0,0,0,0,0.00585749509814116,-0.163203932941706,0,0,0,0,0,0,0.0224727021636615,0,0,0,0,0.129560344071816,0,0,0.0208778293086511,0,0,0,0,0,-0.0207937467421813,0,0,-0.00657090200135305,0,0,0,0,0,0,0.00114950555271923,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.069567473709065,0.115433226010639,0,0,0.0785341940774344,0,0,0,0,0,0,0,-0.018184587220911,0,0,0,0,0,0,0,0.029816179788682,0,0.0160787583481251,0,0,0,0,0.0344798473860984,0.0420368454420986,0,0,-0.105842966154116,0,0,0,0.00909242333202257,0,0,0,0,0.000901729815559884,0,0,0,0,0.0350980154684294,0,0
X600188.SH,0,0,0,0,0,0.0236795299602748,0,-0.0307839690784959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0388240055084931,0.167225548445837,0.235785021523021,0,0,0,0,-0.151588616625153,0,0.10087713536957,0.0711238986996559,0,0,0.12791123096867,0,0,0,-0.080970820797037,0,-0.0131121305543531,0,0.178504354465218,0,0,-0.1769734284099,0,0,0,0,-0.144720550458825,0,0,0,0,0,0,0
X601898.SH,0,0.0390179505517078,0,0,0,0,0,0,0,0,0,0,0.0546417389691921,0,0,0,0,0,0,0,0,0,0,0,0.243790025068058,0,0,-0.0189205313995126,0,0,-0.115957842426047,0.0936428486185925,0,0,0,0.21680389262109,0,0,0,0,0,0,0.0352493965516304,0,0.22263768137253,0,-0.0391332330265265,0,-6.93889390390723e-18,-0.00308457202594102,0,0.193176260689746,-0.0783573496158726,0,0,0,0.159325645170161,0,0
X600019.SH,0,0,0,0,0,0.121164137793407,0,0,0,0,0,0,0,0,0,0,0,0.223311756904432,0.179027739546202,0,-0.0632233804699997,0,0.0606052261259777,0,0,0,0,0,0,0.0849092643992235,0,0,0,0,0,0,0,0,0.00598011764841662,0,-0.064889921643519,0,-0.00878443104655044,0,0,0,0,0,0.175819547160958,0,0,0.0271149988966971,0.0585194427311624,0,0,0,0,0,0
X600011.SH,0.0379409997684439,0,0,0,0,0,0,0,0,0,0,0,0,0.29176058226052,0,0,0,0,0.15551804697911,0,0,0,0,0,-0.1042199587317,0,0,0.255890418708961,0,-0.103575391022575,0,0.162240973099776,0,-2.61944577385722e-05,0,0,0,0,0,0,0,0.0995443473293107,0.0489247739907397,0,-0.0594435038494367,0,-0.0358914437178964,0,0,0,0,0.0552441193229425,0.0182929583027631,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.084590433792252,0,0,0,-0.0184865017542839,0,0,0,0.248146415391497,0,0,0,0,0,0,0,0,-0.0248602958358482,0,0,0,0,0,0,-0.154878868082374,0,0,-0.0857941123019748,0.117380413961915,0,0.0370925046309654,0,0,0,0,0,0,0,0.0331295128001381,0,0,-0.0226319480406949,0,0,0,-0.210984963716992,0,0.012406452124116,0,0,0,0.0489955242132885,0,0
X601600.SH,0.0408418104475079,0.114225392718828,0,0,0,0,0,0.0052593176210954,0,0,0,0,0,0,0,0,0,0.0537552123992283,0,0.0316417410173411,0,0,0.177696467707454,0,0,0,0,0,0,-0.0945720950101688,0,0,0.304707479724398,0,0.0556712183394242,0,0,0,0,0.349124631074686,0,0,0,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.00265339908587245,0,0
