,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X600547.SH,X601898.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X600027.SH,X601992.SH,X002466.SZ,X000898.SZ,X600111.SH,X600516.SH,X600176.SH,X000709.SZ,X600352.SH,X002460.SZ,X600219.SH,X600299.SH,X000786.SZ,X000629.SZ,X600157.SH,X600808.SH,X600489.SH,X000630.SZ,X000825.SZ,X601158.SH,X002271.SZ,X600801.SH,X000553.SZ,X000883.SZ,X300072.SZ,X002110.SZ,X002470.SZ,X000408.SZ,X600985.SH,X600583.SH,X000027.SZ,X600339.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.222336649632438,0,0,0,0.00389867924632234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000641067463009668,0,0,0.0332556128684399,0,0,0,0,0.00813626632663018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114818398114013,0.0616098904127442,0,0.049321001999329,0,0,0.00439295606922087,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,-0.0537833780508403,0.0876399399136231,0,0.0719052628167639,0,-0.234235981111137,0.271397059944494,0.471584396617952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0989713751082922,0.0461414593063285,0,-0.0446098012913695,0,0,0,0,0,0.22942193736948,0,0,0,0,0,0,0,0.00307251686405896,0,0,0.146921914770044,0.0295023131014397,0.0339435954715471,0.0184537612208392,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.152346041685996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112767432112671,0,0,0,0,0,0,0,0.0831720445595901,0,0,0,0.0873938401276338,0,0.0947958603046452,0,0,0,0,0,0,0,0,0,0,0,0,0.00474415105746254,0.00328060812035308,0,0,0,0.0063094095448942,0,0
X600585.SH,0,0.0203507334545692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516305319942925,0.114386472418851,0,8.67361737988404e-19,0.141887855597424,0,0,0,0,0,0.443379583201414,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0116429705724187,0.0128409486154945,0,0,0,0.00844596557278246,0,0
X600019.SH,0,0,0,0,0,0.0195488426755757,0,0.0816217416951021,0.0193599523299126,0,0,0,0,0,0,0.0709371543006366,0,0,0,0,0,0.0573044684455565,0.0293904588951265,0,0,0,0,0,0,0,0,0,0.0181494509922616,0,0,0,0,0,0,0,0,0,0,0.3270280259673,0,0,0,0,0,0,0,0,0.0158739876783464,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152602974212335,0,0,0,0,0,0.152581832414736,0,-0.120077975643558,0,0,0.00249536729314717,0,0.519239263305374,0,0,0,0,0,0.106088367409163,0,0,0,0.170441450383456,0,0,0,0.106052171209491,0,0,0,-0.0100952573522376,0.0445502823588843,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,-0.0149734952396833,0,0,0,0,0,0,0,0,0.50308335370566,0,0.664027930832766,0,0,0,0,-0.215547786744855,0,0,0,0,0,0,0,0,0.0552198325693109,0,0,-0.0551274891695001,0,0,0.0197387127606389,4.33680868994202e-19,0,0,0,0,0.0739754316620211,0,0,0,0,-0.127163135785732,0.0110299785339406,0.00845910559999752,0,0,0,0,-0.0153439173045215,0,0
X600010.SH,0,0.00333326950313635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369986277457258,0,0,0,0,0,0,0,0,0.0747282035373787,0,0,0,0,0,0,0.0870041936422003,0,0,0,0,0.157510230858796,0,0,0,0,0.107504907362586,0.198376506470451,0,0.020770194521975,-0.0197581191654116,0,0,0,-0.0602949752691734,0,0
X601600.SH,0,0,0,0,0,0.029201553466233,0,0.217739517067086,0,0,0,0,0,0,0,0.141939563074468,0,0,0,0.0535946847774907,0,0,0.0174317048697573,0,0,0,0,0.180518594793029,0,0,0,0.0656080474834483,0,0,0,0,0,0,0,0,0.0191126705071081,0,0.0505139042767536,0,0,0,0.0572401715584475,0,0,0,0,-0.0183454234649094,-0.00515943670033315,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0.0120812239209175,0.0266997049667355,-0.0197752676526505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232228355047604,0,1.00857290282742,0,-0.040857134402455,0,0,0,0,0,0,0,-0.101219821100622,0,-0.0138377169456742,0,0,0,-0.0412440891614135,-0.0106647997129299,0.0222946740099785,0,-0.0679118378233659,0,0,0,0
