,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600547.SH,X600362.SH,X600688.SH,X601600.SH,X600188.SH,X600795.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X601992.SH,X600111.SH,X600886.SH,X600489.SH,X600660.SH,X600309.SH,X000723.SZ,X600623.SH,X600299.SH,X000792.SZ,X002466.SZ,X601158.SH,X000959.SZ,X000898.SZ,X002075.SZ,X000709.SZ,X000983.SZ,X000408.SZ,X600583.SH,X000883.SZ,X000012.SZ,X000630.SZ,X600352.SH,X600549.SH,X000937.SZ,X601699.SH,X000539.SZ,X000060.SZ,X000027.SZ,X600176.SH,X000935.SZ,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0703229970928514,0,0,0,0,0.0175416225408417,0,0,0,0,0,0,0,0,0.0100510410048958,0.0185223518899438,0.0126304334916143,0,0.0901461417184502,0,0,0,0,0,-2.16840434497101e-19,0,0,0.114620120661175,0,0,0,0,0,0,0,0,0.000977085783231663,0,0,-0.00512758319228914,0.0251910422656765,0,-0.00483551942610419,-0.00461494553377893,0,0,0,0,0,0
X600028.SH,0,0,0.00290173740490995,0,0,0,0.0181464008463362,0,-0.019538577151317,0,0,0,0,0,0.0368194167606867,0,0,0,-0.0155177896315582,0,0,0,0,0,0,0,0,0,0,-0.010530270971356,0,0,0,0,0.0525056504688077,0,0.202379775005435,0,0,0,0,-0.0386873699647555,0,0,0,0,4.33680868994202e-19,0,0.0182410404567933,0.0737081221096066,0,-0.0117535043001982,-0.0167394335041445,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.00731956484844982,0,0.289117916375701,0,0.0483918785776316,0.0856146466327579,0,0,0,0,0.125594394416945,0,0,-0.16137180379148,0,0,0,0,0,0.0202417624326497,-0.0319504798686773,0,0,0,0,-0.0120553868953797,0,0,0,0,0,0,0,0,0,0,0,0.0424623955687211,0,0,0.0326187336802826,0,0,0.0703639928409392,0,-0.0462029466431582,-0.0144816836353478,-0.0675438217383286,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0381078225074011,0.0297946336370709,-0.0323199894063756,0,0,0,0,0,0.0667900797922206,0,0,0,0,0,0.114733613810414,0,0,-0.0637266717224019,0,0.0560747280104558,0,0,0,0,-0.039896731303196,0,0,0,0.0528465047055891,0,0.0108738619737353,0,0,0,0,0,0,0,0,0,0,0,0.00385788695258053,0.0378864922236736,0,-0.0289896823155201,0.0370070995368216,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.584448415072264,0,-0.00216445968046604,0.0624329651924798,0,0,0,-0.0946183220317228,0,0,0,0,0,0,0,0,0,0,0,0.0113060083470688,0,0,0,0,0.0354449771253458,0,0,0,-0.110384044014733,0,0,0,-0.0117385944092759,0,0,0,0,0.249429012855931,0,0,0,0,-0.00786203907496108,0,0,0.0503890049326108,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0589074639893144,0,0,0,0,0,0,0.023684914009339,0.21740633677276,0,0,0.000757416846402048,0.0248883387914984,0,0.0112083107226818,0,0,0,0.0293930079456227,0,0,0,0,0,0,0,0,0.114839762757438,0,0.0528023241555778,0,0.0559698834912493,0,0.134511665148661,0,0,0.0271057205651681,0,0,-0.0193061859680088,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,-0.0547424240932647,0,0,0,-3.46944695195361e-18,0,0.0701720156511053,0,0,0,0,0,0,0,0.126952218381935,0.194465874701084,0,0,0,0,0,0,0,0.136446968390958,0,0,0,0,0,0,0.130193726898843,0,0.0745334505005701,0,0.080897435876515,0.0812180590099529,0,0,0,0,0.0606297061599742,-0.11658970596119,0,0.0123197327144513,0.018590828399012,0,0,0,0,0,0
X601898.SH,0,0,0.347673647255395,0,0,0,0,0,0,0,0,0,0.264690451302302,0,0,0,0,0,0,0,0,0,0,0,0,0.164210528417266,0,0,0,0.0103423470454772,0,0,0,0,0.21014011605588,0,0,0,0,0,0.243174857093894,-0.0825966789036707,0,0,0,0,0,0.0194794510388157,0.0294122812594994,0,0,0,-0.0371330639100373,0,0,0,0,0,0
X600547.SH,0,0,-0.0381201884888634,0,-0.00348935429981565,0,-0.0547897102029704,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127075248700565,0,0.931865137188092,0,0,0,0,0,0,4.33680868994202e-19,0.017488983068521,0,0,0,0,0,0,0,0,0.09657585103673,0,0,-0.0414208392313346,-0.00303699339939291,0,0,0,0,0,0.0836622547280962,0.0922502813060948,0,-0.0547187958318186,0.0244146677708659,0,0,0,0,0,0
X600362.SH,0,0,0,0,-0.0884971024810899,0,0,0.0337466149146867,-0.0463293504170847,0,0,0,0.228668048140593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424486484503585,0,0,0.116935895955181,0,0,0,0,0,0,0,0,0.558985363210118,0,0.0723288467123412,-1.73472347597681e-18,3.46944695195361e-18,0,0,0,0,0.0123448917706539,0.0546237544863415,0,-0.0914593198849098,0,0,0,0,0,0,0
