,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002460.SZ,X002271.SZ,X600011.SH,X600886.SH,X601600.SH,X600362.SH,X600660.SH,X601898.SH,X600010.SH,X600801.SH,X600489.SH,X600188.SH,X600111.SH,X002466.SZ,X600352.SH,X601991.SH,X000786.SZ,X600688.SH,X600795.SH,X600529.SH,X600027.SH,X600176.SH,X601992.SH,X600299.SH,X600426.SH,X002409.SZ,X600126.SH,X002353.SZ,X600315.SH,X002080.SZ,X600612.SH,X000723.SZ,X000959.SZ,X600516.SH,X000027.SZ,X600219.SH,X002075.SZ,X000898.SZ,X600486.SH,X601158.SH,X000932.SZ,X300037.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.130319678373953,0,0,0,0,0.0239628174401446,0.0744312083459312,0,-0.0543328170540053,0,0,0,0,0.0242979696287037,0,0,0,0,0,0,0,0,0,0.0647159516947324,0,0,0,0.037782864529469,0,0.0259294702735965,-0.0458422066686692,0,0,0,0,0,0,0,0.00318788898403779,-0.00314968929371514,-0.00715429357050523,0,0,0,0,0,0
X600028.SH,0,0,0.0560333159937072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123883716525859,0.0746014934959634,0,-0.00862886366547398,0,0.0753903681291527,0,0,0,0,0.00207789731808213,0.0260661724457515,0,0,0,0.0652807118560582,0,0.066683502365455,0,0,0,0,0,0,0,0,0,-0.00736512616217966,0.0103023244424489,0,0,0,0,0,0
X601088.SH,0,0.19600270565364,0,0,0.05650553047897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159681672702649,0,-0.0160492100281588,0,0,0,0,0,-0.00801305263381135,0,0.0672257711282399,0,0.087690517019119,0.18423582704344,0,0.0514282742475619,0.0318072431522204,0,0,0,0.0192690103814398,-0.0181892216771928,0,0,0,-0.0432625922794129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0569349776461144,0,0.0744803854939006,0,0,0,0,0,0,0,0.519339470059214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288544673008099,0,0,0,0.0325607032310324,0.0351691583426777,0,0,0,0,0,0,0,0,0,0,-0.039124539873836,-0.00390508600386199,0.00116658791320679,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0183658407846506,0.0534385647045584,0,0,0,0,0.185242845813677,0,0,0.0404015640152524,0,0,0,0,0,-0.0400221919788911,0.0304188755817792,0.028737146387588,0,0,0,0.0363732499632889,0,0,0.229008337072183,0.0771828938216975,0,0.0140573460259968,0,0,0,0,0,-0.024808635555164,0,0,0,0,0,0,0,0.0386607471275291,0,-0.00779972093349687,0,0,0,0,0,0,0
X600547.SH,0,0,0,0.0203344703991729,0,0,0,0.0711648312124442,0,0.0880988472570632,0,0,0,0.153474301625831,0,0,0,0.120066823939166,0.59601849499495,0,0,0.00295604199004026,0,0,0,0,0,0.136164432478107,0,0,0,0,0,0,-0.060701996709814,-0.15302282048336,0,0,0.127717273735746,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141149689034877,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.131308779956718,0,0,0,0.0172923471116802,0,0,0,0.174217794267339,0,0,0,0,0,0,0,0,-0.033970963990061,0,0,0,0,0,0,0,0.0767889117575047,0,0,0,0,-0.0255686928421814,0,0,0,0,0.136688342930754,0,0,0,0,0,0,0,0,0,0,0,0.000743636301276157,-0.00251840195960762,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0.158492309320089,0.333604860177806,0,0,0,0,0,0.0988140370732752,0,0,0,0,0,0.104715771529315,0,0,-0.0571615310296329,0,0,0,0,0,-0.0874884601107924,0.0451227683623017,0,0,0,0,0,0,0.0799972771246838,0,0,0,0.0186414232569138,0,0,0,2.16840434497101e-19,-0.0272665384984862,-0.0109603180724126,-0.0106442317780411,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.143463166664223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363043078919692,0,0,0,0,0,0.0428098974268981,0,0.102904202295762,0,0,0,0.0598262198127227,-0.0430414855913443,-0.0309163170251395,0.040964410160192,0,0,0,0.0377369107108128,0,0.321996585607821,0,0.0870534533729489,0,0,0,0,0.339156185868378,0,0.0166496464409211,-0.0331439649786718,0,0,0,0,0,0
X002271.SZ,0,0,0,0.251252941588505,0,0,0,0,-0.0422359267923179,0,0,0,0,0,0,0,0,0,0,0.111862017539117,0,0.0587049034097489,0,0,0,0,0,0.156638149071503,0,0,0,0,0,0,0.0301176204134397,0,0.0774445751716258,0,0,0,0,0,0,0,0,0,0.185766639140392,0,0,0,0,-0.0100431833031622,-0.0052413751990592,0,-0.0680118729055606,0,0,0,0
