,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X300072.SZ,X600188.SH,X601992.SH,X002466.SZ,X600362.SH,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600176.SH,X000786.SZ,X600027.SH,X000553.SZ,X600352.SH,X000792.SZ,X000408.SZ,X600808.SH,X600489.SH,X600219.SH,X000959.SZ,X002271.SZ,X601158.SH,X601699.SH,X002092.SZ,X600339.SH,X000883.SZ,X000723.SZ,X000983.SZ,X002470.SZ,X002110.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.499201190764077,0,0.0235430530275108,0,0,0,0,0,0,0,0,0,0,0,0,0.00890234847406411,0.0756620232995705,0,-0.0492216010265704,0,0,0,0,0,0,0,0,0,0,0,0,0.0277125811614184,0,0,0,0,0,0.0723986287073221,0,-0.0855892326381681,0,0,0,0,0,0,0,0,0,-0.00170567984635533,0,0,0,0,0,0,0
X600028.SH,0.478326495341799,0,0.0501160750275372,0,-0.0506061826599352,0,0,0,0,0,0.0354434979626456,0,0,0,-0.024674461098607,0,0,0,0,0,0,0.0961425766388892,0,0,0,0,0,-0.0814115334803305,-0.00694827863820596,0,0,0,-0.00223619102633482,0,0,-0.0533945676421888,0,0,0,0,0,0,-0.0222775593598695,0,0,0.0406961972424431,0,0,0,0,0,0.0163509258290672,-0.112896878630469,0,0,0,0,0
X601088.SH,0,0,0,0.0552026511134121,0.0570755789362047,0,0,-0.0772565769322991,0,0,0.406989286625856,0,0,0,0.0830650222440596,0,0.0294093590824301,0,0,0,0,0,0,0,-0.112712244133209,0,0,0,0.121308260064076,0,0,0.0390507104300016,-0.0440033600401604,0,0,0,0,0,0,0,0.325337368217336,0,0,0,0,0,0,0,0,0,0.021691338478083,0,0,0,0,0.105747912749243,0,0
X600019.SH,0,0,0.126791095278358,0,0,0,0.126021697993018,0,0,0,0,0,0,0,0,0,0,0.197345867950729,0,0,-0.0392144183495471,0,0,0.367763434883078,0,0.0444597052468977,0,0.1076841882946,0,0,0,0,-0.0929993779563968,0,0.224726895358099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273567229177492,-0.00780729465802979,0.210356354422737,0,0,0,0,0
X600585.SH,0,0,0.0290750376535874,0,0,0,0,0,0,0,0,0,0,0,0.265548953717611,0,0.0482022892107605,0,0,0,0.0216044346107657,0,0,0,0.0150808823114126,0,0,0,0.0511732307931082,0,0,0,-0.105561949988504,-0.040741170459925,0.238157915333916,0,0,0,0,0,0,0,-0.594084782310398,0,-0.362615290500946,0,0,-0.0741442951809543,0,0,-0.0244002972305138,0.0619472178483402,0,0,0,0,0,0
X601600.SH,0,0,0,0.00528346395965581,-0.00344400493295267,0,0,0,0,0,0,0,0,0,0,0,-0.025238402789696,0.0381422329746697,0,0,0,0,0,0,-0.0525343528970289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353825385569057,0,0,0,0,0,-0.0127300328992225,0,-0.0089039643408381,0.00397679749586472,-0.0403586877723774,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0524557410442988,0.0513269505656721,0,0.0642485757138144,0,0,0.0434458255177067,0,0.0135224009135285,0,0.0119969461318844,0,0,0.00945671747338715,0,0,0.079566396964152,0,0,0,0.258058372978198,0,0,0,0.023982269975158,0,0,0.130880296164509,0,0,0,0,0,0,0,0,-0.00339999744302084,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.198816571854973,0,0,0,-0.33001449213928,0.147692701837946,0,-0.120852963257779,0,0,0,-0.00415232849737178,0,0,0.0414490336358959,-0.0148378347104003,0,-0.111930081777857,0,-0.0238908168736743,0,0,0,0,0,6.93889390390723e-18,0,-0.0318356081343242,0.781806107494318,0,0,0,0,0,0,0,0,0,0.0012655412867761,0,0,0,0,0,0
X600011.SH,0,0.133805793040533,0,-0.0191062902360138,-0.0660261825216092,0,0,0,0,0.0751138289958583,0,0,0,0,0.0842461389690253,0,0,0,0.0305851926860525,0,0,0,-0.0490782538288823,0,0,0,0,-0.00983716887130133,0.0123519642544409,0,0,0,-0.0217248180372202,0,0.0112373081110006,0,0,0,0,0,0,0,0,0,0.111388279180952,0,-0.0353783574521069,0,0,0,-0.01937154040206,0.0240191239087625,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.00937624153135809,0,0.0802891968356626,0,0,0,0,0,0,0,0.223045509522884,0,0,0,0,0,0,0,0,0,0.0010837851696069,0,0,0,0,0,0.0259582887401342,0,0.0488238114553827,0,0.0205438799764254,0,0,0,0,0,0.0177840840272269,0,0,0,0,0.182195539702165,0,0,0,0,-0.00716357595966602,-1.0842021724855e-19,0,0,0,0,0,0
