,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600111.SH,X600585.SH,X002466.SZ,X000792.SZ,X600019.SH,X600010.SH,X600660.SH,X000301.SZ,X000877.SZ,X600188.SH,X000708.SZ,X002271.SZ,X600011.SH,X601600.SH,X600547.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X000723.SZ,X600803.SH,X002326.SZ,X000408.SZ,X300073.SZ,X600219.SH,X600399.SH,X600688.SH,X300037.SZ,X601991.SH,X600516.SH,X600795.SH,X000786.SZ,X600141.SH,X600096.SH,X000831.SZ,X000155.SZ,X000959.SZ,X600486.SH,X000825.SZ,X600352.SH,X600157.SH,X600489.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.00660620999327189,0,0,0,0.0667220389103881,0,0,0,0,0,0,0,0,0.128666169768508,0,0,0,0,0,0,0,0,0,0.159644430176694,0,0,0,0,0.0143411176972535,0,0,0,0,0,0,0,0,0,0.00218312049516774,0.144543687199984,0,0,0,0,0,0,0,0,0,0,-0.025367129725568,0,0,0,0,-0.0455903371802655,0,0
X600028.SH,0.187632724258155,0,0,0,0,0,0,0,0,0.0529879699212613,0,0,0,0,0.0615797797196606,0,0,0,0,0,0.0542838425973873,0,0,0,0.0904106145160406,0,0,0.0019511848805632,0,0,-0.0498576638851566,0,0,0.108290134010864,0,0,0,0,0,0.0208120858918179,0,0,0,0,0,0,0,0.064971173907801,0,0.093203766623545,0,0,-0.00447927845669436,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163622363018538,0.0607178797364952,0,0.0301804267159363,0,0,0.526735380936911,0,0,0.0626420078398904,0,0,0.00560904314880788,0.114205230152183,-0.0401979142286435,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0866609594604309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,-0.0412435744468908,0,0,0,0,0,0.0227949672159013,0,0,0,0,-0.0280863908599248,0,0,0.0438531963042966,-0.0115836731300358,0.13041503598776,0,0,0,0,0,0.211382017203766,0.0767621516929997,-0.020557708474645,0,-0.0693599463999581,0,0,0,0,0,0,0,-0.0447083244813373,0,0,-0.093832638438289,0.0355168027831426,0,0,0,0,0,0,0,0,0,0,0.0123274207433861,0.0179938556254748,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.539554980942568,0,0,0,0.314033333468936,0.075288516926042,0,-0.110891319248167,0,0,-0.11745226156326,0,0,0,0,0,0,0,0,0,0,0,0.0450270285013254,0.00098817520095006,0,0.0860889299660898,0,0,0,0,0,0,0.0408058773601475,0.0581935870482832,0,0,0,0,0,0,0,0.0605001227152351,0,0,0.0210329220628663,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.188650446038661,0,0,0.197290576074215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30696526392809,0.0327110222168258,0,0.243754426281944,0,0,0,0.0482718078583078,0,0,-0.0778487764014052,-0.104629564776191,0.1868507276782,0,0,0,0,0,0,0,0,0,0,0.010693848382988,0,0,0,-0.161514909464746,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414606665286583,0.0709223756098452,0,0.157727561428398,-0.0296186698452293,0,0,0,0,0,0.0595001564182963,0,0,0,0,0,0.0893689953095518,0,0,0,0,-0.0218583173391895,0,0,0,0.188123533513728,-0.091158435717022,0,-0.031468550511698,0.0615449840347318,0.135214032518017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.380883233079475,0.0964217977248377,0,0,0.0237658234262738,0,0.115061470914048,0,0.176442714566253,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.0118072101405784,0,0,0.197851017780088,0,0.0617073947291688,0,0,0.0045476360904413,0,0.00203734798451368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.0613488867772711,0,0,0.154062718028045,0,0,0,0,0,0,0,-0.2005522249868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310105674605766,8.67361737988404e-19,0,0.0402341233892047,0,0,-0.000766966690428062,0.0570333596868572,0.0309536333327792,0.319763812105657,0,0,-0.0697648858195457,0,0,0,0,0,-0.0223860914468244,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.118381147657767,0,0,0.216388975999152,0,0.124739055190027,0,0,0,0,0,0.0286609330897054,0,0,0,0,0.0199776233062515,0,0,0.0359435893413476,0,0.000728779131814187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279742100514904,0,0.0252592534455419,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0
