,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601898.SH,X601992.SH,X601600.SH,X600688.SH,X300072.SZ,X601991.SH,X600547.SH,X600309.SH,X600795.SH,X000709.SZ,X600362.SH,X600188.SH,X600660.SH,X600886.SH,X600027.SH,X000959.SZ,X600157.SH,X002466.SZ,X600111.SH,X600489.SH,X600339.SH,X000898.SZ,X601158.SH,X600299.SH,X000792.SZ,X600583.SH,X000408.SZ,X000630.SZ,X600008.SH,X000883.SZ,X600219.SH,X600578.SH,X002460.SZ,X000786.SZ,X000983.SZ,X600352.SH,X000401.SZ,X000539.SZ,X000027.SZ,X002092.SZ,X000825.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.297782570141841,0.0603789300137174,0.0558775882132526,0,0,0,0,0,0.0328120656549393,0,0,0.00888561848089589,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374043395830816,0,0,0,0,0,0,0.0930241589883243,0,0,0.0228858420767635,0,0,0,-0.0529226334779151,0,-0.00669162393890344,0,0,0,0,0,0,0,-0.117991636877856,-0.0142422804145987,-0.00122054155494049,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.038246108728151,0.0743375984874997,0,0,0,0,0,0.0589831636770037,0,0,0,0,0.0231081554455533,0,0,0,0,0,0.0379934870594641,0,0,0,0.0199845927960547,0,0,0.00914870287526947,0,0,0,-0.0509800239240886,0,0,0,0.0689212161337932,0,0,0,0,0,0,-0.00452573891453844,0.019555062317328,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0592730146958141,0,0.0836481821546903,-0.0231258327781618,0,0,0,0,0,0,0,0.0224566776575764,0.0313619753779259,0.0715055538740202,0,0.130410675842284,0,-0.060164302456162,0,0,0,0,0,0.162970004392342,0,0,0,0,0,0.0269148509604426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00702976552226108,-0.00372681574742159,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.402401651048566,0,0,0,-0.0644701605402495,0,0,2.16840434497101e-19,0,0,0.162223740064904,0,0,0,0.0441966568996835,0,0,0,0,0,0,0,0,-0.046732839399823,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.00568382384573154,0,0,0,-0.177664398995099,0,0,0,0,0,0.143619942219969,0,-0.0184723231729502,0.0662377164426351,0.167784183991709,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0.189837373202026,0,0,0,0,0,0,-0.0792301325349681,6.93889390390723e-18,0.0763031245218269,0,0,0,-0.0133428828879826,0,0,0,-0.0287274300038253,0,0.282447240016499,0,0,0,0,-0.422024448211403,-0.0162743291837501,0,0,0,0,-1.73472347597681e-18,0,0,0,0.137943876726583,0,0,0,-3.46944695195361e-18,0,0,0.0219693756099752,-0.00659517739792131,0,0,0,-0.116402845462876,0,0
X600011.SH,0,0,0.0666954696811323,0.0716506746924838,0,0,0,0,0,0,0,0,0,-0.0993731669389051,0.0524524532724083,0,0.00919483749240064,0,0,0,0.146466887627181,0.294467345484453,0,0,0,0,-0.10835887302865,0,0,0,0,0,0,0,0,0.301815387559139,0,0,0,-0.0149035540064601,-0.138083146001617,0,0,0,0,0,0,0.0281368490027353,0,0,0.0353684550888871,-0.0134867648941126,0,0,0,0,0,0
X600010.SH,0,0,0,0.00405375615840284,0,0,0,0,0,0,0,-0.0137612508801242,0,0,0,0,0.0461354101413384,0,0,0.120958780962203,0,0,0,0,0,0,0,0,0.147343032953545,0,0.250551482512479,0,0,0,0,0.0145861914709577,0,0,0,0,0,0,0,0,0,0,0.0688318604744536,0,0.125886150682206,0,0.00377512752114883,-0.00664109056647929,0,0,0,0,0,0
X601898.SH,0,0,0.0274347590554442,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137905973751354,0,0.0689749818240205,0,0,0,0,0,0,0,0,0.0410088639167813,0,0,0,0,0.36327933202747,0,0.0533713747706148,0,0,0,0,0,0,0.170899936811599,0,0,0,0,0,0,0.0501350279450192,0,0,-0.00231305458971813,0,0,0,0,0,0
X601992.SH,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.418279460611862,-0.0017371255017466,0,0,0,0,0,0,-0.186903405616327,0,0,0.0750312709071727,0,0,-0.0850735033493732,0,0,0,0,0.0279649226434096,0,0,0,0,0,-0.0847536930017598,0,0.415731942172215,0,0,0,0.0719322265021599,0,0.029613488807211,0.00541614435227275,0.00831521333053813,0,0,0,0,0,0
X601600.SH,0,-0.068418776004788,0,0,0,0,0,0,0,0,0,0,0.0223366777632884,0,0,0,-0.0273807508470293,0.250246332656024,0.0616104206255996,0,0,0,0,0,0.178243769873095,0,0,-0.100076447186369,0,0,0,0,0,0,0,0,0,0.370991558136004,0,-0.0828732832923064,0.055841300464571,0,0,-1.38777878078145e-17,0,0,0.0585408991874045,-0.0113836466683065,0,0,0.00992349938128635,-0.00889304362246958,0,0,0,0,0,0
