,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X600585.SH,X002460.SZ,X601898.SH,X000792.SZ,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X600547.SH,X000877.SZ,X600795.SH,X601600.SH,X002271.SZ,X000983.SZ,X601991.SH,X600803.SH,X600426.SH,X600027.SH,X600362.SH,X600176.SH,X601699.SH,X600348.SH,X000408.SZ,X600985.SH,X600096.SH,X000723.SZ,X000629.SZ,X000786.SZ,X600160.SH,X000933.SZ,X600141.SH,X600995.SH,X600157.SH,X600219.SH,X600489.SH,X600378.SH,X002353.SZ,X600801.SH,X002080.SZ,X300073.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.816188487358242,0,0,-0.00825964911928896,0,0,0.0174246950236014,-0.00930571312243691,0,0,0,0,0,0,0,0,0,0,0,0.101806746146412,-0.0599940776617083,0.00517863516790045,0,0.011641867460889,0,0,0,0,0.081206001215711,0,0,0,0,0,0,0,0,0,0,-0.0659686134680673,0,0,0,0,0.141126930777643,0,0,-0.029608886449495,0,-0.0205277077808545,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0364081738076279,0.408370578683111,0.068433099292207,0,0,0.179205041402685,0,0,0,0,-0.148075840943302,0,0,0,0,0,0,0,0,0,0.23860121535391,0,0,0,0,0,0,0,0,0,0,0,0,-0.131049606701624,0,0.0951834311235025,0,0,-0.106409963093433,0,0,0,0,0,0,0,0,0,0,-0.020274616783945,0,0,0,0,0,0
X600028.SH,0.459321280998031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410445137542814,0,0,0,0.0387521362533311,0,0,0,0,0,0,0.0111053450473402,0,0,0,0,0,0,0,0,0,0.0839385026958694,0,0.106616567108344,0,0,0,-0.00760352292400162,0,0,0,0.00706699500197799,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.020297938882647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658404345309318,0,0,0,0,0.0586898347264203,0,0.13315251806247,0,0,0,0.12987842571538,0,0,-0.0380665925857039,0.0616197090689008,0.0339447088686922,0,0,0.0237949174898259,0,0,0,0,0,0,0,0,0.0670824795042207,-0.0282939827230989,0.00940385135923575,0,0,0,0,0,0
X600188.SH,0,0.707142306784349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070089533196908,0,0,0,0,0,0,0,0.0089116370324329,0,0,0,0,0.00371279764666086,0,0,0.0921189552628086,0,0,0,0,0,0,0,0,0,0,0,-0.0809558188346528,-0.00550677958828914,0,0,0,0,0,0
X002466.SZ,0,0.0597226539544154,0,0,0,0,0,0.658390698774878,0,0,0,0,0.111806035381834,0,0,0,0,0,0,0.0343696497432117,0,0,0,0,0,0.0399044628610429,0,-0.0655923264526528,0,0,0,0,0.310929420318349,0,0,0.0153256169042758,0,0,0,-0.129406777410946,0.111921842709361,-0.0155627899536864,0,0,0,0,0.185729709643829,0,0,0,0,0.0585092416850254,-4.33680868994202e-19,0,0,0,-0.179697896283508,0,0
X600585.SH,0,0,0,0.00753024199839387,0,-0.0427747038938722,0,0,0,0,0.0845794438633923,0,-0.012649104079573,0,0,0.0485516200596015,0,0,0,0,0.080732567376716,0,0.0380941695103819,0,0,0,0.00228922925037506,0,0,0,0,0,0,0,0.0652675162587073,0,-5.42101086242752e-20,0,0,0.021504213616149,0,0,0,0,0,0,0.0295498912426974,0.43835830168985,0,0,0,0.0418318920761914,0.0205056999800936,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.381275975993795,-0.10490305512806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188398996403985,-0.106787374141559,0,0,0,0,0.0711244383288247,0,0,0,0,0.00225706938257024,0.0708941444152863,0,0,0.0958732083466908,0,0,0,0,0,0,0,0,0.046885070870426,0.126911740070527,0,0.157460476370486,-0.0725747809282528,0,0,0,0,0,0
X601898.SH,0.138041528955921,0,0,0,0.131625303803283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362720660144982,-0.0550098090145381,0.297607790381118,0,0,0,0,0,0,0,0,0,0.0885335685123819,0.0557363901082906,0,0,0,0,0,0,0,0,0.0951983398683067,0,0,0.131031698694399,0,0,0,0,0,-0.0358681664491347,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.223125778674592,0,0,0,0,0.148575026576335,0,0,0.0642103144673104,0,0,0,0,0,0,0,0,0,0,0,-0.0410630881377702,0.0713100841972462,0,0,0,0,0,0,0,0,0,0.0186013178060936,0.172426662360278,0,0,0.196218689624561,0,0,0,0,0,0,0,0,0,0,0,0.0409482665976029,0,0,0,0,0,0
