,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X002460.SZ,X000708.SZ,X002466.SZ,X600803.SH,X600027.SH,X000301.SZ,X600160.SH,X601991.SH,X000786.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X601699.SH,X000408.SZ,X002128.SZ,X600176.SH,X000630.SZ,X600096.SH,X601168.SH,X000877.SZ,X600985.SH,X000933.SZ,X002353.SZ,X600378.SH,X002271.SZ,X600995.SH,X600352.SH,X000883.SZ,X000027.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.179578140740649,0,0.0836251263888813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231767546162321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372621379217056,0,0.040451997429881,0,0,0,0.269982961169992,0,-0.0642671651592105,0,0,0,0,6.93889390390723e-18,0,0.0361060970409065,0,-0.0790760449492924,0,0,0,0,0
X601088.SH,0.0838673969960191,0,0,0,0.243981190615798,0,0,0.0278235771785957,0,0,0,0,0,0,0,0,0,0,0,-0.097413213656377,0,0,0,0,0,0,0,0,0,0.0424867165568996,0,0,0,0,0,0,0,0,0,0,0.158700738075071,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,-0.0290835522463126,0,0,0,-0.087637419316613,0,0
X600028.SH,0.501301756691936,0,0,0,0.170491042165562,0.120307221232864,-0.0633641994706802,0,0,0,0.0178666976069501,0,0,0,0,0,0,0,0,0,0.0290230429326242,-0.0583746472079639,0,0,0,0,0.206038784632847,0,0,0,0,0,0,0,-0.0957364104069171,0,0,0,-0.116131868907884,0,0,0,0,0,0,0,0,0.0188273329695984,0,0,0,0,0.0171070516547261,0,0,0,0.024011916515808,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0359608610356142,0,0,0,0,0,0,0,0,0,0,0.136115966683965,0,0,0.121280468780459,0,0,0,0,0.0634940359350862,0,0.37436690609654,0,0,0,0,0.112701258103637,0,0,0,0,0,0,0,0.0383440789907811,0,0,0,0,0,0,6.93889390390723e-18,0,-0.100631732799073,-0.021071998438985,0,0,0,0,0,0
X601898.SH,0.330197337322546,0,0,0,0,0,0,0,0,0.039957687624661,0,0,0,0,0,0,0,0,0,0,0.0187741474643758,0,0.0828258684294399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.117136569455294,0,0,0,0
X600188.SH,0,0,0,0,0.042670798090491,0,0,0.0280248683117821,0,0,0,0,0,-0.237996519594986,0,0,0,0,0,0,0,0,0,0.0582826057221594,0,0,0,0,0,0,0,0.126886677216135,0.604117989615795,0,0,0,0,0,0,0,0,0,0,0.208051500394313,0,0,0,0,0.103307017275297,-2.77555756156289e-17,0,0,0,0.17674187965533,0,0,-0.0541454853280876,0,0
X600660.SH,0,0,0,0.177549163601963,0,0,0,-0.209164649028428,0,0,0,0,0,0,0,0,0,0.525478841694836,0.0299875493749074,0,-0.471408106114241,0,0.0297439633286243,0,0,0.0663653129519549,0,0.294824459154169,0,0,0,0,0,0,0,0,0,0,-0.273457606122108,-0.0297592170627517,0,0,0,0.0134324376804438,0,0,0,0,0,0,0,-0.041243984806589,0,-0.127049226296972,0,0,0.0145915307384183,0,0
X600019.SH,0,0.282503086101575,0.0673693537200211,0,0,0,0,0,0,0,0,0,0.226643948865616,0,0,0,0,0,0,0,0.360518004861316,0,0,0,0.00169205858511104,0,0,0,0,0,0.0325610372257523,0,0,0,0,0,0,0,0,0.0328315510265913,0,0,0,0,0,0,0,0,0,0,0,-0.0563539714301358,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0262864798009431,0,0,0,0.0483065197294476,0,0.0897965279057497,0.187905329370153,0,0.443553510808537,0,0,0,0.023620776963113,-0.000699324914218581,0,0,0.334344028312566,-0.014144174721836,0,0.147508311404688,-0.0207464543539111,0,-0.000823459744440898,0,0,0,0,0,0,0,-0.0332291614318695,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.127619113040167,0,0,0,0,0,0,0,0,0.169612529721019,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0302785545343268,0.165251809465043,0.0296084806961407,0,0,0,0,0.0159357128030421,0.0593663943985938,0,0,0,0,0,0.250042485863306,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0.0227473783586057,0,0,0,0,-0.102375537066336,0,0
X600547.SH,0,0,0.0484649434017041,0,0,0,0,0,0,0,0,0,0,-0.0253983085083368,0,0,0,0,0.810271003104652,0,0,0,0.0158661906561579,0,0,0,0,0,0,0,-0.00604510579590858,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152675943291476,0.0932316146821545,0,0,-0.0150534901364962,0,0,0,0,0,0,0
