,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X600886.SH,X601600.SH,X601991.SH,X600688.SH,X000709.SZ,X600027.SH,X600157.SH,X600188.SH,X600362.SH,X600111.SH,X600583.SH,X601992.SH,X002075.SZ,X601158.SH,X600309.SH,X000539.SZ,X000898.SZ,X000027.SZ,X002353.SZ,X600352.SH,X600021.SH,X000883.SZ,X002470.SZ,X601918.SH,X000629.SZ,X000878.SZ,X000792.SZ,X600660.SH,X600808.SH,X600863.SH,X600307.SH,X600578.SH,X600098.SH,X000060.SZ,X000825.SZ,X600489.SH,X600008.SH,X600315.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.468590893108863,0.14476480524608,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0671066746483097,0,0,0,0,0,0,0,0,0,0.0521712345683012,0,0,0,0,0,-0.0626609935886586,0.0320885789667605,-0.0174111657542688,0,0,0,0,0,0
X600028.SH,0.451329816303773,0,0.055534557923478,0,0,0.13910667263047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117386424747294,0,0,0.0355365663087594,0,0,0,0,0,0,0.0425752095253544,0,0,0.0299399184536554,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.00916706855743066,0.0139477680645405,0.0674097843713777,0,0,0,0,0
X601088.SH,0,0.23774160883216,0,0.0436735580675375,0,0,0.13714321717791,0.0387200789333432,0,0,0,0,0,0,0,0,0.0542364907414301,0,0,0.0614133834120569,0,0,0,0,0,0,0.0166633027972519,0,0,0,0,0.03379174289975,0,0,0,0.0245372382402002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0321408108461564,0.178007738389081,0,0,0,0.108171990617242,0.134015551419365,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0362269029359794,0,0,0,0,0,0,0.0592535227758739,0,0,0,0,0.062518561412587,0,0,0.262204475245101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0763169321600666,0,0,0,0,0,0,0,0,0.228653432325224,0.135441000605804,0,0,0,0,0.021556978376996,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.159433553813511,0,0,0,0,0.143001394974533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0186619181959089,0.0836731821699969,0.218211779066661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372958021432627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0117701762738846,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.247577685062153,0,0,0,0,0,0.358396426261575,0,0,0.287232335698898,0,0,0.0954448724055881,0.0594712403635992,0,0,0,0,0,-0.118313882315679,-0.0095048308774782,0,0.0366877416254942,0,0,0,0,-0.0318520237815496,0,0,0.0774202165007663,0,0,0,0,0,0,0,0,-0.0393728104971708,-5.42101086242752e-20,0,0,0,0,0,0
X600585.SH,0,0,0.115224792392272,0.134181945094233,0,0,0,0,0,0,0.0488176466544482,0,0,0,0,0,0,0,0.0345805866912623,0,0,0,0,0.0139915182046568,0,0.0711109431029142,0.101352087464887,0,0,0,0,0,0,0,0,0,0.189714616936988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.103032571910389,0,0,0,0.130753743775788,0,0,0,0.0272735846634897,0,0,0,0,0.0641116284053541,0.107354142359476,0,2.16840434497101e-19,0,0,0,0,0,0,0.066614319146627,0,0,0.0358884119464957,0.0971011233374255,0,0,0,0,0.0221023169750067,0,0.131087291757982,0,0,0,0,0.0296262205267443,0,0,0,0,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0264179698998991,0,0,0,0,0.168029560035462,0,0.0902996424431207,0.144815495905686,0,0.0213699011257722,0,0,0,0,0,-1.38777878078145e-17,0,0,0.017062120069393,0,0,0,0,0,-0.0395530121676825,0.0708057321813811,0,0,0,0,0,0,0,0,0.0217702267283389,0,0,0,0,0,0,0,0,0,-0.0249065342744927,0,0,0,0,0,0
