,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X601898.SH,X600886.SH,X600010.SH,X002460.SZ,X600801.SH,X601600.SH,X002271.SZ,X600660.SH,X600362.SH,X600688.SH,X600188.SH,X000786.SZ,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600111.SH,X600299.SH,X002466.SZ,X600176.SH,X600489.SH,X000723.SZ,X000401.SZ,X000553.SZ,X000898.SZ,X601158.SH,X600426.SH,X000792.SZ,X600516.SH,X600219.SH,X000932.SZ,X000883.SZ,X000709.SZ,X002075.SZ,X002353.SZ,X600583.SH,X000027.SZ,X600126.SH,X000630.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.130375360884055,0,0,0,0,0.0899850412749447,0,0,0,0.0893491782444416,0,0,0.161311069630009,0,0,0.104358278496485,0,0,0.00407124507991388,0.0966792677960978,0,0.145205021547172,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.388630091584327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139595523753563,0,0,0,0,0,0,0,0,0,0,0.0384065448724791,0.0834806761625312,0,0,0,0.0196115818936686,0,0.0313862350182593,-0.00306518667922902,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0464197517954278,0.21042805053617,0,0,0,0,0,0,0,0,0.176364199017767,0,0.0565550729470023,0.0908884581318206,0,0,0,0,0,0,0,0.0843508170556063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0384478394600196,0.043427923111803,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00426624594999938,0.403136825957507,0,0,0,0.092624135759495,0,0,0.0253530721568641,0,0,0,0,0,0,0,0.0295716136396656,0.0211343146843228,0,-6.93889390390723e-18,0.110487176903213,0,0,0,0.00564303354440396,0,0,0,0.152777840709903,0,0,-0.0598347120127944,0,0,0,0,0,0.013980303025185,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.0227971752267282,0,0,0,0,0,0,0,0,0,0.0430910358691885,0,0,0,0.225329796823228,-0.0226939821910028,0,0,0,0,0,0,0,0,0,0,0.320624524850963,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0661656176762321,0,0,0,0,0,0.0847463551384495,0,0,0,0,0,0,0,0.00438594299436801,0,0,0,-0.189265850396465,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0991100420361405,0,0,0,0,0,0,0,0,0,0,0,0.803347887893785,0,0,0.0706885916339916,0,0,0,0,0,-0.0638793566985885,0,0,0,0,0,-0.120178524015932,0,0,0,0.290914358598904,0,0.0350314813850888,0.0149176283657518,0,0,0,0.0723569195387653,0,0
X600019.SH,0,0,0,0,0,0,0,0.0456426127575068,0.132929798443098,0,0,0,0,0,0,0,0,0.134615355086623,0.0666830832113236,0,0.0482509763868681,0,0,0,0.261694689868349,0,0,0,0.0859701870236364,0,0,0,0.0189789082437602,0,0,0,0,0,0,0.0717516945490174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128569676865996,0,0,0,0,0.235965219951741,-0.106993913282819,0.24232873101654,0,0,0.305897533157481,0,0,0,0.122941771842148,0.0164331656966952,0,0,0,0,0,-0.0998643179134402,0,0.0416948988218394,0,0.168673111281196,0,0,0,0.0323478354013342,-0.00724461461382935,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0118828355476436,-5.42101086242752e-20,0,0,0,0,0.0512603226156966,0,0,0,0.0368241201222858,0,0.0404955922259583,0,0,0,0.0423405406953296,0,0.0976810697612649,0.462711249532428,0,0.00666663347495297,0,0,0,0.00216376351984408,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1287181858382,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0106148509384433,0,0.165087569616112,0,0,0,0.0220682649601985,0.379627556488269,0,0,0,0,0,0,0,0.0896459866025696,0,0,0,0,0,0,0,0,0,0,0,0.0212872800456836,0,0,0,0,0,0.0185012730381994,0.0484992011200277,0,0.132884508376117,0.0412210810890979,0,0,-0.000679392509563175,0,0,0,0,0,0
X600886.SH,0,0,0,0.098991621782868,0.278538960554322,-0.0338229862887719,0.0357273176628211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078894421732653,0,0,0,0.08032464972423,0,0,0,0,0,0,0,0,0,0,0.0608039156929182,0,0,0,0,0,0,-0.0335271057387882,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.00192443260283675,0,0,0,0,0.0651705174301717,0,0,0,0,0,0,0,0,0,0.0576911087477603,0,0.113120153979937,0,0,0.00379243182231473,0,0,0,0,0,0.00638029169349259,0,0,0,0,0,0.111689392322113,0.129652702375583,0,0,0.0814726178287691,0,0,0.244803608966065,0.0343832602003367,0,0,0,0,0,0,0,0,0,0,0
