,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600362.SH,X600547.SH,X000786.SZ,X601600.SH,X600111.SH,X000301.SZ,X600886.SH,X600188.SH,X002466.SZ,X600010.SH,X600011.SH,X600176.SH,X600426.SH,X600803.SH,X000932.SZ,X601991.SH,X600801.SH,X600219.SH,X600352.SH,X000898.SZ,X600795.SH,X600489.SH,X000027.SZ,X600315.SH,X600688.SH,X000807.SZ,X600157.SH,X002080.SZ,X000825.SZ,X600486.SH,X601168.SH,X000723.SZ,X600516.SH,X600027.SH,X002353.SZ,X600299.SH,X300037.SZ,X600612.SH,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.36603543814971,0,0,0,0,0,0,0,0,0,0.0410176897774946,0,0,0,0,0,0,0,0.0087103393138784,0,0,0,0.00855020211442969,0,-0.0240630586233824,0,0,0,0.00835220918074867,0,0,0,0,-0.0157291568746402,0.00172264686040889,0,0,0,0,0,0,0,0,0,0.0708959905576328,0,0,0,0,0,0.00261198080262359,0,0,0,0,0.0082599469257204,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.0547518872268787,0,0,0,0,0,0,0.0070968654080612,0,0,0,0.0111729427010584,0,0,0,0.139092367853009,0,0,-0.0968050309656653,0,0,0,0.117325621327076,0,0,0,0,0,0.146840770555024,0,0,0,0,0,0,0,0,0,0,-0.0249259719837723,0,0.0335868236744247,0,0,-0.0168185264094476,0,0,0,0.00529271225361121,0,0
X601088.SH,0,0,0,0,0,0,0,0.128085085952214,0.00828841084140483,0,0,0,0,0,0,0,0,0,0.0809199676960628,0,-0.0117519227044793,0.085064637641763,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.010741708616918,0,0,0.15254936075511,0,0,0,-0.0250080778589798,0,0,0,0,0,0,0,0,0.0458418418953892,0,0.0207164658947336,-4.33680868994202e-19,0,0,0,0.0156418072113904,0,0
X600309.SH,0,0,0,0,0,0,0,0.100504277924863,0,0,0,0.156662621234069,0,0.173297966806677,0,0.0826510993608881,0,0,0,0,0,-0.169654914856406,0.0820626938715272,0.13043235852219,0,0,0,0,0.0603935397765528,0,0,0,0,0,0.108975270227516,0,0,0,0,0,0,0,0,0,0,0,0,0.0959216849167383,0,0,0,0,-0.0472253232632956,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0177168949035867,0,0.0396890107649663,0,0,0,0,0,0,0,0,0,0.0696628346809549,0,0,0,0,0,0,0.0467551593590961,0,0.131275993026289,0,0,0,0,0,0,0.0256674991487142,0,0,0,0,0,0.0126023420867411,0.0390671412564934,0,0.057491278791888,0,0,0,0,0,0,0,-0.0140798590800509,-0.0122303684576558,0,0,0,-0.0201205951691539,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269370858059341,0.0791064093130373,0,0,0.117332710565289,0.125476393771957,0,0,0,0,4.33680868994202e-19,0.33552102780366,0,0,0,0,0.0221522649340244,0,0,-0.00794232095972072,0,0,0.0314775701192897,0,0,0.271878184332126,0,0,0,0,0,0,0,0,0,0,0,0,-0.0106465062370283,0,0,0,-0.000461551401317546,0,0
X002271.SZ,0,0,0,0,0,-0.214771773692029,0,0,0,0.0174270098721325,-0.0101736067777235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484611142510118,0,0,0,-0.10454207452045,0,0,0,0,0,0,0,0.185132548674391,0,0,0,0,0,0,0.0597224902079882,0,-0.00229109075764842,0,-0.0327096208129789,0,0,0,0,-0.0569856699311108,0,0
X002460.SZ,0,0,0,0.00242213597246121,0,0,0,0,0,0.165077789914222,0,0.00391778112242794,0,0.169328501784912,0,0.143907915779648,0.242202051879242,0,0.0923846837593003,0.473662693119269,0.0089216816314057,0,0,0,0.0359103586183646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204752218294497,0,0.0862946674433683,-0.0298461921122889,0,0,0,0,0,-0.0179621704707075,0,0,0,0,0,0,-0.00167764591682831,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0.0897655258776488,-0.0679496337170155,0,0,-0.29461947262458,-0.0620048683532018,0.336103520549397,0,0,0,0,0,0,0,0,0,0,0,0,-0.282973753703925,0,0.11126095693837,0,0,0,0.0583267947301247,0,0,0,0,0,0.0823358375241137,0,0,0,0,0,0.270436812934933,0,0,-0.0870938384123853,0,0.383555538444004,-0.360039492115223,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.112424352693262,0,0,0,0,0.0806060001103298,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.249566398847223,0,-0.00182784969346669,0,0,0,0,0,0,0,0,-0.0343486231110195,0,0,0,0,-0.0502056523532789,0,0
