,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X601991.SH,X600660.SH,X600547.SH,X600188.SH,X601600.SH,X600886.SH,X600362.SH,X600795.SH,X000898.SZ,X600027.SH,X600176.SH,X600111.SH,X601992.SH,X002466.SZ,X600516.SH,X000709.SZ,X002460.SZ,X000629.SZ,X600299.SH,X600808.SH,X600801.SH,X300072.SZ,X600339.SH,X000825.SZ,X600352.SH,X002110.SZ,X000553.SZ,X600489.SH,X600583.SH,X600426.SH,X000786.SZ,X601158.SH,X000932.SZ,X000883.SZ,X600219.SH,X000301.SZ,X601699.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.126546155332922,0,0,0,0.131284293040325,0,0,0,0,0.149665357815907,0,0,0,0,0,0,0,0,0,0,0,-0.0237892443287591,0,0,0,0,0,0,0.0453839807783091,0,0,0.155563567631803,0,0,0,0,0,0.176784801787618,0,-0.0189389747895915,0,0,0,0,0.00175891427167022,0,0,0,0.019008998474527,0.0136834527162065,0,0,0,0,0,0
X600028.SH,0.364080132255231,0,0,0.190836466880155,0.247056996807292,0.0952933055092957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528103643975052,0.0708421527042771,0,0,0,0,0,0,-0.0252254830099214,0,0,0,0,0,0,0.0778867075763446,0,0,0,0,0,0,0,0,0,0,0.034689671849728,0.0206596670498023,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.050470508682381,0.23223811914901,0,0,0,0,0,0,0,0.00449942781222452,0,0,0,0,0,0,0,0.00426258772466415,0,0,0,0,0,0,0,0,0,0,0,0.00740472907639647,0,0,0,0.422098941082281,0.0274813733228203,0,0.0044752231292694,0,-0.0310322153511474,0,0,0,0,0
X600585.SH,0,0,0,0,0.177236801879623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.315967533469066,0.0264930459190933,0,0,0,0,0,0,0.0951374594387074,0,0.227851747999,0,0,0,0,0,0,0,-0.0264063580435155,-0.00489373156599047,-0.00096631589519572,0,0,0,0,0,0
X600019.SH,0,0.0371762190976263,0,0.0378253557575329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546770932775523,0,0,0,0,0.0263134368605289,0,0,0,0,0,0,0.214593539704024,0,0,0,0,0.00857317407977657,0,0,0,0,0,0,0.0771094627758774,0,0,0,0,0,0,0,-0.000209739816984827,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01911758048714,0,0.121721007625791,0,0,0,0.769280969186686,0,0,0,0.0532751325294428,0,0,0,-0.0677820157868288,0,0,0,0,0,0,0.107344740487553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109518607533567,0.0218779747185654,0,0,0,0,0,0
X600309.SH,0,0,0,0.105802296930056,0,0,0,-0.312351682968107,0,0,0,0.319434420623991,0,0,0,0,0,0,0,0,0,0,0,0,0.391257418336616,0,0,0,0.0270831078575915,0,0,0,0,0.106738717929843,0.00493343379675631,0,0,0,0,0.0428566717820302,0,0,0.058632348515307,0,0,0,0,0,0,0.0241975020665653,0.0385274334061374,0,0.321438073532424,0,0,0,0
X600010.SH,0,0,0,-0.0726473840945057,0,0,-0.119408934666015,0,0,0,0,0,0,0,0,0,0,0,0.0603151450180147,0,0,0.228790932637355,0.111393813350845,0.0293010333585334,0.254303497256325,0,0,3.46944695195361e-18,0,0,0,0,0,0.0154483694784539,0,0,0,0,0.0889592149410922,0,0,0,0.0550249979498602,0,0,0,0,0.0413402312825864,0,-0.00660464011987893,-0.0302981730831095,0,0,0,0,0,0
X601898.SH,0,0.0816929616947704,0,0,0,-0.0110915925537306,0,0,0,0,0,0,0,0.0624218716268471,0.194983809462613,0,0,0,0,0,0,0,0,0,0,0,0.148405311059014,-0.0386079509935917,-1.73472347597681e-18,0,-0.028500832247678,0.0144819508127555,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0.00255156676992634,0,0.225278400031659,0,0,-0.00820861071606182,0.00389838455254095,0,0,0,0,0,0
X600688.SH,0.0166116873516851,0.235030289268205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047987254419113,0.0331096295695174,0,0,0.0785327443631976,0,0,0.056525597456626,0,0,0,0,0,0.0457521216513512,0.0611442130588045,0,0,0,0,0,0,0,0,0,0.00598904062102452,-0.00298249428957942,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0114244807142787,0,0,0,0,0,0,0,0.210108462557015,0,0,0.178768450698571,0,0,0,0,0,0,0,0.023053576747265,0,0,0.0603596984569999,0,0,0,0,0,0,0,0,-0.0300754660189824,0.0265160124021218,-0.0837218601039915,0,0,0,0,0,0,0,0.0209230152480877,0.0430012992266246,0,0.0181559046441888,0,0,0,0,0,0
