,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600660.SH,X600362.SH,X600188.SH,X600801.SH,X601991.SH,X600795.SH,X600352.SH,X600688.SH,X000786.SZ,X002460.SZ,X600111.SH,X600027.SH,X002271.SZ,X601992.SH,X000723.SZ,X002466.SZ,X600176.SH,X600583.SH,X002353.SZ,X600516.SH,X000898.SZ,X600299.SH,X600426.SH,X600489.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X600612.SH,X000027.SZ,X000629.SZ,X000553.SZ,X000825.SZ,X000630.SZ,X000792.SZ,X000539.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0488272030517856,0,0.0402135322899079,0.15545496320071,0,0,0,0,0,0,0,0,0,0.114586780392828,0,0,0,0,6.93889390390723e-18,0.0282273522300298,0,0.0177308576797107,0,0,0.0684878383794646,0.0245942796379891,0.0809248989071785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0663373389923041,0,0,0,-0.0128671622293474,0.0079157387555924,0,0,0,0,0,0
X600028.SH,0.0410609611917234,0,0,0,0,0,0,0,0.0318732987118763,0.0191813782282362,0,0,0,0,0,0,0,0,0,0,0,-0.0145404468471695,0,0,0,0,0,0.148737954217484,0,0,0,0.00226471493497333,-0.0494089304410526,0,0,0.135108754808108,0,0,0,0,0,0,0,0,0,0,0,-0.0268653651951639,0,0,0,0.0111155946527793,0.0080885482423953,0,0,0,0.0171554980060089,0,0
X601088.SH,0,0,0,0,0,0.396135823155036,0,0,0.00838440377461708,0.0378908966488085,0.0397663788743454,0,0,0,0,0,0.089960443334183,0,0,0,0,0,0,0,0,0,0,0,0.0594721478777128,0,0,-0.108658538655593,0,0,0,0,0.0106397883038506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172555021831715,-0.0117458055980348,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.156583927742305,0,-0.0284550733271649,0,0,-0.043739014237938,0.0215273613220275,0,0,0,0,0,0.39821724846302,0,0,0,0,0.0938504431535544,0,0,0,0,0,-0.0353613442378582,3.46944695195361e-18,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163987701377904,-0.0227636526828455,0,0,0,0,0,0
X600309.SH,0,0,0,0.0790611761102051,0,0,0,0,-0.102588475360125,0,0,-0.0645423241298879,0,0,0,0.00909075121669633,0.121590976429665,0,0,0,0,0,0,0,0,0.205161950703742,0,0,0,0.0079400858495351,0,0,0.0927639201381244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0931600799672804,0,0,0,-0.0356688729481211,0.0119493656840075,0,0,0,0,0,0
X600019.SH,0,0,0.226204984829236,0,0,0,0,0,0,-0.0317182040623747,0,0.115406792686173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00258431173774994,0,0.195689777667418,-0.0316921838977593,0,0,0,0.00409636044621429,0,0,0.10618086119221,0,0,0,0,0,0,0,0,0,0,0,0,-0.00178725594981356,0.00790309924920954,0.0767846823033748,0,0,0.0560452284771062,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00970039666351919,0,0,0,0,0,0,0,0,0,0,-0.0222745050176451,-0.0817633494056095,0,0,0.0500416765352358,0,0,0,0.111899011532204,1.38855405821181,0,0,0,0,0,0,0,0,0,-0.222299702541746,0.139302218779008,0,0,0,-0.038908032698579,0.0136649313647338,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.117352091262878,0,-0.154552268605616,0,0,0,0,0,0,0,0.00880946528578272,0,0,0,0,0.119408728698834,0,-0.0314098165584032,0.0518292562168198,0.178852997632932,0,0,0,0,0.0999880173548464,0.0695359496488277,0,0,0,0,0,0,0,0,0,0,0,0,0.04635797379839,0,0,0.117788586316668,0,0,-0.0828437822256271,-0.0396144783159294,0.0191514979283891,0,0,0,0,0,0
X000708.SZ,0,0,0.534721723470923,0,0,0,0,0,0,0,0,0.514338203664685,0,0,0,0,0.130265719084233,0,0,0,0,0,0,0,0,0,0,0.025766885659001,0.0613703619285963,0,0,0,0,0,0.367105394542041,0,0.165117040199212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034839000152256,0,0,0,0,0,0,0
X601898.SH,0.0690292727583585,0,0,0,0,0,0,0,-0.0168219533852207,0,0,0,0,0,0,0.403812187361474,0,0,0,0,0,0,0,-0.219603091557597,0,0,0,0,0.21697071395067,0,0,0,0,0,0.0531431848385015,-0.105473233417267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081703059339165,0.0810901071565524,0,0,0,0.0509073533056426,0,0
X600886.SH,0,0,0,0,0,0,-0.111226568690501,0,0.20179450866064,0.164345776397276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116321779909218,0.0672782737073903,0.118383423861546,0,0.0432641028864319,-0.0431249636990885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223679465987139,0,0,0,0,-0.0640477174535451,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.128243521093779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558558731359977,0.069011331213363,0.17885764439435,0,0,0,0,-0.00987749663979613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124706448931565,0,-0.0152615871759617,0.0782102738593786,0,0,0,0.199902560990501,0,0
