,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X601898.SH,X600011.SH,X600585.SH,X600547.SH,X600660.SH,X600886.SH,X601600.SH,X002466.SZ,X000792.SZ,X002460.SZ,X600795.SH,X600111.SH,X600010.SH,X000708.SZ,X601699.SH,X600426.SH,X000301.SZ,X600362.SH,X000877.SZ,X000983.SZ,X600027.SH,X600803.SH,X002271.SZ,X600489.SH,X601991.SH,X600160.SH,X600176.SH,X600985.SH,X000807.SZ,X000786.SZ,X000630.SZ,X000408.SZ,X000932.SZ,X600612.SH,X000933.SZ,X300037.SZ,X600219.SH,X600995.SH,X002128.SZ,X600348.SH,X600688.SH,X000629.SZ,X000723.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.277322273384287,0.483204687595495,0,0,0,0,0,0,0,0,0,0,-0.148078494003465,0,0,0.00346943004361929,0,0,0,0,0,0,0,0,0,0,0,-0.379228577916495,0,0,0,0,0,0,0,0,0,0,0.162856500184411,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0224542478802818,0,0
X600028.SH,0.648163021792116,0,0,0,0,0,0,0,0,0.000610611877643219,0,0,0,0,0,0,0,0,0,0,-0.0768245022515104,0,0,0,0,0,0.0706413600878023,0,0.0488016808674977,0.0974534742974782,0.0502250313470334,0,0,0,0,0,0,0,0,0,0,0,0,0.010058500136969,0,-0.116811065544683,0,0,0,0,0,0.0140581298112789,-0.0263779733990055,0,0,0,0.0364272989379892,0,0
X601088.SH,0.105085443560595,0.0555060374374759,0,0,0.097551034812984,6.93889390390723e-18,0.181621269452471,0,0,0,0,0.0420682028903287,0,-0.0352172882128406,0,0,0,-0.0378660060944299,4.33680868994202e-19,0,0.0316641173977171,0,0,0,0,0,0,0,0,0,0,0,0.1052055855705,0,0,0,0,0,0,0,0,-0.173495664597887,0,0,0,0,0,0,0,0,0,0,0.00760120787202274,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0907557425125396,0,0,0,0,0,0,0,0,0,0,0,0,0.0331580518659676,0,-0.103587500465296,0.0198488878933302,0.210445121644544,0,0.232586847416463,0,0,0.127675725070247,0.116260626950179,0,0,0,0.0861814620268986,0,0.0691953733080392,0,0,0,0,0.310480762150271,0,0,0.319356656647888,0,0,0,0,0,0,0,0.461900584176904,-0.0286632832380608,0.00296004481316252,0.00979051591482494,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.270488138623738,0,0,0.126040749613445,0,0,0,0,0,0,0,0,0,0,0.220000282369215,0,0,0,0,0.118829490319147,0,0,0,0,-0.0242099262791284,0.00335044497501633,0,0.126006344457412,0,0,0,0,0,0.0185091977038623,0.228890650189701,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.010095144506266,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.263776138445667,0,0,0,0.119707670317478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0380321071805062,0,0,0,0,0,-0.0141310657030413,0,0,0,0.0688504213182184,0,0.572854277994527,0.306334748629923,0,0.141818093670719,0.0252101318690528,0,0,0,0,0.140306295882281,0,0,0,0,0.0140672195466334,0,0,0,0,0,0,0
X601898.SH,0,0,0.259187605501002,0,0.273027172126786,0,0,0,0,0,0,0,0,0,0,0.0534468515283347,0,0,0,0,0,0,0,0,0,0.069606082586074,0,0.013084269474574,0,0,0,0,0,7.98945623396769e-05,0,0.0410799740612948,0,0,0,0,0.0405226896725968,0,0,0,0.0432858516941706,0,0,0,0,0,0,0,-0.00969094645955668,0,0,0,0.0304415130881948,0,0
X600011.SH,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.208834554551791,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273353616219238,0.095732293325313,0,0,0,0,0.0789895639305372,-0.0294629040448912,0,0,0,0,-0.0118509814888611,0,-0.0833333866280498,0.026061152250612,0,0,0,0,0,0,0,0,0,-0.00964229272288551,4.33680868994202e-19,0.0073791871093021,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.00993036517296403,0,0,0,0,-0.0231437642792297,0,0,0,0,0,0,0,0,0,0,0.0453165138157011,0,0,0.353785732921711,0.0338754929881749,0,0,0.235732416953728,0,0,0,0.0210201038658696,0,0,4.33680868994202e-19,0,0,0,0,0,-0.0957625705905611,0,0,0,0,0,0,0,0,0,0,0.00301865312940699,0,0,0,0,0,0
X600547.SH,0,0.11880501338273,0,0,0.0315913984350963,0,0,0,0,0,0,0,0,0,0,-0.0713778390109126,0,0,0,0,0,0,0,0,0,0.0107913077859896,0,0,0.0549549977270471,0.474161075310753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226044216666667,0,0,0,0,0,0,0
