,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600010.SH,X000301.SZ,X002271.SZ,X000708.SZ,X601600.SH,X600660.SH,X600188.SH,X601898.SH,X600011.SH,X600362.SH,X600547.SH,X600426.SH,X600176.SH,X600886.SH,X600219.SH,X000786.SZ,X000723.SZ,X600803.SH,X000408.SZ,X600295.SH,X000959.SZ,X000825.SZ,X000932.SZ,X000898.SZ,X601991.SH,X000831.SZ,X600399.SH,X000807.SZ,X600795.SH,X002080.SZ,X000983.SZ,X600808.SH,X600516.SH,X002192.SZ,X601699.SH,X600801.SH,X300037.SZ,X600352.SH,X000683.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.313893543761791,0,0,0,0.00773539372611366,0,0,0,0.00451587997506226,0,0,0,0,0.049320728455119,0,0,0,0,0,0,0,0,0,0,0,0.0390602386252071,-0.0541641062028892,0,0,0,0,0,0,0,0,-0.0191664469311422,0,0,0,0,0,0,0,0.0585873390814024,0,0,0,0,0.0110680651920027,0,0.000748042649309695,-0.0337865808674304,0,0,0,0,0,0
X600028.SH,0.148434989886372,0,0,0,-0.0141248371815081,0,0,0,0,-0.0681297125634515,0,0.0531516822763077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141267560830387,0,0,0,0,0.0432520285911505,0,0,0,0,0,0,0,0,0,0,-0.0249390871773039,0,0,0.0964206035010176,0,0,0,0.0294842744318712,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.0313366435100864,0,0,0,0,0.0594175357276579,0,0.00216098493018481,0.138204368179542,0,0,0,0,0,0,0.0485202818184197,0.0905473931156727,0,0,0,0,0,0,0,0,0,0,0,0.0867836242429832,0,0,0.0458587717628134,0,0,0,0,0,-0.138611987305077,0,-0.0492528650852862,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,8.67361737988404e-19,0,0,0,0.115223027374129,0,0,0,0.100436909183512,0,0,0,0,0,0,0,0,0.0594968548840879,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0210068587992891,0,0.00878585298657193,0,0,0,0,0,0,0,0,0.00348356034794971,0,0,0,0,0,0,0,0,0,-0.024267540585633,0.0037311597401284,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.29625634945597,0.211613424696943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130910116222449,0,0,0.0920890952732608,0,0.101440006557046,0,0,0,0.0298802890465054,0,0.0436696321075141,0,0,0,0,0,0.0705134631506102,0,-0.0867265928713767,0.072086522514046,0,0.194067426743959,0,0,0.0226769355337678,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0280066750159949,0,0,-0.0231727801601139,0,0,0,0,0,0,0,0,0,0,0.0609204415893773,0.0611620410924349,-0.0472648898707917,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,-0.0508749183805159,0,0,0,0,0,0.58706927405336,-0.0049192912146543,0,0,0,0,0.0268652523214057,0.00285642032056092,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.090266930663301,0,0,0,0,0,0.0561728094751404,0,0,0,0,0,0,0,0,0,-0.00335175741343835,0,0,0,0,0.0317645044527533,0,0.392254809585639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0461365800796973,-0.0562275517910357,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,-0.0495222338826439,0,0,0,0,0,0,0,0,0,0,-0.0807725981513192,0,0,0,0,0,0,0,0,-0.363243946376688,-0.0259922923071708,0.101194941672562,0.159544589193722,0,0,0,-0.00133273276885923,0,0,0,0,0,0,0.00764282487273557,0,0,0,0,0,0,0,0,0,0,0.0481543619509067,0.0529032697473225,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.333311981086218,0,0,0,0,8.67361737988404e-19,0.385788722215438,0,0,-0.0334578316370662,0,0,0,0,0,0,0,0,0,0,0,0,-0.00236203293375993,0,0,0,-0.0376152410858332,0,0,0,0,0.230627545173553,0.108655328539876,0,0,0,0,0,0,0.0205154338175573,0,0,0,0,0,0,0,0.0571843670539662,0.0675003433734814,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.132090609453789,0,0,0,0.244028264391914,0,0,0,0,-0.152950753733298,0.252667259090517,0,-0.0755647478527258,0,0,0,0,0,0,0,0,0,0,0,0.252685405804113,0,0,0,0,0,0,0,0.0828014580701505,0.163549609265026,0,0,-0.02079554433977,0,0,0.205701711656176,0,0,0,0,0,0,0,-0.0951769518412404,0.109521890661648,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0570678706276256,0.255907814819215,0,0.359617181829427,0,0,0,0,0,0,0,0,-0.0609744628508224,0,0,0,0,0,0,0,0,0,0,-0.0599146265307162,0,0,0,0,0.175465996099324,0,0,-0.0363058369234515,0,0,0,0.0605786545424681,-1.35525271560688e-20,0,0.0161577733572787,0,0,0.0032131804941756,0,-0.0420223741822985,0.0259286435991616,0,0.0407092920275781,-0.0814069536926011,0,0,0,0,0,0
X000301.SZ,0,0,0,0.109163808201373,0,0,0,-0.0257184044151679,0,0,0,0,0,0,0,-0.453344957553607,0,-0.326931918160718,-0.0187928081262604,0,0,0,0.266358467300472,0,0,0,-3.46944695195361e-18,0,0,0,0.150638737461233,0,0,0,0,0.0461064666672013,0,0.151078292463826,0,0,0,0,0.281624526936266,4.33680868994202e-19,0,0,0.184474878079553,0,0,0.271545148786687,0,0.0343381936154301,-0.157391244302798,0,0,0,0,0,0
