,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X601158.SH,X600299.SH,X600362.SH,X600188.SH,X600583.SH,X000027.SZ,X601992.SH,X600309.SH,X000539.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X600352.SH,X600660.SH,X600021.SH,X000883.SZ,X002470.SZ,X600098.SH,X000792.SZ,X600623.SH,X601918.SH,X600489.SH,X600863.SH,X600307.SH,X600578.SH,X300072.SZ,X600022.SH,X600008.SH,X600808.SH,X000629.SZ,X600547.SH,X002004.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.555492425571515,0.053872895991207,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0978682922780164,0,0.0321408791342119,0.00856573832522638,0,0,0,0,0,0,0,0,0,0,-0.0199357759988838,-0.0277859637969957,0.0426335467189088,0.041841908804647,0,0,0,0
X600028.SH,0.276421604478438,0,0.21055907421473,0,0,0.0723533330647941,0,0,0,0,0,0,0,0,0.00457440091540338,0,0,0.0877482911370275,0,0,0.100905585498302,0.0758624931371715,0,0,0,0,0,0,0,0,0.0520900983849435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00161577434704332,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.118780105042887,0,0,0,0,0.443697756256329,0,0,0,0,0,0,0,0.104399933486438,0.0971283020311995,0,0,0,0,0,0,0,0,0,0,0.013662926951409,0,0,3.46944695195361e-18,0,-0.0515867575345453,0,0,0,0,0.0426245601274351,0,0,0,0,0,0,0,0,-0.022257804552205,0,0,0,0,0,0,0
X600011.SH,0,0,0.189910244269095,0,0,0,0,0,0,0.016502783362704,0,0.374829689875931,0,0,0,0,0,-0.0788794665308051,0,0,0,0,0.11941403625394,0,0,0,0,0,0,0,0,0.0444523328996222,0.183189714973134,0,0.0491401066394141,0,-0.0269983446059179,0,0,0,0,0.00249214472717741,0,0,0,0,0,0,0,0,-0.00174198123303963,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577755428322703,0,0.0761510844816126,0.00312023702377695,0,0,0,0,0,0,0,0,0.147836489673225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17950122229728,0,-0.0741946527045063,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952889248095663,0,0,0.0353426632473459,0,0,0,0.036227584471854,0,0,0.633916466032037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136316904081985,0,0,0,0,0,0,0
X600019.SH,0,0,0,0.0644260671997257,0,0,0,0,0,3.46944695195361e-18,0,0.0418726490314491,0.040030395244084,0,0.0162636456036279,0,0.12095797889605,0.106228075071873,0.202347526543896,0,0,0,0.0734493513977969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615155849922582,0,0,0,0,0,0,0,0,0,0,-0.02585834860036,0,0,0,0,0,0,0
X601898.SH,0.0606266407034285,0,0,-0.0244605416340875,0,0,0,0,0,0,0.357583944218658,0,0,0,0.0759368917846489,0,0.0795177985800145,0.0918778575990275,0,0,0.0297077819307371,0.0341913371359057,0,0,0,0,0,0,0,0,0.224709613908534,0,0,0,0,0,0.0501647323946219,0,0,0,0,0,-0.0637574456082513,0.0192563044865589,0,0,0,0,0,0,-0.0543729918268274,0.0667918744755486,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0432352593401115,0,0,0,0,0,0,0.0659760075927964,0.370853789659699,0,0,0.00161147906184421,0,0,0,0,0,0.0340451229058475,0.164070454074139,0,0,0,0,0,0,0,0,0,0,0,0.0711066697765277,0,0,0,0,0,0,0.00939883029194597,0,0.0494033678530588,0.0170930540470596,0,0,0.0150306413549723,0,0,-0.0139858806816843,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218970869225811,0,0,0,0,0.197403610195068,0,0,0,0.366784206518229,0,0,0,0,0,0.0597086409515919,0,0,0,0,0.300421688853568,0,0,0,0,0,0,0,0,-0.0606745489047709,0.0613272571351551,0,0,0,0,0,0
