,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X600362.SH,X000792.SZ,X600795.SH,X000708.SZ,X002466.SZ,X002460.SZ,X600010.SH,X600111.SH,X600027.SH,X601699.SH,X000301.SZ,X600489.SH,X000983.SZ,X600160.SH,X600426.SH,X600803.SH,X000877.SZ,X601991.SH,X000630.SZ,X600985.SH,X000933.SZ,X000786.SZ,X000807.SZ,X601168.SH,X000408.SZ,X600176.SH,X002128.SZ,X600612.SH,X600219.SH,X000932.SZ,X000883.SZ,X600096.SH,X600348.SH,X601666.SH,X002271.SZ,X600295.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.208551685323385,0,0,0,0,0,0.202109107222639,0,0.179868861904426,0,-0.0612933825419306,0,0,0,0,0,0,0,0,-0.00319785303311409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0767899539641748,0,0,0,0,0,0,0,0,0,0,0,0,0.0149680146161723,-0.0141246742773332,0.0811717472336292,0,0,0,0,0
X601088.SH,0.0195522129198481,0,0,0,0.209386283078099,0,0,0.163055237110913,0,0,0,0,0,0.0194602726694148,0,0,0,0,-0.0274591856588069,0,0,0,0,0,0,0.10229271586167,0,0,0,0,0,0,0.0819171558923669,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879366834902589,0,0.00488677673901987,0,0,0.00755917666443364,-0.0340264288882906,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028630096140121,0,-0.0537588690276097,-0.0629906118808865,0,0,0,0,0,0.0188436135470006,0,0,0,0,0,0.0424728858191431,0,0,0,0,0.129176283834811,0.0347594688735042,0,0,0.166619561520474,0,0,0,0,0,0,0,-0.149598615101547,0,0,0,0.0190875263586955,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553721993083025,0,-0.0178346700057761,-0.0830418446261792,-0.0200632755918699,0,0.0572487277002192,0,0,-0.027613679651567,0,0,-0.0653318605186132,0.175183802521834,0.177174590082676,0,0,0,0,0.139802377107027,0,0,0,0,0,0.209697173579021,0,-0.113218038592687,0,0,0,0,0,0,0,0,0,0,0,-0.0925967558375374,0,0,0,0,0,0
X600188.SH,0,0.0233709284116928,0,0,0,0.195645519900353,0,0,0.0288752561853447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330510977475851,0,0,0.103915196061358,0,0,0,0,0,0.00166947330495085,0,0,-0.0357188359109874,0,0,0,0,0.170075451942035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.496953907122529,0,0,0.172104733542696,0,0,0,0,0,0,1.0842021724855e-19,-0.172028659953505,0.141286853524947,0,-8.67361737988404e-19,0.398902132171324,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.182237221267837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00565962888579227,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0872499398027722,0,0,0,0,0,0,0.111260875905589,0,0,0,0,-0.0040488675279417,0.00279537525464063,0.0633428100765649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713169286293032,0,0.100690072020917,0,0,0,0,-0.00929001761967603,0.0663990626911384,0,0,0,0,0,0,0,0,0,0
X600011.SH,0.015944518352526,0,0,0,0,0.0638766196742583,0,0,0,0,0,0,0,0,0,0.432803345689138,0,0,0,0,0,0.177886798092455,0,0.0849665264983207,0,0,0,0,0,0,0.168899459073197,-0.00443396824408099,0,0.00986139066270129,0,0,0,0,-0.0588101144274103,0.0867276859563458,0,0,0,0,0,0,0,0.0146189151476763,0,0,0,0.00770275048307974,-0.0404467914552593,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.267093313619793,0,0,0,0,0,0,0,0,0,0,0,0,-0.00674137545000228,0,0,0,0,0,0,0.765296897283339,0,0,0,0,0,0,0,0,0.155315958619201,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0191691669660058,0,0,0,0.0462232413096553,-0.0490148635033881,-0.0882855381534646,0,0,0,0,0
X601600.SH,0.0972371817477997,0,0,0,0,0,0,0,-0.0305969842599604,0,0,0,0,0,0,0,0,0,-0.081813348754834,0,0,0.244045743666323,0,0,0,0,0.0474186510180776,0,0,0,0,0,0,0.0805323631326322,0,0.243129754653951,0.146545306543907,0,0.0931667389624048,0,0.137107890652846,0,0.0318172065933889,0,0,0,0,-0.0169788421514091,0,0,0,0,0.0173641794631613,0.24590092435614,0,0,0,0,0
