,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600547.SH,X600011.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X600362.SH,X002460.SZ,X600803.SH,X600160.SH,X600489.SH,X000708.SZ,X600027.SH,X000786.SZ,X002466.SZ,X000301.SZ,X601991.SH,X000807.SZ,X600219.SH,X000983.SZ,X600426.SH,X600176.SH,X000408.SZ,X002128.SZ,X601699.SH,X000630.SZ,X600096.SH,X000877.SZ,X601168.SH,X000933.SZ,X600157.SH,X002353.SZ,X600985.SH,X600299.SH,X600352.SH,X600995.SH,X000883.SZ,X600688.SH,X002271.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.067306358110907,0,0,0,0,0,0,0,0.102701215833263,0,0,0,0,0.192597090039023,0,0.185371044160869,0,0,0,0,0,0,0,0,0.147263730025542,0,0,0.0543535022044083,0,0,0,0,0.0868273929033851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00827690240663152,0,0,0,-0.0191090919414361,0,0
X601088.SH,0,0,0,0,0.271511380485759,0,0,0,0,0.0544794219590191,0.229253648304253,0,0,0,0,0,0,0,0,0,0.0245930123688407,0,0,0,0.0302619835069041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772529290600628,0,0,0,0,0,0,0,0,0,0,0.0083345947766307,0.00113063926495814,0,0,0,-3.21812278082997e-05,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732372965752886,0,0,0,0,0,0,0,0.198582439120868,0,0,0,0,0,0,0.0366634484377016,0,0,0,0,0,0,0,0,0,0,0.121271626900732,0,0,0.0703653689027453,0,0,0,0,0,0,0,0,0.007233217912087,0,0,0,-0.00820279114438988,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036439135847367,0,0.135152475926307,0.102779193038297,0,0.091235459004764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25458784846754,0,0.114117174071171,0,1.38777878078145e-17,0.0543342840893022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166126199775549,0,0
X601898.SH,0,0.640610677360396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0343987288694611,-0.0528044740789897,0.226213699683815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133897918047307,0,0,0,0,0,0,0,0,0,0,0.0517013728303109,-0.0201145176857796,-0.0273217068321723,0,0,-0.0173593931442376,0,0
X600660.SH,0,0.0348615139242221,0,0,0,0,0,0.140058305498662,0,0,0,0,0,0,-0.0339445524151114,0.212111362759372,0,0,0,0.138425611473934,0.135379835544801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697006220287698,0,0,0,-0.177340637086214,0,0,0.157377825065711,0,0,0,0,-0.0629354472960378,0,0,0,-0.0641192606450639,0.162712854250934,0,0,0,0
X600019.SH,0.191292643773013,0,0,0,0,0,0,0,0,0.217797468745815,0,0,0,0,0,0,0,0,0,0.148037445570365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0990130920574679,0,0,0.118731860528227,0,0,0.0854501459025839,0,0,0,0,0,0,0,0,0.00163053731147015,0.00389635194345701,0,0,0,0,-4.33680868994202e-19,0,0
X600188.SH,0,0,0,0.212630115463059,0.247590550842826,0,0,0,0,0,0,0,0,0,0,0,0.0787955275235351,0,0,0,0,0,0,0.122792599888567,0,0.00259714487818438,0,0,0,0,0,0.0966599299312452,0,0,0,0,0,0,0,0,0,0.0610856646715843,0,0,0,0,0,0,0,0,0,0,0.00383021691359007,0,0,0,-0.0890372004254493,0,0
X600585.SH,0,0,0,0,0.0252849297063168,0,0,0,0,0,0,0,0,0,0.00851758726184065,0,0,0,0,-0.0334618305976581,0,0,0,0,0.195296478484957,0,0,0,0,0,0,0,0,0.138730236058012,0,0,0,0,0.400567935800908,0,-0.0484207159948706,-4.33680868994202e-19,3.46944695195361e-18,0.215527026333114,-0.0726421297909282,0,0,0,0,0,0.0212379363896693,0.0727774551508117,-0.00265839129356172,0,0,0,0.0134014139925908,0,0
X601600.SH,0,0,0,0,0,0,0.105742542230724,0,0,0,0,0,0,0,0,0,0,1.11534424656761,0,0,-0.119773412237003,0,0,0,0,0.0856414305193089,0,0,0.0136179667348592,0.270581670506996,0,0,0,0,0,0,0,0,-0.395688945934564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00503031015263321,0,0,0,-0.0590742838735609,0,0
