,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X600011.SH,X002460.SZ,X600660.SH,X600886.SH,X601600.SH,X600801.SH,X601898.SH,X600362.SH,X600010.SH,X600489.SH,X000786.SZ,X600352.SH,X600176.SH,X600111.SH,X600188.SH,X601991.SH,X600795.SH,X600688.SH,X002466.SZ,X600529.SH,X600426.SH,X600299.SH,X600027.SH,X601992.SH,X002080.SZ,X600612.SH,X002353.SZ,X600315.SH,X600486.SH,X600219.SH,X002409.SZ,X000932.SZ,X600126.SH,X000301.SZ,X000723.SZ,X000027.SZ,X600516.SH,X601158.SH,X000898.SZ,X000401.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.00287740041639207,0,0,0.0445427376202628,0,0,0,0,0.0494518626750899,0,0,0.0514073256939016,-0.0171157121990289,0,0,0,0,0,-0.0149212120672063,0,0,0,0,0,0,0.0488841153893769,0,0,0,0,0,0.0333891791771191,0,0.130452847753257,0,0,0,0,0,0,0,0,-0.00115817623106698,0,0,0,0.0381416868830243,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0.0093134865733445,0,0,0,0,0,0.0940506087775026,0,0.0436901893197884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111213775743158,0,0.118393226994486,0,0.00345451051403723,0,0,0,0,0,0.01847318863362,0,0.0925246593431149,0,0,0,0,0,-0.00474661807011477,0.00276073512444301,0,0,0,0,0,0
X600585.SH,0,0,0,0,8.67361737988404e-19,0,0,0.0407477769762151,0,0,0,0,0,1.38777878078145e-17,0.28149736526109,0,0,0,0,0.0436613309481365,0,0,0,0.179073780190441,0,0,0,0.0266454844500889,0,0,0,0,0,0.0655797606288115,8.67361737988404e-19,0,0,0,0.0844382075746487,0,0,0,0,0,0,0,0,0,0,0,-0.0288744485038173,-0.010834544155059,-0.00116351780832613,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0394199344981349,0.105936271685404,0,0,0,0,0,0,0,0.108044264607281,0,0,0,0,0,0,0,0.061725161025466,0,0,0,0,0,-0.0047700542733348,-0.020673006341734,0,0,0,0,0,0,0,0,0,0,0,0,0.0382997790877235,0,0,0,0,0,0,0,0,0,0.00722763369042496,0.0138658485417809,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0126305211989663,0.0778004039098101,0,0,0,0.0366353518049133,0,0,0,0,0.0221359173822706,0,0,0,0,0,0,0,0,0,0.190758485323016,0,0,0,0,0,0,0,0,0,0.0579817129287077,0,-0.0733954397886405,0,0,0,0,0,0,0.301677388770011,0,0,0.00635499806738792,-0.0164316160260951,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0483844293738351,0.10954250683912,0,0.0391034849017754,0,0,0,0,0,0,0,0.654337476404379,0,0,0,0,0,0,0,0,0.000470000882537611,0.0602875094746341,0,0,0.0360103237895566,0,0,0.113932293495276,-0.132085896343014,0,0,0,0,0,-0.0394232454135102,0,0,0,0,0,0,0,0,-0.0680180832663375,0,-0.00856778889067978,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316756419608052,0,0,0,0,0,0,0,0.10531477525277,0,0,0,0,0,-0.021553167732427,0,0,0,0,0,0,0,0,0,0,0,0.030379070714753,0,0,0.0191797313258359,0.0855189780788319,0,0,0,0,0.0104109126807369,0,0,0,-0.0027011429951026,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.00842340363144701,0,0,0,0,0,0,-0.22267544273389,0,0.588948262885404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103003937938234,-0.0125598784776948,0.0673165699693876,0,0,0,0.00777047282740943,0.0472162916998861,0,0,0,-0.0728896307995958,0,0.088955287621892,0,0,0,0,0,0,0,0,0,-0.0213531238279587,0,0,0.0183338003647472,0,0,0,0
X002271.SZ,0,0,0.231101219506064,0,0,-0.0464999619619229,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0116828984483898,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0754453165424026,0.0444943378988264,0,0,0,0,0,-0.0726278526936355,0,0.124372173026688,0.364344416296705,0.0686601028070604,0.0918962973711688,0,0.0165030577362023,0,0,0,0.01326838603509,0,0,0,0,0,-0.0137288865370606,-0.0313329975769029,0,0,0,0,0,0
X600011.SH,0,0,0.159727830352013,0,0,0,0,0,0,0,0.0233331699450409,0,0,0,0,0,0,0.0469103408009162,0,0.104003463075078,0,0,0,0,0,0,0,0,0,0.067296380759724,0,0.105398753632797,0,0.110056784129189,0,0,0,0,0,0.0433827624277748,0,-0.0589071188292268,0,0,0,0,0,0,0,0,-0.00438951624882366,0.00638778869233287,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.150504107446726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658070336543379,0.177963719009887,0,0.0695639613787021,0,0,0.0304564530580131,0,0.0248307322701309,0.356010967951337,0,0,0.135727285899143,0,0,-0.0688169264106181,0,0.394706963916153,0,0,0,0,0,0,0,0.00132734665026632,0,0,0,0,0,0
X600660.SH,0,0,0,0,0.085475568159328,-0.188086984194419,0,0,-0.015235365971092,0,0.0963773124162098,0,0,0,0,0,0.184971367633646,0,-0.0158429062476834,0,0,0,0,0,0,0,0,0,-0.0451367088994026,0.0276738609273159,0,0,0,0,-0.00248881300322433,0.108357427934192,0.0470853164454453,0,0,0,0,-0.0324650486208109,0,0,0.110167804345092,0,0,0.12972539485423,0,0,0,0.00449816210432219,0.0143941675250255,0,0,0,0,0,0
