,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X600011.SH,X002271.SZ,X002460.SZ,X000792.SZ,X601898.SH,X600886.SH,X600010.SH,X600801.SH,X601600.SH,X600660.SH,X600688.SH,X600362.SH,X000786.SZ,X600188.SH,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600299.SH,X600027.SH,X600111.SH,X002466.SZ,X600176.SH,X600489.SH,X000723.SZ,X002075.SZ,X000401.SZ,X600426.SH,X000898.SZ,X600516.SH,X601158.SH,X600219.SH,X000932.SZ,X000553.SZ,X600126.SH,X002353.SZ,X600583.SH,X000883.SZ,X600486.SH,X000709.SZ,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.00550043581113546,0,0.249945418547878,0,0,0,0.0179254797540542,0,0.0988321107529351,0,0,0,0,0,0,0,0,0,0,0.0196806559756865,0,0.101046702804086,0,0,0,0,0,0,0,0,0,0.0950874239759706,-6.93889390390723e-18,0,0,0.187263935696051,0,0,0,0,0,0.0130029267690428,0,0,0,0,0,0,0
X600028.SH,0.458153591265689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00798135562046495,0,0,0.01120787084584,0,0,0,0,0,0,0,0.050498260864228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0669704470437586,0,0,0,0,0,0,0,0.00818545837953037,0.0114583706303765,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0522249627264202,0.457423616572551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11674475536027,0,0.0577668513005181,0,0,0,-0.0626285306205503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.027472745504235,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.00491823246203352,0.022794024814517,0,0,0,0.412623243925957,0,0,0,0.177845253817073,0.0469563942902033,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285269908647387,0.12942682389894,0,0,0,0,0,0,0,0,0,0,0,0.0293940345688204,0,0,0,0,0.0170613809638733,-0.000653376053415289,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147480230010303,0,0,0,0,-0.00436625669828571,0.0452447054304113,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.092833058427844,0.210568309605698,0,0,0,0,0,0,0.199985450140588,0,0,0,0,0,0,0,0,0.217903748093405,0,0,0,0,0.0112012407541013,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.0253832385415605,0,0,0,0,0,0,0,0.155285511949926,0,0.04468476750695,0,0,0,0,0,0,0,0,0,0,1.11224726897017,0,0.00241610363132537,0,-0.0448639643862991,0,0,0,0,0,0,0,0,-0.0688586951920361,0,0,0,0,0,0.081350938990373,0.0299466731084058,0.0218938311151994,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0714470344203958,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.031339345724803,0.309215841038928,0.0582869211194244,0.077571697148694,0,0,0,0,0.0648624245287713,0.148876068222524,0,0.043060079446815,0,0,0,0,0.0430123336814727,0,0,0,0,0.0367520656395394,0,0,0,0,0,0,0,0,0,0,0,0.0028750263807424,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0.209163530282506,0,0,0,0,0,0,0,0,0,0,0,0.090438518560325,0,0,0.156865447748192,0,0,0,0.190576749103639,0,0,0,0.137772316976887,0,0,0,0,0,0,0,0.157600733826744,0,0,0,0.151702501760437,0,0,0,-0.127304543957704,0,-0.00380045400940638,0,0,0,0,0,0
X600011.SH,0,0,0.0111959970586871,0,0,0,0,0.0015946130933565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11876210618711,0.657217237787871,0,-0.0173490952190265,0,0,0,0,0,0,0,0,0,0,0,0.151118264051929,0,0,0,0,0,0,0,0,0,-0.0348032880532003,0.0167828418123786,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0.0519194827590387,0,0,0,0,0.254010767491147,0,0,-0.115200832799458,0,0.0246709922521948,0,0,0,0,0,0,0,0,-0.046624882471433,0,0.128636155590106,0,-0.0966101123396784,-1.38777878078145e-17,0,0,0,0,0,0,0,0.057085992744916,0,0.0949709579389488,0.355708131918047,0,0,0,0,0,0.0208531474488135,0.0171487949332917,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.162569209908185,0,0,0,0,0,0,-0.083911278063476,0,0,0,0,0,0,0,0,0,0,0.196438185041849,0,0,0.150482584324242,0.127417774069031,0,0,0,0,0,0,0,0,0,0.271997037046697,0.129238671690773,0,0.375952867160227,0,0,0,0,-0.0339232336717745,0.0271587176379395,-0.274308624256698,0,0,0,0,0
