,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600886.SH,X600688.SH,X600027.SH,X000709.SZ,X600188.SH,X600362.SH,X600111.SH,X000539.SZ,X600583.SH,X601158.SH,X600157.SH,X002075.SZ,X600352.SH,X000898.SZ,X600309.SH,X601992.SH,X600021.SH,X002353.SZ,X600808.SH,X600660.SH,X000629.SZ,X000027.SZ,X000883.SZ,X000878.SZ,X600863.SH,X600489.SH,X600578.SH,X000825.SZ,X000959.SZ,X002470.SZ,X000012.SZ,X600547.SH,X600022.SH,X601918.SH,X000792.SZ,X000600.SZ,X600219.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.655907371049025,0.130541505668086,0.0213789684822367,0,0,0,0,0,-0.0876797519919948,0,0,0,0,0.0417226654010727,0,0,0,0,0,0,0,0,0,0,0.174727056920452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.71050543121376e-20,0,-0.0318815996422677,0,0,0,0,0,0,-0.109630305516662,0.00348686796479507,-0.00181820800031208,0,0,0,0,0,0
X600028.SH,0.507008524553386,0,0.138298283471425,0,0,0.107543963175336,0,0,0,0.029143733781709,0,0,0.0544180188250584,0,0,0,0,0,0,0,0.0781971488104882,0.0590013071298015,0,0,0,0,0,0,0,0,0,-0.0301730209409899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408827900178803,0,0,0,0,0.00546679094632643,0.0183234345724135,0.100132470395835,0,0,0,0,0
X601088.SH,0.0117300406494011,0,0,0.165286522140667,0,0.115351625840372,0.144995802977156,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0341923076756514,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196291477414793,0.000521107158293131,0,0,0,0,0,0
X600010.SH,0,0,0.0253653467692229,0,0,0,0,0,0,0,0,0,0,0,0.0491831669621457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096519881383461,0.131057283370608,0,0.212159616226754,0,0,0,0,0,0.0171469963526472,0.198091619816362,0,0.218828474079327,0,0,0,0,0,0,-0.0207803531370812,-0.0193672206758282,0,0,0,0,0,0
X600011.SH,0.0176794310530962,0,0.0103673747819109,0,0,0.0598451062008829,0.140831104204725,0,0,0,0,0,0,0.160140050035403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310904865626733,0,0,0,0,0,0,0,0.0684601938013256,0,0.370001704692917,0,0,0,0,0,0,0,0,0.0123230277845052,0,0,0,-0.00448003861376758,0.00407482834130038,0,0,0,0,0,0
X600019.SH,0,0.054789358458104,0.146256990591633,0,0.121350011899729,0,1.38777878078145e-17,0,0,0,0,0,0.0149764116797461,0,0,0,0,0,0,0.045096087533164,0,0,0,0,0.23941257485019,0,0,0,0,0,0,0,0,0,0,0.135356105478585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0.128387940840899,0.187529829049315,0,0.159391301765657,0,0,0,0,0,0,0.0364491886528418,0,0,0.0885198561424282,0,0,0,0.0642151055499277,0,0,0,0,0,0,0.109840619541496,0,0.0356719525536149,0,0,0,0,0,0,0,-3.46944695195361e-18,0.194935580418923,0.168875443462497,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0345950577100177,0.221831162151401,0,0,0.0467934036874529,0,0,0,0,0,0,0,0,0,0,0.0436378457898215,0,0,0,0.140702629368695,0.0414134581712428,0,0,0,0,0,0,0,0,0,0,0.0853720768841703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0190298914092894,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.138675696500547,0.0577279321415548,0.0947309796227936,0,0,0,0,0,0,0,0.0329560203551175,0,0,0,0,0,0,0,0.0941369500794629,0,0,0,0,0,0,0,0.248606490155109,0,0.18123810682671,0,0,0,0.0273984057467954,0,0.0387341056006127,0.0110093697461904,0,0,0,0,0,0.000825160131367326,0.0123946029754574,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.270486201803582,0,0.262182072049527,0,0,0,0.254066775288567,0,0,0,0,0,0,0,0,0,-0.0691273055011625,0,0,0,0.100986083020644,0,0,0.202977454485517,0,0,0,-0.0839065416548966,0,0,0,0,0,0,-0.00980003591165136,0,0,0,0,0,0,0,0,0,0.00357323819365886,0,0,0,0,0,0,0
