,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600188.SH,X600688.SH,X300072.SZ,X600362.SH,X600795.SH,X601992.SH,X002466.SZ,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X600516.SH,X600176.SH,X000898.SZ,X600157.SH,X000709.SZ,X000786.SZ,X600352.SH,X600027.SH,X000553.SZ,X000408.SZ,X000792.SZ,X002271.SZ,X600489.SH,X601699.SH,X600219.SH,X600339.SH,X601158.SH,X600808.SH,X000959.SZ,X000883.SZ,X000983.SZ,X000630.SZ,X000723.SZ,X002470.SZ,X002092.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.56197678434322,0,0.0380475228211589,0,0,0,0,0,0,0,0,0.0535242504155279,0.0799623375152363,0,0,0.0111087618361806,0,-0.0629755383763003,0,0,0,-0.0409271558933028,0.0277610051521754,0,0,0,0.0194734552865722,0,0,0,-0.0467857225664685,0.0152773405099074,0.0522167316625563,0,0,0,0,0,0,0,0,0.00861692496623421,0,0,0,0,0,0,-0.00156861712617734,0,0,0,0,0,0,0
X600028.SH,0.456614176247272,0,0,0,-0.0749100678915776,0,0,0,0,0,-0.00747557023727214,0.0394360913413282,0,0,0,0,0,0,0,0,0,0,0,-0.104469816257053,0,0,0,-0.0105150682019438,0,0,0,0,0.00972843691875424,0,0,0,0,0,0,-0.000119039499566554,0,0,0,0,0,0,-0.0198739461936907,0,0,-0.0192583878611836,0.0342925990810711,0,0,0,0,0,0
X601088.SH,0,0,0,0.110460682997563,0.168686363911974,0,0,0,0,0,0.302388008750831,0,0,-0.178405121740822,0,-0.182412037535519,0,0,0,0,0,0,0,0,0,0,0,0.00677790833341387,0,0,0,-0.0107557360313663,-0.0407581589667618,0.0335562458133659,0,0.0774184933273322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000601738947623555,0.0370543008301898,0.282000727305872,0,0,0,0,0
X600019.SH,0,0,0.128022371305366,0,0,0,0,0,0,0,0,0,0,0.0595470624913058,0,0,-0.0436495992361757,0,0,0,0,0,0.037262566679008,0.16220290444393,0.624568180560879,0,0,0,0,0,0,0,-0.076811480376925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315328049184251,0,0.086313094898527,0,0,0,0,0
X600585.SH,0,0,0.389727848511719,0,0,0,0,0,0,0,0,0,0,0.0463901951020002,0,0,0.282076841342473,0,0,0,0,0,0,0.00275726696527342,0,0,0,0.0662017633095132,0,0,0,-0.26865845400921,-0.119189727898822,0,0,-1.0842021724855e-19,0,0,0,0.158568174156818,0,0,0,0,-0.193959752090841,0,0,-0.004284670717093,0,-0.0117137265238761,0.0175543285208404,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0278640533432285,0,0,0.072111777352543,0,0,0,0,0,0,0,0.0548039396675841,0.0180824023097923,0.0531389393020225,0,0,0,0.000380554408853781,0,0,0.0583774565186731,0,0.0241782015254431,0.0498052962184767,0,0,0,0,0,0.298069908356513,0,0,0,0,0,0,0.0554674716608711,0,0,-0.00383959059693902,0.00742896653689095,0,0,0,0,0,0
X600309.SH,-0.111290704376536,0,0.148778452113049,0,0,0,0,0,0,0,0,0,0,-0.241978840173592,0,0,0,0,0,-0.10661078430228,0,0,0,0.180924644197956,0,0,0,-0.00303504809764175,0.105505459911149,0,-0.0864161542717661,0,0,-0.0320452480124679,0,0,0,0,0,0,0,0,0,0,0,0,0.420026406552429,0,0,-0.0296852374188841,-0.0084942345890296,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0115223891584637,0,0,0,0,0,0.0329231624807762,0,0,0,0,0,0,0,0,-0.00575051595567892,0,-0.0375681098299769,0,-0.0839673490008482,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.00201236026775081,0,0,0,0,0.0167733786297881,0,0.0795750677724992,-0.149031529247217,0,0.0631563521911264,0,-0.00595446608507185,0.0139069830710053,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.036006286369312,0,0,0,0,0,0.230076605786529,0,0,0,0,0,0,0,0,0,0,0,0.00287600074611322,-0.00493408247683181,0,0,0,0,0,0,0.0376217980402061,0,0,0,0,0,0,0,0,0.0233218084035765,0,0,0.191579748777147,0,0,0,0,0.0160848105968782,0,0.0049972840684497,0,0,0,0,0,0,0
X600660.SH,0,0,0.0120066156784716,0,0,0,0.056626470221467,-0.198129825127847,0,0,0,0,0.0289149062247244,-0.168050487455637,0.169210716975199,0,0,0,0,-0.0658619749923289,0,-0.13972787289613,0.084866630864189,0.0990520924638531,0,0,0,0.058795196510652,0,0,0,0.105339437938817,0.0410808607449295,0.112424290881287,0,0,0,0,0,0,0,0,0,0,0,-0.099123464036095,0,0.207424840047148,-0.113648636425655,-0.0210226943190884,0.032192511163721,0,0,0,0,0,0
