,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600027.SH,X600795.SH,X002271.SZ,X600362.SH,X600426.SH,X601991.SH,X600803.SH,X600176.SH,X000983.SZ,X601699.SH,X600489.SH,X000807.SZ,X000786.SZ,X000539.SZ,X300037.SZ,X600995.SH,X000408.SZ,X600160.SH,X600219.SH,X000629.SZ,X600612.SH,X002080.SZ,X000932.SZ,X600378.SH,X600688.SH,X002409.SZ,X000723.SZ,X600157.SH,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.480751684333212,0,0,0,0,0,0,0,0,0,0,0.122757040851579,0.217628326628521,0,0,-0.183584405405579,0,0,0,0,0.0214780043298854,0,0,0,-0.239240290429874,0,0,0,0,0,0,0.197054435822354,0,0,0,0,0,0,0,0,0.108213267551914,0.0398219728801211,-0.0732995927867588,0,0,0,0.074120672086223,0,0,0,0.0513847223778497,0,0,0,0,0,0,0
X600028.SH,0.703535301705809,0,0,0,0,0,0.0335127993831384,0.096713380903883,0,-0.0400854207767584,0,0.056588295725154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386785555493855,-0.157323982557248,0,-0.0407098151561434,-0.0371438675385351,0,0,0,0,0,0,0,0,0,-0.0122237709654514,0,0,0,0,0.0184673319349208,0.00377084593436159,0,0,0,0,0,0
X601088.SH,0.123953154785737,0,0,0,0.219652814805394,0,0,0,0,-0.0366345499906887,0.170702585455541,0,0,0,0,0.0340632348998974,0,0,0,0,0,0,0,-0.0422218576397782,0,0.0153266793694382,0,0.0129645333281305,0,0,0,0,0,0.0643674893948655,0,0,0,0,0,0,-0.0253297427558454,0.00816969550368938,0,0.0120349803904071,0.0681798853765293,0,0,0,0,0,0.0428879786216882,0.0240841974477171,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0946235640267366,0,0,0,0,0,-0.0398150499746505,0,0,0,0,0,0,0,0,-0.103147963848786,-0.104822842146094,0,0,0,0.232528193022861,-0.00618682417147636,0,0.165377053242323,0,0,0,0.121202883474458,0,0,-0.0886731866084775,-0.0374448021071305,0,0.0540015517530129,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0141080379834608,0,0,0,0,0,0,0
X600188.SH,0.00901414629941094,0,0.42839136715921,0,0,0,0,0,0,0,0.292362052511497,0,0,0,0,0,0,0,0.455011678500291,0,0,0,0,0,0,0,0,0,0,0,0.321507174621289,-0.152343877026241,0,0,-0.0257671201390234,0.336700993222322,0,0,0,0,0,0,0,0,0,0,0.0673774083275301,0,0,0,0,0,-0.0979071271074192,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.29184553979133,0,0,0,0,-1.38777878078145e-17,0,0.101059951740316,0,0,0,0.296602248364287,0,0,0,0,0,0.515110350191834,0.312251526118237,0,0,0,0.173217605740774,0,0,0,0,0,0,-0.065052509709394,-0.204129557446321,0,0,-0.0724226273628536,-0.034250214449182,0,0.325082851360724,0,0,0,0,0,0,0,0.206018261076798,0,0,1.38777878078145e-17,-0.0890313139062144,0,0,0,0,0,0
X600019.SH,6.93889390390723e-18,0.0781317544492714,0,0,0.0802329253333031,0,0,0.0803495309271453,0,0,0,0,0,0.181106696409228,0,0,0,0,0,0,0,-0.0153713885142918,0,0,0,0.0859503221459257,0,0,0,0,0,0,0,0,0,-0.105355124711273,0,0,0,0,0,-0.0659358925965135,0,0,0,0,0.00526470752869083,0,0,0,0,0.0297544143280177,0.063594150230868,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.217150783851078,0,0,0.0708998466850282,0,0,0,0,0,0,0,0,0,0,0,-0.0465737683748305,0,0,0,0.0289079512020375,0,0,0,0.12580487681933,0,0,0,0.0232149912776197,0,0,0,0.0591621978583345,-0.115414502760514,0.0629254052707612,0.210125595386124,0,0,0,0,0,0,0,0,0,0,-0.0371150601080748,0,0,0,0,0,0,0
X002460.SZ,-0.0160541822976602,0,0,0,0,0,0,0,0,0.551284864887841,0,-0.111448002007689,0,0,0,0,0,0,0,0,0.0879807222670683,0,0,0,0,-0.00389170637307,0,0,0,0,-0.0195050375452521,0,0.00128779522831475,0,0,0,0,0.12717277746674,0.0237614526110058,0,0.115912842531427,-0.00321599387243922,0,0,0,0,0,0,0,0,0.225357681619113,0.0299523897343896,0.0152819351950327,0,0,0,0,0,0
X002466.SZ,0,-0.0229861907954269,0,0,0,0,0,0,0.392687888781111,0,0.179715526504763,0,0,0,0,0,0,0,0,0.237852580735246,0,0,0,0.0058009146034037,0,0,0,0,0,0.141518807983127,0.144546329782567,0,0,0,0,0,0,0,0,0,0.13079295629148,0,0.0155973794221083,0,0,0,0.113643575630538,0,0.0219192501658592,0.0980302095882977,0,0.0440332093582195,0,0,0,0,0,0,0
X601898.SH,0.0504196864355942,0.102966274959285,0,0,0.426100824422607,0,0,0,0.025824829020294,0,0,0,0.232473041348471,0,0,0,0,0,0,0,0,-0.117317095325886,0,0,0,-0.174239347245845,0,0,0,0,0,-0.01328009275755,0,0,0,-0.148653331957136,0,0,0,0,0,0,0,0,0,0,0,0.0641934964296792,0,0,0,0,0.0354307101340162,0,0,0,0,0,0
X600547.SH,0.0434109916864148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447107005206905,-0.0761012372882311,0,0,0,0,0,0,0,0,0,0,0,0.65205391814687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320507579410326,0,-0.326449199790404,0,0,-0.00815800680049149,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.319883656703993,0,0,0,0,0.303226771326311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0141246452537993,-0.0294005639334839,0,0,0,0,-0.00612477962960426,0.0298206264371345,0,0.16728223409231,0.0283660559629124,0,0,0.00468988287698095,0,0,0.0930226647088884,0,0,0,0,0,0,0.00124375905496763,0,0,0,0,0,0,0
