,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600010.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X000792.SZ,X601158.SH,X000898.SZ,X600547.SH,X000709.SZ,X600352.SH,X600489.SH,X000831.SZ,X000883.SZ,X002353.SZ,X000539.SZ,X000027.SZ,X000825.SZ,X000629.SZ,X600008.SH,X600808.SH,X600549.SH,X600660.SH,X000630.SZ,X600315.SH,X002470.SZ,X600578.SH,X600021.SH,X000983.SZ,X601699.SH,X600307.SH,X600863.SH,X600098.SH,X000960.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.609379354278944,0,0,0,0,0,0,0,0,0,0.0334065151201257,0.120883208563844,0,0,0,0,0.0994112260974599,0,0,0,0,0,0,0,0,0,0.0426576699104812,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264119802805149,0,0.08570655170863,0,0,0,0,0,0,0,0,-0.00326198155151754,-0.00111106279655933,0,0,0,0,0,0
X600028.SH,0.421966178312034,0,0,0,0,0,0,0,0,0,0.0576162924325324,0,0,0,0,0,0,0,0.417536106073464,0,0,0,0,0,0.0261653039917804,-0.0809153155171737,0.0180724598944325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.042271274600561,-0.0130275031200791,0,0,0,0,0,0
X601088.SH,0,0.125601718628084,0,0,0,0.054276578092631,0.106869861929269,0,0,0,0,0.0220085942383526,0.0903325742673681,0,0,0,0.0359552080082203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355032157645539,0,0.0472436185045423,0,0,0,0,0,0.364618133737593,0.0251043913328375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0512647408341881,0,0.108983604356487,0,0,0,0.143696175303994,0.0450160893926775,0,0,0.0872244707321523,0.0551443971641116,0,0.14535840665095,0.0284127171432907,0,0,0,0,0.21599118632494,0,0,0,-0.10754101166364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00898244513295701,0,0,0,0,0,0
X600585.SH,0,0.0653586179497298,0.0986114945315063,0,0,0,0,0,0.0204259620582963,0.0433831750090691,0,0,0.0127260664195214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0556955319589561,0,0,0,0,0,0.0837519897763953,0,0,0,0,0,0,0.193001723657503,0,0,0.204901929462582,0,0,0,0,-0.000664917035008229,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.114018782319559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438062771884478,0,0.169926313141612,0,0,0,0,0,0,0,0,0,-0.00118004485836148,0,0,0,0,0,0,0,0,0,0,0.0734605431295037,0,0,0,0.106029099756772,0,-0.0367757339412413,-0.00966030542514163,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.148657577110103,0,0,0.0718295582212437,0,0.0255312877272761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160077850158396,0,0,0,0,0,0,0,0.000820160198268659,0,0.335924814191684,0.161572688294712,0,0,0,0,0,0,0,-0.00070355686882362,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0952846876026258,0,0,0.120302726635951,0.165467527842488,0.0306066546723335,0,0,0,0.0905652910875954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714563205796904,0,0,0,0,0,0,0,0,0,0.0244500661498392,0,0,0.00701493344834728,0,0,0,0,0,0,0,-0.0418413176580067,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0659259104722645,0,0.153578299779423,0,0,0,0,0,0,0.0642416175441118,0,0.581707861754842,0,0,0.0571527445951423,0,0,-0.212101129510921,0,0,0,0,0.0602363180215754,0,-0.017682469760934,0,0,0,0,0,-0.0130479774900831,0,0,0,0.00671443963184848,0,0.0315887200241863,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0.0724226000494774,3.46944695195361e-18,0.0630002281636741,0,0,0,0,0,0,0.103602970236451,0.386915387171196,0,0,0,0,0.0331397659670783,0,0,0,0,0,0,0,0.0965505700790377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0194349117982086,0,0,0,0,0,0
