,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600011.SH,X000708.SZ,X002271.SZ,X600660.SH,X600886.SH,X002460.SZ,X600010.SH,X601898.SH,X000786.SZ,X601600.SH,X600362.SH,X600801.SH,X600489.SH,X600176.SH,X601991.SH,X600352.SH,X600188.SH,X600795.SH,X600111.SH,X600426.SH,X600027.SH,X600688.SH,X600299.SH,X601992.SH,X000932.SZ,X600219.SH,X000301.SZ,X002080.SZ,X002466.SZ,X000723.SZ,X002353.SZ,X600486.SH,X002075.SZ,X600529.SH,X000898.SZ,X600612.SH,X600315.SH,X000027.SZ,X601158.SH,X000883.SZ,X000630.SZ,X002250.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,-0.00787040164051397,0,0.0542260892348738,0,0,0,0.0462714012140868,0,0,0,0.0682992782959796,0,0,0,0,-0.00961385576607976,0,0,0,0,0,0,0.103517865183297,0,0,0,0.00229014501857231,0.0463528064059537,0,0,-0.0540436618446044,0,0,-5.42101086242752e-20,0,0,0,0,0,0.0936999675548868,0,-0.00682135366024122,0.00583793005112032,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0497057104164975,0,0,0.0317735393070629,0,0,0,0,0.0365532482376002,0,0,0,0,0,0,0,0,0,0,0,0,-0.00514515370110548,0,0,0,0,0,0,0.122278670380716,0,0,0.00144149791515826,0.0318596414863521,0.0680044065448354,0,0,0,0.0460862212102823,0,0,0.0195570388027229,0,0,0,0,0,0,-0.00158776578690132,0.0107421415166494,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0445985643663127,0,0,0,0,0.0904394649654706,0,0,0,0,0,0.0337569634140189,0,0,0.00134661545173355,0,0,0,0.0536157444862888,0,0,0,0,0,0,0,0,0,0,0,-0.0199480603488944,0,0,0,0,0,0.109958000201739,0,0,0,0,0,0,0,0,0,-0.0134191203499378,0.0187576560099995,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0554713801991837,0,0,0,0,0,0,0,0,0,0,0.022935974125386,0.262736547663107,0,0,0,0.121528186995815,0,0,0,0,0.0259956306543795,0,0,0,0,0,0,0.0515202370346088,0,0,0.0461042953020715,0,0,0,0,-0.000355203989175321,0,0,0,0,0,0,0,0,0,0,0,-0.00143176645386493,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.263846134025043,0,0,0,-0.00442780649656498,0,0,0,0,0,0,-0.0818289880872178,0,0,0,0,0,0.123152507941495,0,0,0,0,0,0,0,0,0.0085987786643655,0,0.11786227693243,0,0,0,0,0,0.0925884184435921,0,0,0,0,0.144846641047133,0,0,0.0193708345390898,3.46944695195361e-18,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.018720961541418,0,0,0,0,0,0,0,0,0,0,0.0160703099225874,0,0,0,0.44191718900036,0,0,0,0,0,0.0954147668025858,0.0576981537301152,0,0,0.0618348590693243,0,0,0,0,0.0182908829303194,0,0,0,0,0,0,0,0.189842120643909,0,0,0,0,0.0507802937414793,0,0,0,0,-0.00389074088237665,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0825088822155218,0,0,0,0,0,0,0,0,0.170915437188064,0,0,0,0.0371074136747863,0,0,0,0,0,0,0,0,0,0,0.131593031496134,0.0121851046290497,0.00442644296359973,0,-0.0252807534244473,0.105438642780001,0,0,0,0,0.099900373152953,0,0,0,0,0,0,0,0,0,-0.0337074301660713,-0.00536617889816684,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.11891904237409,0,0,0,0,0,0,0.188840520562533,0,0,0,0,0,0,0,0,0,0,-0.186205551884187,0.791641328933072,0,0,0,0,0,-0.136886732621217,0,0.0463768900146471,0,0,0,0.185758390994898,0,0,0,0,0,0,0,0,0,0,0,0.0475609116182112,0,0,0,0,0.14137009436533,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235951618454862,0,0,0.0538195462970855,-0.103328617140713,0,0.0940975324301843,0,0,0.0585470143431764,0,0,0,0,0,0,0,0,0,0,0.288702185239874,0.0738381061834017,0,0,0,0,0,0.0349102683100256,0,0,0,0,0,0,0,0,0.00300609079971948,0,0.117933308774234,0,0.0196765503840798,0,0
X002271.SZ,0,0,0,0,0,0,0,-0.00164417431803687,0,0,0,0,0,0,0,0,0,0,0,0,0.0926849042621529,0,0.237912317934632,0,0,0,0.173802931263649,0,0,0,0,0,0,0,0.136206732362547,0,0,0,0,0,0.0164298569168277,0,-0.105689347762354,0.115788979095144,0,0,0,0,0.346809566895079,0,0,0.0433720794464247,0.0176590324516124,0,0,0,0,0,0
