,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X000301.SZ,X601898.SH,X600011.SH,X600019.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000877.SZ,X600886.SH,X600547.SH,X601600.SH,X002271.SZ,X600795.SH,X600803.SH,X600426.SH,X600176.SH,X600362.SH,X601991.SH,X000983.SZ,X600027.SH,X000629.SZ,X600348.SH,X000408.SZ,X000723.SZ,X601699.SH,X600096.SH,X600160.SH,X000786.SZ,X600141.SH,X300073.SZ,X600219.SH,X002080.SZ,X002353.SZ,X600157.SH,X600549.SH,X600295.SH,X000933.SZ,X000807.SZ,X600378.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601991.SH,0,0,0,0,0.044877887173888,0,0,0.10315019551568,0,-0.00587336434860282,0,0.0340145075624847,0,0,0,0,0,0,0,0,0,0,0.125509024420554,0,0,0,0,0,0,0.30412888477911,0.119618905577419,0,0,0,0,0,0,0,0,0,0,0.0305225619770837,0,0.236616481777801,0,0,-0.237680665284981,0,0,0,0,0,0.00648870742687369,0,0,0,0.0018206482674774,0,0
X000983.SZ,0,0,0,0,0.171686216680108,0,0,0,0,0,0.160213400023607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.381790810593293,0.0604761625233433,-0.0774496175745579,0.0151291639176187,0,-0.0613538629347553,0,-0.00950352474451231,0,0,0,0,0,0,0.00887313795411496,0.522280368795107,0,0.0351706140255363,0.00946258171695672,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,-0.0246764877227414,0,0,0,0.034884732890234,0,0.147361835382403,0,0,0,-0.195097972761492,0,0,0,0,0,0,0.052183025379323,0.0254364829009178,0,0,0,0.413647212614682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0548613864170154,0,0,0,0,0,0,0.0931749106457434,0.0974072531906191,0,0,0,0,0,0
X000629.SZ,0,0,0,0,0.011230008207557,0,0.595620055303426,0,0,-0.175096270248462,0,0.162960159632543,0,-0.429332938035711,0.30462484854936,0,-0.0889883610039874,0,0,0,0,-0.338479584709669,-0.487141289197268,0,0,0,0,0.308761147382444,0,0.0936707112041768,0,0,0,0,0,0,0,0,0.287413941312217,0,0,0,0,0,0,0.0814806740874004,0,0,0,0,0,0.0933889283032669,0,0,0,0,0.0974194323207028,0,0
X600348.SH,0,0,0,0,0.349757188905981,0.0558083452345252,0,0,0,0,0,-0.0265016917078605,0,0,0,0,0,0,0,0,0,0,-0.0991300568524761,0,0,0,0,0,0,0,0,0,0.199676142022968,0,0,0,0.343316387976762,0,0,0,0,0.0630168622203056,0.0815351147707012,0,0.177853365706073,0,0,0,0,0,0,-0.0111608882717683,0,0,0,0,-0.0359487755201578,0,0
X000408.SZ,0,0,0,0,0,0.321060672710213,0,0,0.335173144145526,-0.12906522701935,0,0,-0.152127006240334,0.211485062135956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427529735486015,-0.0830886710209679,0.00193323415698964,0,0,0,0.211818386712344,0,0,0,0,0.0155501132299544,0,0,0,0.0112635751494804,0,0,0,0.00610096965794906,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,0.0797262883253997,0.0858292335316537,0,0,0,0,0,0,0.0636288826279125,0,0.0103711077367677,0,0,0,0,0.0580966411209266,0,0,0,0,0,0,0,0,0,0,-0.0635448915387993,0,0,0,0.0643519970351234,0.238344185055492,0,0.0321799846728007,0,0,0.120788100945583,0,0,0,0.103645301294742,0.0462752549886213,0,-0.011229320764155,0,0,0,-0.0738264352008201,0,0,0,0.0437614307683123,0,0
X601699.SH,0,0.108294986462487,0,0,0.215922204293132,0.0440276605646221,0,0,0,0,0.0704263248982291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32623710558435,0,0,0.111674005475787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0427790750065113,0,0,0,0,0,0
X600096.SH,0,0,0,0,0.0656456265739043,-0.0584689080942264,0,0,0,0,0.275028529591386,0,0,0,-0.072461744402751,0,0,0,0,0,0,0,0,-0.207165608013858,0,0,0,0,0,0,-0.0678204690872923,0.0381201036514506,0,0,0,0,0,0,0.797443417173448,0,0,0,0.189838372077117,0,0,0,0,0,0,0,0,0,0.0386471424901456,0,0,0,0,0,0
X600160.SH,0,0,0,-0.0782741579337342,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,-0.0607983680038824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787774022479864,0.140830408811651,0,0,0,3.46944695195361e-18,0,0,0,0.0099492693449535,0,0.120532361061217,0,0,0.215775713870225,0,0,0,0,0,0,0,0.166194128601212,0,0,0,0,0,0
