,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600188.SH,X600660.SH,X601898.SH,X600688.SH,X601600.SH,X002466.SZ,X601991.SH,X600362.SH,X600795.SH,X600886.SH,X600547.SH,X600516.SH,X000898.SZ,X300072.SZ,X002460.SZ,X600111.SH,X600027.SH,X600352.SH,X000553.SZ,X600176.SH,X601992.SH,X000825.SZ,X000786.SZ,X600299.SH,X000709.SZ,X000792.SZ,X600426.SH,X601699.SH,X600808.SH,X000408.SZ,X000883.SZ,X600315.SH,X601158.SH,X002271.SZ,X002110.SZ,X600339.SH,X000932.SZ,X600219.SH,X000830.SZ,X600489.SH,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.183584375568046,0,0,0,0,0,0,0,0,0,0,0.0242812944141337,0,0,0,0,0.0052315392760472,0.0476659519751101,0,0,0,0,0,0.169796484886072,0,0.0073983114490405,0,0,0,0,0,0.0345969201864612,0,0.0592591135491897,0,0,0,0.0655090957025979,0,0,0,0.0575132616356217,0.0389566408506063,0,0,0,0,0,0.00237849540511375,0,0,0,0,0,0,0
X600028.SH,0,0,0.140079847009327,0,0,0,0,0,0,0,0,0,0,-0.0625811294075838,0,0,0,0,0,0,0,0,0,0,-0.0453782953032597,0,-0.153822596205432,0,0,0,0,0,0,0.0452662605726003,0.076282477850915,0.206514564623063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00795213193654841,0.00130650490147214,0,-0.124731472920357,0,0,0,0
X601088.SH,0,0.168727940366029,0,0.136193422057597,0.123862989104089,0,-0.0833488571402669,0,0.245845468940435,0,0,0.475219902249556,0,0.0141948641863164,0,0,0,0,0,0,0,0,-0.108616369827493,0,0,0,0,0,0,0,0,0,0,0,0,0.123707603759072,0,0,0,0,0,0.0266908668435705,0,0,0,0,0,0,0,0,0.0044418031780951,-0.0623109210088818,0,0.0241637559907684,0,0,0,0
X600585.SH,0,0,0.207725078871456,0,0,0,0,0,0,0,0,0,0,-0.0556216908071666,0,0,0,0,-0.129078574970253,0,0,0,-0.0209772204510946,0,0.00238610600809651,0,0,0,0,0,0.180501899786273,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.162134061729957,0,0,0.0951714811493963,0,0.300685218159313,0,0,0,-0.0431088840511414,0.0250731566039113,0,0,0,0,0,0
X600019.SH,0,0,0.135717324030219,0,0,0.147590900088717,0,0,0.0519011086349599,0,0,0,0.315075696604973,0,0,0,0,0,0,-0.231671959163448,0,0,0,0,0,0,0,0.0458740282875752,0,0,0,0,0,0,0,0.293535155448572,0,0,0,0,0,0,0,-0.0627185691635431,0.222073440969387,0,0,0,0,0,0.014302616114329,0.00246377103579638,0,0,0,0,0,0
X600309.SH,0,0,0,0.136692712294364,0,0,0,0,0,0,0,0,0,-0.135678068326885,0,0,0,0,-0.0241394426578036,0,0,0,0,0,0,0,0,0,-0.0468082656809762,0,0.149023560575626,0.115885210112848,-0.0754243072110548,0,0,0,0,0,0,0,0,0,0,-0.0605913120049188,-0.0112876688190877,0,0,0,0,0.0573535539680604,0.0700058494099605,0.0306181571573862,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0423966393007183,0.0704524170649108,0,0,0,0,0.0794871713748564,0.163378224751646,0,0,0.0243477002262111,0,0.284847171276857,0,0,0,0,0,0,0.052916007199202,0,-0.173872411305378,0,0,0,0,0,0.053719924294857,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00528300365092503,-0.0290834246709912,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304448897665302,0,0,0,0,-0.127608811199891,0,0.198880236248891,0,0,0.672885523872021,0,-0.0290890402161033,0,0,0,0,0,0,0,0,0,0.13129328269214,0,0,0,0,-0.0715936462343572,0,0.301434987966439,0,0,0,0,0,0,-5.42101086242752e-20,0.0406300749456756,0,0,0,-0.41429927323783,0,0
X600188.SH,0,0,0.58844285572883,0,0,0,0,0,0,0,0,0,0,0.101331132159641,0,0,0,0,0,-0.210433229532567,0,0,0.0437490237327956,0,-0.0364731408376708,0,0,0.280831707572005,0,0,0,0,0,0,0,0.065732253463435,0,0,0,0,0,-8.67361737988404e-19,0.12270016867714,0.00286156417416007,0,0,0,0,0.526474706256971,0,-0.0357421473739926,0.0329259603064942,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,-0.158630540203522,0,0,0,0,0,0,0,0,0,0,-0.398488360616706,-0.0195095123977388,0,0,0,-6.93889390390723e-18,0,0,0,0,0.393790077112463,0.115667060297128,0,0,-0.440663572171981,0,-0.0608479718585583,1.38777878078145e-17,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0137696497949331,-0.050549419935551,0,0,0,0,0,0.0223758807340402,-0.0404187352397383,0,0,0,0.0715712881107164,0,0
