,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X000792.SZ,X600583.SH,X601158.SH,X000898.SZ,X000831.SZ,X600352.SH,X000709.SZ,X000883.SZ,X600547.SH,X600489.SH,X002353.SZ,X000539.SZ,X002470.SZ,X000630.SZ,X000027.SZ,X000825.SZ,X600660.SH,X600008.SH,X600549.SH,X600315.SH,X000629.SZ,X600021.SH,X600808.SH,X600578.SH,X600098.SH,X600307.SH,X000983.SZ,X601699.SH,X600863.SH,X000960.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.512941310305737,0,0,-0.0257754186219232,0,0,0,0,0,0,0.165854501389972,0.129203677840511,0,0,0,0,0,0.0434216538847674,0,0,0,0,0.0357138296804078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626173517193861,0,0,0,0,0,0,0.00243748487543883,0,0,0,0,0,0
X600028.SH,0.456953733027649,0,0,0,0,0,0,0,0,0.0643553036136882,0,0,0,0,0,0,0,0.499916938171455,0,0,0,0,0,0,-0.0716267220824745,0,0,0.0338060196708336,0.044234933510945,-0.00235647364536783,0,0,0,0,0,0,0,0,0,0,-0.0228435285190926,0,0,0,0,0,0,-0.0444562508597664,0,0,0,-0.0187763609589429,-0.00481590396752274,0,0,0,0,0,0
X601088.SH,0.0474971255978907,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.186851963896941,0.0705528675499216,0,0,0,0,0,0,0,0,-0.000572223175424734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268634852496033,0,0,0,0.428831818362807,0.141033371259341,0,0,0,0,0,0.00158296728570522,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0904083451726321,0,0.0122236970506106,3.46944695195361e-18,0.0527069905651428,0.071814239794499,0.153122377924938,0,0,0.192245053719676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208750868429828,0,0,0,0,0,0,0.0152202302150085,0,0,-0.0120116541978976,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0316586748415861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289305160970018,0,0,0.308224954810332,0,0,0,0,0,-0.0269599367281584,0,0,0,0,0,0,0,0,0.0359514648123609,0,0,-0.0382007601979977,0,0,0,0,0,0.193284114813604,0,-0.0947444419616388,-0.0320184669526188,-0.0291357584975354,0,0,0,0,0
X600585.SH,0,0.113960262054224,0.0619631750664166,0,0,0,0.0521903208412306,0,0,6.93889390390723e-18,0,0,0.00457411305255187,0,0,0,0.0223687667994665,-1.38777878078145e-17,0,0,0.143110618041543,0,0,0.00869109372696688,0,0,0,0,0,0,0,0,0,0.0260838521256231,0,0.181922785486482,0,0,0,0,0,0,0,0.215498509252294,0,0,0,0,0,0,0,0,0.000855810916645419,0,0,0,0,0,0
X600010.SH,0,0,0,0.110761471187453,0,0,0,0,0,0,0,0,0.0104847509520259,0,0,0,0,0,0,0,0,0,0.497256616885368,0.105241934806283,0,0,-0.290137888893665,0,0,0,0,0,0,0,0.153766701548523,0,-0.0424729300343258,0.0380234584217632,0.350290983013327,0,-0.0549495912638954,0,0,0,0.0224652061045131,0,0,0,0,0.0555073745256519,0,0,-0.0134210552653319,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.112084956934495,0.0788171318158755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016525675651832,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173250888874482,0,0,0,0,0.0101822662820871,0.251740485747034,0.301199008599482,0,0,0,0,-0.000969660913588054,-0.00234510312944494,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.0709913280298616,0,0.352348210168699,2.77555756156289e-17,0.108565386482641,0,0,0,0.0146759595054516,0.0149542232334614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785459140758755,0,0,0,0,0,0,0.143866470251972,0,0,0,0,0,0,0,0,0,0,0,-0.0237956151174592,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.173651520587612,0.193865585798456,0,0,0.110644527064325,0,0.0292785961001157,0,0.0544160228853451,0,0,0,0,0,0,0.145708930533407,0,0,0.0469304622700362,0,0,0.0808623530347586,0,0,0,0,0,0.0301481691523401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101147247314979,-0.0271981654966712,0,0,0,0,0,0
