,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X600019.SH,X002466.SZ,X600660.SH,X600188.SH,X600010.SH,X000301.SZ,X600011.SH,X000877.SZ,X002271.SZ,X601600.SH,X000708.SZ,X601898.SH,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X002326.SZ,X600426.SH,X002080.SZ,X300037.SZ,X600803.SH,X000408.SZ,X600219.SH,X600096.SH,X000723.SZ,X601991.SH,X600141.SH,X600795.SH,X000786.SZ,X002407.SZ,X000825.SZ,X600399.SH,X600295.SH,X600688.SH,X600489.SH,X000983.SZ,X600352.SH,X600027.SH,X601699.SH,X002353.SZ,X600160.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0893259869504323,0.00453031724884571,0.0731980941231543,0,0,0,0,0,0,0,0,0,0,0.0100794821352893,0,0,0,0,0,0,0,0,0,0,0,0,0.0770627399905886,0,0,0.137003886559745,0.089515100186566,0,0,0,0,0,0.105691927071934,0,0,0,-0.00442900147570504,0,0,0,0,-0.0819224265984105,0,0
X600028.SH,0.117332811987103,0,0,0,0,0,0,0,0,0,0,0,0,0.0340231425222216,0,0,0,0.0371703579440725,0,0,0,0,0,0,0.0228337787712804,0,0,0,0,0,0,0.0206709352160904,0.0263972120233395,0,0,0,0,0,0,0,0.0932336372002296,0,0,0,0,0,0.0867634561475831,0.134708030773005,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.167015325553069,0,0,0,0,0,0,0,0.248130172467776,0,0,0.0818538921271165,0,0,0,-0.00131239780969754,0,0.118411256214037,-0.02639285929697,0,0,0,0,0,0,0,-0.090438463588948,0,0,0.0840233025230263,0,0,0.115369334961639,0,0,0,0,-0.0165276008171729,0,0,0,0.0490580925704206,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00887958944965525,0,0,0,0,0,0,0.0542379287498054,0,0.228287372367557,0,0,-0.0374459848254682,0,0,0,-0.0186654284488904,0,0,0,0,-0.016962492005549,0,0,8.67361737988404e-19,0,0,0,0,-0.033771920298314,0,-8.67361737988404e-19,0,-4.33680868994202e-19,0,0.00136036216732583,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,-0.0894416832771567,0,0,0,0.381749293771096,0,0,0,0.0496411439286764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697561453376176,0,0,0,0,0,0.318966638343443,0,0.0872845861587357,0,0,0,0,0,0,0,0,0,0,0,0.0228600611877684,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0270593601327153,0.511361447096674,0.199879631643539,0,0,0,0,0,0.0867242886094583,0,0,0,-0.160488820172211,-0.0139358924582087,0,0.00923224471590345,0,0.0733336541260259,0,0,0,0,0,0,0,0,0,0,0,0,0.0884517522131585,0,0,0,0,0,0,0.0124191109839295,0,0,0,0,-0.0221380014529728,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.146592464631344,0,0,0.357308026571803,0.060457862674016,0,0,0,0,0,0,0,0,0,0,0.114557998836238,0,0,0,0,0.342539863189032,0,0,-0.0494754832039774,0,-0.0471609878686328,0,0,0.0354809842353438,0,0.217355115022607,-0.0549821504133002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0277946647991187,0,0,0,0,0,0,0,0,0.0846784614864126,0,0,0,-0.145575002650515,0,-0.0635677754167275,0,0,0,0,0,0,0,0,0,0.354050591150526,0,0,-0.185416971684609,-0.167545118030783,0,0,0,0,0,0,0.0760946128341378,0,0,0.157360574554055,0,0.175680025476733,0,0,0,0.167803913665334,0,0,0.0765849837586607,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,-0.090660879039155,0.136173851577309,0.175564810133269,0.0825802500123461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461052225145692,0.099327223338812,0.110365363841091,-0.138838018361372,0,0,-0.0124165520632891,0,0,0,0.290128100201275,0,0,0,0,0,0,0,0,0,0.0504752274447777,0.0474732644447069,-0.00253225556886504,0,3.46944695195361e-18,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.417092142251534,0,0.159575738564393,0,0,0,0,0,0,0.0588023778454136,0,0,0.00462001443232792,0,-0.0290533473185259,0,0,0,0,0,0,0,0,0,0,0.158411466448472,0.0497211140515306,-0.0369348381604458,0,0,0,0,0,0,0,0,0.0488338375505453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
