,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X600188.SH,X600352.SH,X600362.SH,X600795.SH,X600111.SH,X000723.SZ,X600027.SH,X601992.SH,X000898.SZ,X600801.SH,X000709.SZ,X600176.SH,X002460.SZ,X000786.SZ,X600516.SH,X600489.SH,X002466.SZ,X002271.SZ,X600299.SH,X000629.SZ,X000553.SZ,X000883.SZ,X600219.SH,X601158.SH,X600808.SH,X000630.SZ,X600985.SH,X600583.SH,X601699.SH,X000027.SZ,X000301.SZ,X002203.SZ,X600339.SH,X000825.SZ,X000401.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0858877219624253,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0173682459053381,0,0,0,-0.00691189028132937,0,0,0,0.0337486824198963,0,0,0,0,0,0,0.0729897802273235,0,0,0,0,0,0,0,0,0,0.0882263820407453,0.108979379332265,0,0.0265913668472058,0,0,0.0108213066923177,0,0,0,0,-0.0124252517151571,0,0,0,0,0,0
X600028.SH,0,0,0.0472243590373645,0,0,0,0,0.102711057021538,0,0.0362708319906674,0,0,0,0,0,0,0,0,0,0.0117500200281503,0,0,0.05469519848856,0,0.043191704094764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01353616233265,0,0,0.106009980776303,0,0,0,0,0,0,0,0,-0.0116504469648161,0,0,0,0,0,0
X601088.SH,0,0,0,0.0199973099165068,0,0,0,0,0,0,0,0,0,0,0,0.240876658531177,-0.162934295946171,0,0,0,0,0,0,0,0.159887612762204,0,0,0,0.0210745264255103,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.161663811263658,0,0.0238113882458827,-0.0277943551056857,0,0,0,0.00140072195412308,0,0
X600585.SH,0,0,0,0,0,0.128864392779132,0,0,0.0153982450650635,0,0,0,0,0,0.0563682058684095,0,-0.031094006193656,0,0,0,0.0170997033444199,0,0,0,0.448420256871619,0,0,0,0,0,0,0,0,-0.0636578313677773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187958536446845,0,-0.0102743283370999,0.0226410467219698,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0198709209055842,0,0,0,0,0,0.0665735928825993,0,0.0933131409419297,0,0,0.0338037406495873,0,0,0,0.221035617068697,0,0,0,0,0,0,0,0.00225512721092081,0.0775048605881647,0,0,0,0,0,0,0.0142263121304847,0,0,0,0,0,0,0,0,0,0,0,-0.0378555024238922,0,0,0,0,0,0
X600309.SH,0,0,0,0.313700802120865,0,0,0.108424703865839,0,0,0,0,0,0,0,0,0,0.209863172818193,0,0,0,0,0,0,0,0,0,0,0,0,0.165996449927809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232857428311181,0,0,0,-0.0671675517159246,0,0,0,0,0,0.00155897422955978,0,0
X600011.SH,0,0,0,0,0,0.0280212776368223,0,0.0918796441071884,0,0,0,0,0,0,0,0,0.211787747744594,0,0,0,0,0.313882137328645,0,0,0,0,0,-0.0383870898365684,0.0660870202380665,0,0,0,0,0,0,-0.107365606036672,0,0,0,0,0.143170785063624,0,0,0,0,0,0,0,0,0,0,0.0288993128409501,-0.0147228343713481,0,-0.0615982902790194,0,0.0277958993615142,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146811902088874,0,0,0.105376102812713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115475402115559,0,0,0.435387357325498,0,0,0.115890265448916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291121168286545,0,0
X600547.SH,0,0,0,0,0,-0.00731810955187457,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590794303155309,0,0,0,0,-0.00178476824029671,0,0,0,0,0,0.93676970646185,0,0,0,0,0.0680166526877861,0,0,0,0,0,0,0,0,0,0,0,-0.0161035730020926,0,0,-0.0757357924070743,0.00395097732956195,0,0,0,0,0.0112217926279759,0,0
X601600.SH,0,0,0,0,0,0,0,0.338415349831885,0,0,0,0,0,0,0,0,0.00696367202638523,0.217873206546391,0,0.0669038434412602,0.0215798730208588,0,0,0,0,0,0,0,0,0.0206500732170434,0,0,0,0,0,0.0634020575273311,0,0,0,0,0,0.0176165076168404,0,0.142058406568995,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.0158276107646126,0,0
