,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600188.SH,X600688.SH,X601600.SH,X002466.SZ,X601991.SH,X600362.SH,X600795.SH,X600886.SH,X600547.SH,X600516.SH,X002460.SZ,X300072.SZ,X000898.SZ,X600111.SH,X600027.SH,X000553.SZ,X600352.SH,X600176.SH,X000825.SZ,X601992.SH,X000709.SZ,X600299.SH,X000786.SZ,X000792.SZ,X000408.SZ,X600426.SH,X601699.SH,X600808.SH,X000883.SZ,X601158.SH,X002271.SZ,X002110.SZ,X600315.SH,X000932.SZ,X600219.SH,X600339.SH,X000830.SZ,X000983.SZ,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.173762938623029,0,0,0,0,0,0,0,0.0069856356379467,0,0,0.051840729378838,0,0,0,0,0,0.0450751148550557,0,0,0,0.037486282662863,0,0,0.168870999885083,0,0,0,0,0.0233391849126013,0,0.0500359674316957,0,0,0.0607702641924798,0,0,0,0,0,0.0714462509062927,0,0,0.0411700932636533,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600028.SH,0.156561692734563,0,0.0576956832048547,0,0,0,-0.0298992939377596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0650893219861598,0,0,0,0,0,0,0,0.0430514863602483,0,0.00107255121289917,0.130746708009552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230700297804768,0,0,-0.185594530923848,0,0,0,0
X601088.SH,0,0.24353480126184,0,0.13397962118133,0,0,0,0,0,0,0.370862842994329,0.243919480651002,0,0.0444860374013523,0,0,0,0,0,0,-0.0102453968706933,0,0,0,0,0,0,0,0,0,0,0,0,-0.0275188388350733,-0.00971429279722362,0,0.0337879070606859,0,0,0,0.0252329496696524,0,0,0,0,0,0,0,0,0,0.00280017145108957,-0.0211297856914051,0,0,0,0,0,0
X600585.SH,0,0,0.139448883614339,0,0,0,0,0,0,0,0,0,0,-0.0407410321277674,0,0,0,0,-0.0542639259916025,0,-0.0282506707433067,0,0,0,0,0,0,0.00559979143549282,0,0,0,0,0.177020815108413,0,0,0,0,0,0,0,0.151506214954478,0,0,0.119213845890761,0,0,0.331543903933555,0,0,0,-0.0433061213443514,0.0264618101862551,0,0,0,0,0,0
X600019.SH,0,0,0.0557487869634426,0,0,0,0,0,-0.185564213934959,0,0.333446539428078,0,0.0741315385313934,0,0,0,0,0,0,-0.0813399395538935,0.0167430858338718,0,0,0,0,-0.0429899707351763,0,0.10824848827546,0,0,0,0,0,0,-0.0444872127618789,0,0,0.230745481133531,0,0,0,0,0,0,0,-0.0486201412486761,0,0,0,0,0,0.0268831539734504,0,0,0,0,0,0
X600309.SH,0,0,0,0.113052115288981,0,0,0,0,0,0,0,0,0,-0.161461819955591,0,0,0,0,0,-0.0101444015140451,0,0,0,0,0,0,0,0,0,-0.0864745736624664,-0.0480769974455212,0,0.204420269083862,0,0,0,0,0,0,0,0,0,0,0,0,-0.10019402973825,0,0,0,0.0589586557189636,0.0732675188713703,0.0244745613840771,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138325714313122,0,0,0,0,0.0232157820419666,0.0422843294521011,0,0,0,0,0.241905599514804,0,0,0.0247181660148344,0,0,0,0.251355454733226,0,-0.10144097848256,0,0,0,0,0,0,0,0,0.021962433968185,0,0,0,0,0,0,0,0.0110899682140405,-0.0492209659603952,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497553810745306,0,0,0,0.0515528096047053,-0.112517979652734,0,0.128469052481704,0,0,0.547885285183438,-0.107616275047655,-0.0312116055674845,0,0,0,0,0,0,0,0,0,0,0.123940610312162,0,0,0,0,0,0,0,0.293868893306515,0,0,0,0,0,0.0272367666168136,0,0,0,-0.536375082477117,0,0
X600660.SH,0,0,0,0,0,0,-0.158265259801615,0,0,0,0,0,0,0,0,0,0,-0.398743784971202,-0.0196654856321856,0,0,0,0,0,0,0,0,0.393852271046098,0,0.115586212233028,0,-0.44101326322898,0,-0.0604365974486601,0,0,0,0,0,0,0,0,0,-0.0505945242135997,0,0.0137335510679032,0,0,0,0,0.0222819726271886,-0.0405365840780026,0,0,0,0.0712128922084791,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0328618895169399,0,0,0,0,0,0.0671876938916558,0.0032747231151505,0.0184274070090429,0,0,0,0,0,0,0.0811728159523365,0,0.0956198468070956,0.00769805507046654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196924443315022,0.0522381252609102,0.362711538449363,0,0,-0.00748004076007801,0,0,0,0,0,0,0
