,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600362.SH,X600157.SH,X601992.SH,X600111.SH,X600299.SH,X600188.SH,X601158.SH,X600160.SH,X600352.SH,X600583.SH,X600623.SH,X000027.SZ,X000539.SZ,X600309.SH,X000629.SZ,X600660.SH,X000792.SZ,X002466.SZ,X000709.SZ,X000630.SZ,X000898.SZ,X000060.SZ,X600098.SH,X000883.SZ,X002470.SZ,X600021.SH,X600547.SH,X000012.SZ,X600489.SH,X002004.SZ,X600578.SH,X600315.SH,X600863.SH,X600022.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.147052418117729,0,0,0,0,0.166590946385992,0,0.1122223572048,0,0,0.0642588030290428,0,0.0531614140484066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114342193925467,0,0.0293527794731166,0,0,0,0,0
X600028.SH,0.336215034892662,0,0.0839094601794095,0,0,0.135823644206972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087945735598642,0,0,0,0,0.0274526070869677,0,0.00406656374119112,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0.0355131383061198,0,0,0,0,0.0839693279398293,0,0.0147046788670814,-0.00976467994257973,0.0616104037103551,0,0,0,0,0
X601088.SH,0.0711576280168881,0,0,0,0,0,0,0.324143572649567,0,0,0,0,0,0.00386419948439437,0,0,0.0296217035382492,0,0,0,0,0,0,0.00777496646777088,0,0,0,0,0.00679877797239533,0,0,0,0.135023792553706,0,0,0.0548286047680986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0207232785042449,0.0815479151709492,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0243306396133813,0,0.0269546942685238,0,0,0,0,0,0.120545956161122,0,0,0,0,0,0.123585291638444,0,0.0666911043252176,0,0,0,0,0,0,0,0,0,0,0.00800485965785155,0,0,0.0261032665088085,0.0529290910041762,0,0,0,0,0.047212505420594,0,0,0,0,0,0,0,0,0,0.0214220745198355,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0358074667617927,0.415708864508673,0,0.101331108699779,0,0,0,0,0,0,0,0,0.125633810538433,0,0,0.0132455879281375,0.078942964249861,0.0656582672843204,0,0.0635426881117408,0,0,0,0,0,0,0.00440332341550089,0.00376515892319083,0,0,0,0,0,0,0,-0.00515347064741644,0,0,0,0,0,0
X600585.SH,0,0.150958526092256,0,0,0,0,0,0,0,0,0,0,0,0.162268958309976,0,0,0,0,-0.0361219268749504,0,0,0.040283840621139,0.062424875188562,0.19236472042691,0,0,0,0,0.0113061310206634,0,0,0.0595439644846866,0.0890768828963371,0,0,0.0660827867453389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162555082929048,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0816196546037045,0,0,0.176025069501053,0,0,0,0,0.0296072820576951,0.0109052064277274,0,0,0,0,0,0,0,0,0,0.00709976961776176,0,0,0.0245662261232702,0,0,0,0,0,0,0.152891405284836,0,0,0,0,0.179729294162736,0,0,0,0.0200578804133207,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.107809290795227,0,0,0,0.17340459312668,0,0.126592333771842,0.0548148020657502,0,0.0293025686033178,0.0263881056929117,0,0,0,0,0.0314739983692085,0,0,0,0,0.0986480173751426,0,0,0,0,0.0629948668231838,0.0545340740976602,0,0,0,0,0.0189000327092411,0,0,0,0,0,0,0,0,0,0.00319603882895275,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0.0577966757593748,0,0,0,0,0.0695141648814888,0,0,0,0.0323499875315432,0,0.118040422302034,0,0,0.025364397447818,0,0.0497555175402209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0127708973441974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233537898254464,0.0024946137266095,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00571307593208357,0.137659342924151,0,0,0,0,0.238733200798241,0,0.0130566585596187,0,0,0,0,0,0,0,0,0,0,0.174704456696721,0,0,0.143206164704253,0,0,0,0,0,0,0.0398323579835562,0,0,0,0,0,0,0,-0.00107633157162057,-1.73472347597681e-18,0,0,0,0,0,0
