,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600010.SH,X600585.SH,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X600688.SH,X600795.SH,X600188.SH,X300072.SZ,X600157.SH,X601991.SH,X600027.SH,X600111.SH,X601992.SH,X600886.SH,X600660.SH,X600309.SH,X600489.SH,X000898.SZ,X600299.SH,X000723.SZ,X002466.SZ,X601158.SH,X000792.SZ,X000709.SZ,X002075.SZ,X000959.SZ,X000630.SZ,X600583.SH,X000408.SZ,X600623.SH,X600219.SH,X000883.SZ,X600352.SH,X000983.SZ,X600098.SH,X000060.SZ,X600549.SH,X000539.SZ,X601699.SH,X000027.SZ,X000937.SZ,X002092.SZ,X600176.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.35776595686654,0,0,0,0,0,0,0,0,0.0356034570695417,0,0,0.00161260946562673,0,0,0,0,0,0.0707370232248727,0,0,0,0,0.0562928825822203,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0190636754129672,0,0.0809165766161918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126401285028329,-0.000201218493573967,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0347979123256684,0,0,0,0,0.0450560007402449,0,0,0,0,0,0,0.129814459307031,0,0,0.0577831130982768,0,0,0,0,0,0,0,0.0176900929404573,0,0.266549652846387,0,0.0140169897550067,0,0,0,0,0,0,0,0,0,0,0.0174270349231972,0.0176514920952531,0,0,0.0254620632120012,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.288130192416347,0,0.115760438860223,0.11791698838398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078819976051253,-0.0285600137862325,0,0,0,0,0,0,0,0,0,0.151593121081258,0,0,0,0,-0.0658285707578412,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.411721965525605,0.041706938564558,-0.0613830356408024,0,0.112262560664688,0,-0.0354672411596085,0,0,0,0,0,0,0,0,0,0.0694611737169024,0,-0.045955514082834,0,0,0,0,0,0,0,0.0325829052866987,0,0,0.059127872110952,0,0,0,0,-0.178549972556151,-0.0191724044724029,0,0.0584917546574942,0,0.229222633121289,0,0,-0.00585873114476511,0,0,0.0628709038149595,-0.00886541001316785,-0.282163750146123,0,0,0,0,0
X600011.SH,0,0.0554165417266947,0,0,0,0,0,0.0475069152293539,-0.0414688203062895,0.0849361433062386,0,0,0.0306857402369208,0,0.0592421376870062,0,0,0,0,0,0,0,0,0,-0.0626871502540141,0,0,0,0.0435411991797485,0,-0.0190727505221714,0,-0.00742163778367529,-0.0387827969517224,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369557609664311,0,0,-0.0512892080842665,0.0770767053327636,0,0,0,-0.0584340188151973,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.029411505700341,0,0,0,0,0.0020641988060298,0,0,0,0,0,0,0,0,0.154097275888752,0,0.235218454154977,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0542622157533064,0,0,0,0.0348203260099645,0,0.0441778356323942,0,0,0,0,0.0379796684582901,0,0,0,-0.00304363897958745,0.0157700886862814,0,0,0,0,0,0
X600585.SH,0,0,0,0.117315656374824,0,0,0,0.00312533694380619,-0.040325510921058,0,0,0,0,0,0.0116839985204589,0,0,0,0,0,0,0.0040124655885267,0.0252638817206239,0,0.113796747519585,0,0,0,0,0,0,0,0.132063790920008,0,0,0,0,0,0,0.0134599146572769,0,0,0,0,0,0,0,0.0230044383676135,0,0,0.119818961290798,0,0,0,0,0,0,0,-0.0754226156131835
X601898.SH,0,0,0.268617757391937,0,0,0,0,0,0,0,0,0,0,0.091241641127595,0,0.09010589769757,0,0,0,0,0,0.0271860736617071,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163856896094112,0.0277224870608912,0,0,0.204124006025247,0.2168043535416,0,0,0,0,0,0,0.0901831136818114,0,0,0,0,-0.0720096165074129,0,0,0,0,0,0
X600547.SH,0,0,-0.0620892717287147,0,0,0,-0.140186818597566,0,0,0,0,0,0,-0.138514431017596,0,-0.0335568828889802,0,0,0,0,0,0.0653617706627603,0,0.983891924622911,0,0,0,0,0,0,0,0,0,0.0601501501595212,0,0,0,0,0,0,0,0.0436647633594134,0,0,0,0,0,0,0.13185039742876,0,0,-3.46944695195361e-18,-0.0352754770947194,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.0771364307653904,0.0194988581131921,0,0,0,0.0548590664342909,0,0,0,0,0,0,0,0,0,0,0,0.0351699555388499,0,0,0,0,0,0,0,-0.0265768487596537,0.266540899431365,0,0,0,0.0120352112627222,0,0,0,0,0.421781186566286,0,0,0,0,0,0.172218499197297,0,0,0,0.044688861491343,0,0,0,-0.09844183479962,0,0
