,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X600010.SH,X601898.SH,X601600.SH,X600688.SH,X600362.SH,X600547.SH,X600795.SH,X600309.SH,X601991.SH,X300072.SZ,X600188.SH,X601992.SH,X600157.SH,X600027.SH,X600886.SH,X600660.SH,X600111.SH,X000898.SZ,X000709.SZ,X600489.SH,X600339.SH,X600299.SH,X000959.SZ,X601158.SH,X000630.SZ,X600583.SH,X000792.SZ,X002466.SZ,X600352.SH,X000408.SZ,X600219.SH,X000883.SZ,X600098.SH,X000983.SZ,X000825.SZ,X000539.SZ,X601699.SH,X002092.SZ,X600021.SH,X000027.SZ,X000723.SZ,X600623.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.356187051051801,0,0,0,0,0,0,0.0383214167235996,0,0,0.00844751201020337,0,0,0,0,0,0.0399581039312773,0,0,0,0,0,0.0484927134879941,0,0,0,0,0.00495392736593992,-0.0423092912634398,0,0,0,0,0,0,0,0,0.0127754571440087,0,0.0138898065624965,0,0,0,0,0,0,0.0777935427634336,0,0,0,-0.00696125678069551,0,0,0,0,0,0
X600028.SH,0.777414919826554,0,0,0,0,0,0,0,0,0.0484004139412143,0,0,0,0.0575782158887309,0,0,0,0,0,0,0,0,0,0,-0.0444139239698249,0,0,0,0,0,0.0690452931557596,0,0,0,0,0,0,0,0,0,-0.0369011615170527,0,0,0,0.0554030261519768,0,0.030928584007863,0,0,-0.112439802138973,0.00911579009363468,0,0,0,0,0,0,0
X601088.SH,0,0.0036867335565363,0,0,0.0297212340677422,0.056014405907366,0,0.0713860349445295,0,0,-4.33680868994202e-19,0,0.0339336047765035,0,0,0,0,0,0,0,0,0.0641659618139934,0,0.0736068814011904,0.0295532443153987,0,0.0604941205607494,0,0,0,0,0,0,0.0383088618204877,0,0,0,0,0,0,0.00231127895939062,0,0.161405882573796,0,0,0,0,0,0.0214170441139813,0,-0.0311805142437759,0.0128905075751632,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0718163400948317,0.319134795116892,0,0,-0.082460697515195,0,-0.0285806933348787,0,0.0551248106201794,0,0,0,-0.0668026603545168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00793764234609302,0,0,0.089277397626699,0.0522856681285934,0,0.0166352944071542,0,-0.0168133165383539,0.0220022508963626,-0.0178227144628919,0.0146683415889569,0.0986966437952755,0,0,0,0,0
X600019.SH,0,0,0.471772940056889,0.135055137682707,0,0,0,0,0,0,-0.141439604894398,-0.0828504743955282,0,0.0741324296023983,-0.0587887028728256,-0.0656300710853236,0,0,0,0,0,0,0,0.221160378217172,0,0,0,0,-0.155717847218071,0,0,0,0,0,-0.150364817532326,0,0,0,0,0,-0.131103343800596,0,0.123749058960193,0,0.0468355840216789,0,0.0467750016107371,-0.0600203773873882,0,0,-0.0115217315694305,0.00789078438656027,0,0,0,0,0,0
X600585.SH,0,0.0358948664179847,0,0,0.0473287377332844,0,0,0,0,0,0,0.0586497306756478,0,0,0,0,0,0,0,0,0,0.027056554437987,0,0,0.209022412910223,0,0,0,0,0,0,0,0,0,0,-0.517248723601414,0,0,0.131562737499313,0,0.0976480433188999,0,0,0.0414211854640332,0.0613666214350701,0,0,0,0,-0.22022946214849,-0.00267176947025986,0.00832697426609238,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.128137817955245,0,0,0,0,0,0.0434664658849873,0,0,0,0,0,0,0,0,0.173613532112284,0,0,0.048482227699237,0,0,0,0,0,0,0,0,0,0,0,0.0575206655715584,0.0256304606033042,0,0,0,0,0,0,0,0.0825367197523562,0,0,-0.0222662761628142,0.000742360051838764,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.0334159328361977,0,0.102770700536152,0,0,0,0,0,0.288828507877046,0,0,0,0,0.0314548233993654,0,0,0,0,0,0,0,0,0.0337109868885407,0,0,0,0,0,0,0,0,0,0,0,0.178215149405469,0,0,0,0,0,0,0,-0.00697280648707502,0.00349505196556576,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0457066042815377,0,0,0,0.351983814259848,0,0,0,0,0,0,0,0,0,0,0.0354926270614348,0,0,0,0,-0.135330705807839,0,0,0,0,0,0,0,0,0,0.0676029726268611,0,0.0175784559566035,0,0,0,0.114077093959064,0.0422568901942591,0.139724235080502,0,0,0,0.00754191934934132,-0.200656467989756,0,-0.00278290909533845,0,0,0,0,0,0
X600688.SH,0,0.503512868293105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0272510225823993,0,0,0,0,0,-0.03466930097427,0,0.104015603388486,0,0,0,0.121990388798217,0,0.011627972499327,0,0,0.0429310949054271,0,0,0,-0.0544907982238843,0,0.0479806008771905,0.132938682407975,0.0388544369314561,0,0,0.0414711825995122,0,-0.00991117613063367,-0.00873700637153021,0.00575523865782905,0,0,0,0,0,0
X600362.SH,0,0,0,0,-0.0682690746875674,0,0,0,0.272650679409355,0,0,0,0,0,-0.117028748444259,0.134939998210912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557487622106896,0,0,0,0,0,0,0,0,0,0,0,0.105154594276793,0,-0.0666267683404604,0,0,0,0,0.0601024054024315,-0.00070203934160196,0.0103737755879087,0,0,0,0,0,0
X600547.SH,0,0.143062812112791,0,0,0,0,0,0,0,0,-0.0195127416514284,0,0,-0.0267865044145892,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.876726711210637,0,-0.0184858457707152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769055176749183,-0.104031943486381,0,-0.128414260951684,-0.00288793127306809,0.00306542730791152,0.0178359059167589,0,0,0,0,0
X600795.SH,0,0,0,0.229772044840824,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.127470468569577,0,0,0,0,0,0,0,0,0,0.0295229803128742,0,0,0,0,0,0,0,0,0,0,0,0,0.0920351775567689,0,0.0147553872820436,0,-4.33680868994202e-19,0.066347455440468,0.0159636505654376,0,0,0.0361835281437812,0,0,-0.0178613251984238,0.0112223957902856,0,0,0,0,0,0
X600309.SH,0,0.0861345310268848,0,0,0,0,0,0,0,0,0,-0.180526173631422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140418308509716,0,0.157741496184878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557720135851039,0,0,-0.00616222262488435,-0.00898278353992622,0.133520307784441,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0541174792448566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0739542549500552,0,0.0077522588060231,0,0,0,0,0,0,0,0,0,0,0,0.0396058760985936,0,0.006970126126244,0.081012787045764,0,0,0,0.0750230523768214,0.0631001415829449,0,0.0174795745008207,-0.02080356440805,0,0,0,0,0,0
X300072.SZ,0,-0.0435462676938436,0,0,0.0162959258203741,0,0,0,0,0,0.129406950196608,0,0,0,0,0,0,0,0,0,0,0,0,-0.0852384840217484,0,0,0.0743357968308846,0,0,0,0,0,0.160667728907171,0,0,0,0,0,0,0,-0.0508467201155627,0,0,0,0,0,0.0295281083884813,0.0895682996097774,0,0.232230310957603,-0.0266570360196406,0.0254712990463174,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0.438212718616252,-0.00190700992688171,0,0,0.360639185058353,0,0,0.0137501524696663,0,0,0,0,0,0,0,0,0.138225808839986,0,0,0.0881173709075582,0,0,0,0,0.0194711018209023,0,0.115796815008623,0,0,0,0,0,0,0,0,0,0,-0.0776352159260871,0,0,0.0288867123842331,0,0,-0.0134823695569249,0.0132191602558221,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106686374836812,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0235359809516836,0,0,0,0,0,0,0,0,0,0.077089291117038,0,0.0230426804682991,0,0,0.00933622364805807,0,0,0,0.299331537944005,0.248368225727038,0,0,-0.00742956856923803,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580285056329185,0,0,0,0,0,0.111929250943382,0,-0.119663840460515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168454219397574,-0.0219245301159109,0,0,0,0,0,-0.0699785611068499,-0.00618805255708083,0.0173238072477249,-0.0161080931529385,0,0,0,0,0
X600027.SH,0,0,0,0.202503809446361,0,-0.0248999667081505,0,0,0.0412646258839434,0,0,0,0.196874262476528,0,0,0,0,0,0,0,0,0.0926890616384963,0,0,0,0,0,0,0,0,0,0.08350479836719,0,0,0,0,0.0710148960769486,0,-0.0450518995093657,0,0,0,0,0,0,0,0,0,0,-0.0538535645441272,0.0120810993748693,-0.0040169702591045,0,0,0,0,0,0
X600886.SH,0,0.158776835766157,0,0,0,-0.0154909822090251,0,0,0.0231943603798009,0,0.0283162667832447,0,0.0530869491586216,0.0317006096361058,0,0,0,0,0,0,0,0.181037589816368,0,0.049417701586137,-0.0259255039937288,0,0,0,0.0333495483535801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756002832976502,0,0,0,0,0.0652552783068749,0,0,0,0,0,0,0,0,0,0
X600660.SH,0,-0.0781525730352569,0,0,0,0,0,0,0,0,0,0,0,0.0495976519780321,0,0,0,0,0,0,0.0918530590531857,0,0.329943804225374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828791442193075,0.146967001296664,0.0317335660995952,0,0,0,0,0.0945375089160877,0,0.145210539595426,0,-0.209006334126839,-0.005613107495615,-7.8892007656199e-05,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.0959578360213198,0,0,0,0,0,0,0,0,0,0.059099403871693,0,0,0.0222310519352636,0,0.0880544368677214,0,0,0,0,0,0,0,0,0,0,0,0,0.0315833857557102,0,0,0.146827632422926,0,0,0,0,0.0178112610162393,0,0,0,0,0,-0.0187142198666378,0.00649383999666336,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0.453623265189084,-0.0452692603328862,0,0,0,0,0,-0.112015962223925,0,0,0,0,0,0,0,0,0,0,0,0,0.285632351661392,0,0,0,0.0891490386202018,0,0.100369820419885,0,0,0,0,-0.0895401847026363,0,0,0.376395491407217,0,0.104465878180472,0,0.256769624919363,0,0.171295085899754,0,-0.0588297762099308,-0.070158013600359,0.0309053953499857,0,-0.0612959272229794,0.0334453242070563,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0,0,0.0151329250021257,0,0.0942313450638737,0,0,-0.138064241049068,0,0,0,0,0,0,0,0,0,0.45208353059963,0,0,0,0,0,0,0.0226573412772745,0,0,0,0,0,0,0,-0.0163350904911085,0,0.0259682803812096,0,6.93889390390723e-18,0,0,0,0,0,0.0720960513314064,0,-0.0187761046598704,-0.0023176745407881,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0.615631353176383,0,0,-0.0130386190265396,0,0,0.00677755200507318,0,0,0,0,0,0,0,0,0,0,0,0,0.0403655879334174,0,0,0,0,0,0,0,0,0.00653826013034108,0,0,0.0401685332298383,0,-0.0174056688285421,0,0,0.146498770584786,0,0.0141280327191051,-0.00919429514038424,0.000268786684548011,0,0,0,0,0,0
X600339.SH,0,0.100615353254956,0,0,-0.0592163745410158,0,0,0,0,0,0,0,0,0,0.245976745811311,0,0.231165224907331,0.140569972641047,0.0466225324362491,0,0,0,0,0,0,0,0,0,0.135993410248163,0,0,0,0,0.2014635760083,0,0,0,0,0,0,-0.133574111772885,0,-0.131744986084964,0,0,0,-0.0208518290696154,0.246455599067983,0,0,0.0464295000338773,-0.0262734683554898,0,0,0,0,0,0
X600299.SH,0,0,0,0,0,0,0.203488130698188,0,0,0,0.127961829577251,0,0,0.121088563532001,0,0.0175628937270161,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032023250160168,0.0200939809554628,0,0,0.059027363303265,0,0,0,0,0,0,-0.141983387853774,0,0,0,0,0,0.11005172284894,0,0,0,-0.0134136822997082,0.00456020413477428,0,0,0,0,0,0
X000959.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.289042354490176,0,0.0625740958907508,0.057414962725466,0,0.467674288351196,0,0,0,0.0452065169685835,0,-0.0179017791473221,0,0,0.129272805695163,0,0,0,0,0.0317845970839829,0,0,0,0,0,0,0.106263297494485,0,0,0,0,0,0,0.422879014326752,0.0422367582640187,0,0,0,0.000337336272638867,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,-0.114992113883285,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.05846957544199,0.312312624317762,0,0,0,0,0,0,0,0,0,0,0.136903461612903,0.0550790650065656,0,0,0,0.0285556721828285,0,0,-0.017955663985927,0,-0.0916339102554903,-0.00137710141314414,-0.0124719723226424,0.0118695860919024,0.237266759187619,0,0,0,0,0
X000630.SZ,0,0,0,0,0.0227712674271016,0,0,0,0,0,0.461192975788262,0.0466283368182358,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806967600788165,0.068241586556649,0,0,0,0.0309917033583887,0,-0.0363232706833018,0,0,0,-0.02555908769226,0.0134945598058982,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.19341160031151,0.034193146194912,0.0812466574347575,0,0,0,0,-0.113491138590444,0,0,0.0701260118803982,0,0,0,0,0,0,0,0,0.0335418661902404,0,0.093313796049169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098690253003837,0.0992120405313334,0,-0.0258689824322578,0,0,0,0.00286234438329781,0.00271714048989674,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236323159838601,0,0,0,0,0,0,0,0,0,0.0371529177893314,0,0.0961471495885483,0,0.132578014764108,0,0,0,0,0,0,0,0,0.0556869767909712,0.0460943371685325,0,0,0,0,0,-0.0293586584097744,0.165253623940823,0,0.0562045464071634,0.0279588929432931,-0.00732924735297826,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0954857778362612,0,0,0,0.00294470648109565,0,0,0.0501190127650998,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111180122275168,0.0671997979065972,-0.0659319675458643,0,0,0.200204003990975,0.134928328681305,0,0.00301394351877032,0.00143378665390476,0,0,0,0,0,0
X600352.SH,0,0,-0.00903368927034493,0,0,0,0,0,1.73472347597681e-18,0,0.100476029773822,0,0,0,-0.0389046579557151,0.0256103658925145,-0.0124606962796618,0,0,0,0,-0.0802313589084315,0,0,0,0,0,0.175470095697343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0158243338715047,0,0,0,0.00144626441402118,-0.00112270782251179,0.115410169073928,0,0,0,0,0
X000408.SZ,0,-0.0670938741221839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350125294799815,0,0,0,0,0,0,0,0.112070327104302,0,0,0,0,0.158444163983091,0,0,0,0,0,-0.0277015681928132,0,0,0,0.0147840082548291,0,0.0173598690828474,0,0,0,0,0.0335683271644807,0,-0.0662841602084228,0.0231851346929298,-0.0202685007764429,0,0,0,0,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0.0297388332679908,0,0,0,-0.0106469442873382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212263534945484,0,0,0,0,0,0,0,0,0.031175968452198,0.0488308638916262,0,0.108963230510396,0.00392974719276539,0,0,0,0,0.179663004504599,0,0,1.33950381575439e-05,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0.0907639080226891,0.0367601576368269,0,0,0,0.0224521098530574,0,0.0648081023002581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224619312248064,0,0,0,0,0,0.10384902776451,0,0,0,0.00593922415754908,0,0.0950202186779919,0,0.146376493811295,0,0,0.00900508683513302,-0.00416059844240606,0,0,0,0,0,0
X600098.SH,0.0619060353137631,0,0,0,0,0.108600597359329,0.0395478379051272,0,0,0,0,0,0,0,0,0,0,0.279993308054202,0,0,0,0.236447822184995,0,0,0,0,0,0,-0.0113476860855786,0.0567028506816618,-0.0640811417031997,0,0,0,0,0,0,0,0,0,0,0,0,0.00607137478612529,0,0,0.12606361446019,0,0,0.0378918908064131,0.0398484417695674,-0.0276896601928768,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0373775067762945,0.0297010065277973,0,0,0,0,0,0,0,0,0,0.102425901296992,0,0.0082600080739334,0,0.169480202688581,0,0.0262674486607828,0,0,0,0,0,0,0,0,0,0.566809440942097,-0.0605165092055411,0.0328856333303161,0,0.0319695768817722,0.121125292645729,0,0,-0.0398571163234552,0.0176505547524295,0.0960791927194443,0,0,0,0,0
X000825.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0464476187859418,0,0.228432655536544,0,0,0,0,0,0.146083464469848,0,0,0,0,0.0769807528081738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120760793208061,0,0,0.22247710755129,0.142636437155296,0.300810294867578,0,-0.0111059528750612,-0.0127050040985968,0.0392908718270021,0,0,0,0,0
X000539.SZ,0,0.0852848110863998,0,0,0,0,0,0,0,0,0,0,0,0,0.00118667137353276,0,0.011435296053778,0,0,0,0,0.115854711071606,0,0,0,0.0389668294509696,0.0468377781655331,0,0.0321195961216833,0,0,0,0,0,0,0,0,0,0,0.0922227234601509,-0.0228709676515554,0,0,0,0.0316146177501079,0,0,0.106601856409984,0,0,-0.00154143542404588,-0.000480514057194232,0,0,0,0,0,0
X601699.SH,0,0.0470362140379667,0.193870067944653,0,0,0,0,0,0.14654330765979,0,0,0,0.0270234748226317,0,0,0,0.16516981368534,0,0,0,0,0,-0.0552935583170871,0,0,-0.146743655093677,-0.0972313372608619,0,0,0,0,0,0,0.0647710101194407,0,0,0,0,0,0.801329242708767,0,0,0,0,-0.0844652416252405,0,0,0,0,0,0.0154104540913832,-0.0140631283589058,0,0,0,0,0,0
X002092.SZ,0,0,0,0,0,-0.0743200648471611,0,0,0.14318187189159,0.0191700377254444,0,0,0,0,0,0,0,0.263816449454565,0,0.142436479458517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234561382077328,0,0,0,0.102385569964018,0,0,0,0.0635902965138325,0,0,0.564471959027243,0,0,-0.0380771641970942,-4.33680868994202e-19,0,0,0,0.175837411648355,0,0
X600021.SH,0,0.016620376919615,0,0,0.21523958691716,0,0,0,0,0.39066041254701,-0.0412213322301563,0,0,-0.250781636172748,0,0.0653441986515141,0,0,0,0,0,0,0,0.215979264699168,0,-0.0800204667558679,0.16473416589909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403030680391505,-0.00063223897469509,-0.00399682748039651,0,0,0,0,0,0
X000027.SZ,0,0,0,0,0,0,0,0,0,0.0571981387638694,0,0,0,0,0.0548341095581785,0,0,0,0,0,0,0,0,0,0,0,0.00932004990903427,0,0.0774246979440464,0,0.081387409356651,0,0.28692655959391,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0.0131228021708038,0,0,0,0.104424095191981,0,0,0.000978141035515653,0.00171900268402828,0,0,0,0,0,0
X000723.SZ,0,0,0,0,0,-0.222681304512284,0,0,-1.06395394272109,0.211679599990499,0.616465342708089,0.340564237016149,0,0,0,0.0703213279075009,0,0,0,0,0,0,0,-0.177553963043131,0,0,0,0,0.250221829193204,0,0.176378705831569,0,0,0,0,-0.393948696675156,0,0,0,0,0.26283709116856,0,0,0,0.2059428111132,0,0,0,0,-0.156802646689888,0.0569207773754636,-0.0338091689670608,0,0,0,0,0,0
X600623.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.390878613807983,0,0,0,0,0,0,0,0.731120749466927,0.160593793908978,0,0.33811398488338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.184052562557361,0,0.112296595793243,0,0,0,-0.0292788845767569,0.0138869166246392,0,0,0,0,0,0
X600808.SH,0,0,0,0,0,0,0,0,0,0,0.079025977246956,0,0,0,0,0,0,0,0.00289437747336978,0,0,0,0,0.184161895391814,0.0433249480959505,0.0266059263295596,0,0,0,0,0,0,0,0.0294350528946084,0,0,0,0,-0.0816584747848817,0.0210837181824852,0.128457174143858,0,-2.16840434497101e-19,0.0221231216125072,0,0,0.0811025478013725,0,0,0.0346981460626361,0,-0.0048709165442341,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0.140061054205081,-0.0204483899372216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.0506091294322333,0,0,0,0.0104738116996264,0,0,0,0,0,0,0,-0.093032222518034,0,0.286953412496678,0,0,-0.375860218547608,0,0,0,0,-3.46944695195361e-18,0,0.0718252443409632,-5.42101086242752e-20,0,0,0,0,0,0
Slope,0,0.838117311840226,0,0,0,0,0,0,2.4791073750043,0,0,0,0,-0.39114226800463,0,0,-0.0672842018168041,0,0,0,0,0,0,0,-0.955876641141994,0,0,0,0,0,0,0.346014177073042,0,0,0,0,0,0,0,0,0.0402141348358729,0,0.560333549020487,0.324446531984188,0,0,0,0,-2.00262230977575,2.26500048027787,0,0.395806796852983,0,0,0,0,0,0
TED,0,0,0,1.62323801270582,1.03224930137317,0,0,0,0,0,0,0,0,0,0,-1.13702824144975,0,0,0,0,0,0,0,0.389656635537302,0,0,0,0,-1.29997888636434,0,0,-2.67469590168877,0,0,0,0,0,0,0,0,0,0,0,0.133395929141866,0,0,0,-0.0015092700907573,0,-1.04152258359509,1.22989039069537,0,-0.744869284370678,0,0,8.42716529947346,0,0
RealEstate_excess,0,0,0,0.260591151419114,0,0,0,0,0,-0.11322119212701,0.0906718013267106,0,0,0,0,0,0,0,0,0,0,0,-0.0782640070056107,0,0,0,0.0886793079698532,0,0,0,0,0,0,0,0.227566607740684,0,0,0,0.0968741846300228,0.141948852639805,-0.105387693680569,0,0,0,0,0,0.00494332780026244,0,0,0.00530485793681523,0,-0.0119999791988393,0,0.493462907127453,0,0,0,0
MKreturn,0,0,0,0,0,0,0,0,0,-0.0385620487092902,0,0.0147844753357972,0,0,0,0.0120905185043008,0,-0.0553764964633464,0,0,0,0,-0.0189808662127195,0,-0.0445877684405821,0.114269751283841,0,0,-0.0391114753728939,0,0,-0.0296537754469798,0,0,0,0,0,0,0,0,0,0,0,-0.0109100445331381,-0.0813983986804144,0,-0.0659303611696613,0,0,0,-0.00933915068111394,0.00936280727497222,0.0814591703355888,0,0,0,0,0
MKvol,0,-0.000678564113533668,0,0,0,0,0,0,0,0,0.00109771512313462,0,0,0,0,0,6.2478444742025e-05,0,0.000196512890079772,0,0,0.000459838551677869,0,0,0,0,0.00046653729092635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35525271560688e-20,-0.00155257450156079,0,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,0,0,-0.038921442700318,0,0,0,0,0,0.0458751471128726,0,0,-0.141336944947507,0,0,0,0,0,0,0,0.0119460425765423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269660637723203,0,-0.0363967139281717,0.0686274972018948,0.0534280187049131,0,-0.0404198450951259,0,0,0.0179920846262929,-0.0557777765384886,0.0367929562027576,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0,0,0.00564398787351686,0,0,-0.028199287823853,0,0,0,-0.00905593894390422,0,0,0,-0.0120286668922268,0,0,0,0,0,0,0,0,0,-0.00481077325663289,0,0,0.0101579339340625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00430797114174664,0.0123205920585647,-0.011897198705522,0.00406197773128869,0,0,-0.0225878368029591,0,0
CarbonVol_Hubei,0,0,0,0,0,0.0193127335547145,0,0,-0.015683438622656,0,0,0,0,0,0,0,0.00888386117665704,0,0.013080417891531,0,0,0,-0.00511965624628562,-0.0148854313511249,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000582733190805318,0,0,0,0,0,0.00837589066235694,0,0,0.013367949923496,0.00448343567148517,0,0,-0.00710454176895919,0.00314552889435008,0,0,0,0.114274547792056,0,0
