,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601898.SH,X600309.SH,X601600.SH,X600688.SH,X600795.SH,X600188.SH,X601992.SH,X600362.SH,X002466.SZ,X600660.SH,X600547.SH,X601991.SH,X300072.SZ,X600886.SH,X600111.SH,X000709.SZ,X600157.SH,X600027.SH,X000898.SZ,X600339.SH,X000959.SZ,X002460.SZ,X600516.SH,X600489.SH,X600808.SH,X601158.SH,X600352.SH,X600219.SH,X000723.SZ,X000983.SZ,X002271.SZ,X000883.SZ,X000630.SZ,X600176.SH,X600299.SH,X002092.SZ,X600578.SH,X600549.SH,X000408.SZ,X000539.SZ,X000792.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.167537273020877,0,0,0,0,0,0,0,0.152650815017622,0,0,0,0,0,0,0,-0.0533531036932383,0,0,0,0,0,0,0,0.017931040377199,-0.00646927272105764,0,-0.00279179291384869,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504002109875182,0,0.00640109465306607,0,0,0,0,0,-0.010167303536011,-0.0118933059787437,0,0,0,0,0,0
X600028.SH,0,0,0,0.00499461660538179,0.111030612082177,0,0,0,0,0,0,0,0.0432544604281497,0,0,0,0,-0.119881608674564,0,-0.0794709682023854,0,0,0,0,0,0.0223943437178702,-0.0315786151705301,0,0,0,-0.111689836176668,0.03011528121972,0,0,0,-0.0161121758178317,0,0.0306318379097112,0,0,0,0,0,0,0,0,0,0,-0.0398401379843187,0,0,-0.00265321715865559,-0.12992896960668,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0363837676520171,0,0,0,0,0.0198878385057283,0,0,0.0207197539950734,-0.00517185876985077,0,0,0,-0.0280222934473168,0,0,0.0565942758134073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957241285497584,-0.00971651668748371,0,0,0,0,-0.00790982282000894,-0.00682037063973577,0,0,0,0.0376162474591461,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0521644521987527,0,0.0248369319437748,0,0,0,0,0,0,0,0,0,0,0.377993600205835,0.0260408524347082,0,0,-0.0886720183616065,0,0.373554476773633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103011968425973,0.0123715631842002,0,0,0,0,0,0
X600585.SH,0,0.0101999139390331,0,0.243268599715041,0,0,0,0,0.11460302447816,0,0,0,-0.111345706864651,0,0,0,0.19262874322421,0,-0.0858049877940044,0,0.615788105992993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932318773204611,0,0,0,0,0,0,0,0,0.12644214991085,0,0,0,0,0.00994008297554008,-0.0146977473057928,0,0,0,0,0,0
X600010.SH,0,0,0,0,0.0636090363445281,0,0,0,-0.0547963992942416,0.0873663644633725,0,0,0,0.0517699438050644,0,0,-0.0849166459802966,0,0,0.0433727870468325,0,0.0692282437709923,0.103788993280066,0,0,0.157379565623119,0,0,0,0,0,0,0,0,0,0,0.0100657360089051,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00853594449043248,-0.0162729595577681,0,0,0,-0.0389733770186396,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153401498671348,0.377567521000835,-0.0352041860795126,0,0,0.0308815044161336,0,0.228200682462207,0,0.110886496085489,0,0.037469026868803,0,0,-0.140480104296661,0,0,0,0,0,0,0,0,0.11819656534741,0,0,0.00628973716372687,0,-0.0492502403672568,0,0,0,0,0.020637534044509,0,0,0,0,0.0668967346008803,0,0
X601898.SH,0,0,0,0.166462886712649,0,0,0,0,0,0.138337745948854,0,0,0.11607669053154,0,0,0,0,0,0,0,0,0,0,0,0,0.271026487476803,0,0,0,1.73472347597681e-18,0,0.0250104049624528,0,0,0,0,0.11454016732428,0,0,0,0.00668907507951204,0,0,0.185126609566894,0,0,0,-0.0401266366363529,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,-0.028116514463202,0,0,0.413683736404106,0.0291122831603628,0,0,0.23746382134606,0,0,0.182083170474857,0,-0.0698631840074195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112900480393505,0,0,0.0914622885924277,0,0,0,-0.00738053711254005,-0.0634006900491924,0,0,0,0,0,0
X601600.SH,0,0,0,0.00348265687982834,0,0.180987864407257,0,0,0,0,0,0,0,0.00443631415124023,0,0,0,0,0,-0.0540181513649296,0,0,0,0,0.275822240131134,0,0.0913261487180009,0.13103962572929,0,0,0,0.0851854145866321,0,0,0,0,0.171404840500593,0,0,0,0,0,0,0,0.127748251455232,0,0,0,0,0,-0.0157505508351123,-0.0158749259679853,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.166503653401519,0,0,0,0,0,0,0,-0.043029701154269,-0.0114768314111745,0,0,0,-0.0524375343344625,0,-0.0205770980655182,0,0,0,0,0,0,-0.0339034623945551,0,0,-0.0203549902646333,0,0,0,0,0,0,0,0.0642923839450285,0,0,0,0,0,0,0.0555560726752391,0,0,0,0,0,-0.00975500802905938,-0.0277174766593916,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.0152200658181115,0,0,0,0,0,0,0,0,0.062559160671522,0,0,0,0,0,0,0.0521552280844851,0,-0.0189330309232661,0.0703764307140767,-0.0132573803448968,0,0,0,0,0,0,0,0.0287708948261991,0,0,0,-0.0100200399045415,0,0,0,0,-0.0588286265660959,0.159416809987856,0,0,0,-0.0088189988396868,-0.00296812821846355,-0.0685457292361434,0,0,0,0,0
