,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X600010.SH,X601600.SH,X601991.SH,X600795.SH,X600886.SH,X600188.SH,X600111.SH,X600362.SH,X600027.SH,X601992.SH,X600309.SH,X600688.SH,X600583.SH,X600352.SH,X601158.SH,X600547.SH,X000898.SZ,X600489.SH,X000792.SZ,X000709.SZ,X000831.SZ,X002353.SZ,X000883.SZ,X000539.SZ,X600008.SH,X000027.SZ,X000629.SZ,X000630.SZ,X600549.SH,X000825.SZ,X600660.SH,X600808.SH,X600315.SH,X601699.SH,X600578.SH,X000983.SZ,X002470.SZ,X600307.SH,X600863.SH,X600098.SH,X000937.SZ,X000959.SZ,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.38696797626221,0,0,0,0,0,0,0,0.0203010059968295,0,0.120266450341982,0.122455007935043,0,0,0,0.114107760947853,0,0,0,0,0,0,0,0,0,0,0.0639800333763019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519743228307315,0,0,0,0,0,0.0186246288147818,0,0,-0.0340389243618056,0,0,0,0,0,0,0
X600028.SH,0.275082576389621,0,0,0,0,0,0,0,0.113280013183261,0,0,0,0,0,0,0,0,0,0.376771404964441,0,0,0,0,0,0.0518527532564137,0,0.0618322297372086,0,0,0,0,0,0.00606050194186547,0,0,0.0929489218585856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501644056140508,0,0,0,0,0,0,0
X601088.SH,0,0.144690225322218,0,0,0,0.0946356946944285,0.0994663526269302,0,0,0,0,0,0.0482505917596635,0,0,0,0.0262561905041389,0.0797342679714607,0,0,0,-0.0148072413619104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129855093540606,0.00271546202100788,0,0,1.73472347597681e-18,0.387669408399036,0,0,0,0,0.0373810837475717,0,0,0,0,-0.00264672883852875,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0532939078450997,0,0,0,0.0929751811059225,0,0.276615617255583,0.109462440833882,0,0,0.108307803216064,0,0,0.046880221970987,0.0267749284141907,0,0,0,0,0,0,0.0707219580037195,0,0,-0.175382390534024,0,0,0.052036494705789,0,0,0,0,0,0,0,0,0,0,0,0.0164206936737617,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.127854279116313,0.0575932684179485,0,0,0,0,0.0558668774693446,0,0.123293086842752,0.00778446307929141,0,0,0,0,0,0,0.00130456649720018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276219267722336,0,0,0,0,0,0,0,0,0.197492512873102,0,0,0,0,0,-0.00215104982532036,0,0,0,0,0,0
X600019.SH,0,0.034525357660827,0,0.136759250205926,0,0,0,0.00692496292524865,0,0,0,0,0,0,0,0,0,0,0,0,-0.00159746084860561,0,0,0.542538677765487,0,0,0.118962197298859,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0292691483130764,0.0609882743888725,0,0,0,0.0114994244166888,0,0,-0.051753392595141,-0.0162883115309811,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.108362954094378,0.100901900257462,0,0,0,0,0.0641686594754574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0900809843956048,0,0,0.000519333259038742,0,0,0,0.238447450157301,0,0.274554987793073,0,0,0,0,0,0,0.0615018551706148,0,0.00323049549180761,-0.00247172793445038,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0573871968060504,0,0,0,0,0,0,0,0,0,0.551696600847954,0,0.168223260156741,0,0,0,-0.242073733856582,0,0,0,0,0,0.0286476243186814,0.0415808757501367,0,-0.0244297205854969,0,0,0,0,0,0,0,0.0197985399770926,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.249626246958199,0,0,0.164050438351322,0.0902614116834908,0,0,0,0.244049030267742,0.0858165414146965,0,0,0,0,0,0,0,0,0.0663958138150542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140895213672462,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0244638621693093,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.102293662865759,0,0.242215132168624,0,0,0.136708700718637,0,0,0,0.0665423913781178,0,0,0.0230003611620104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830546767925738,0,0,0,0,0,0,0,0,0.00163240205902692,0,0,0,0,0,0,0,0,0,0,-0.0325821332743492,0,0,0,0,0,0
X600795.SH,0,0.0731992743602553,0,0.0884143902960801,0,0,0,0,0.0884723570249119,0,0,0.382040844050785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852006153262595,0,0,0,0,0,0,0,0,0.00823861237311746,0,0.0445687118596899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0214344597154461,0,0,0,0,0,0
X600886.SH,0,0,0,0.124031172197722,0,0,0,0.0172692843736743,0,0,0.0725487820712156,0,0,0,0,0,0,0.0770944468901562,0,0.0283897562659189,0,0,-0.0385033337251584,0,0,0,0,0,0,0,0,0.14183360985828,0,0,0,0,0.0525984241230241,0,-6.93889390390723e-18,0,0,0.152748993392354,0,0,0,0.125207451894818,0,0,0,0,0,0,-0.0119278196005809,0,0,0,0,0,0
