,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X601898.SH,X002466.SZ,X600111.SH,X002271.SZ,X600011.SH,X000877.SZ,X600660.SH,X000708.SZ,X600010.SH,X000301.SZ,X600547.SH,X601600.SH,X600886.SH,X600426.SH,X600176.SH,X600362.SH,X600795.SH,X000983.SZ,X000786.SZ,X600096.SH,X000723.SZ,X600803.SH,X000408.SZ,X601991.SH,X600801.SH,X600486.SH,X601699.SH,X600219.SH,X600141.SH,X000932.SZ,X600295.SH,X000807.SZ,X600027.SH,X002080.SZ,X000830.SZ,X600985.SH,X300073.SZ,X600157.SH,X000630.SZ,X600688.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0930906142647348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079053781790232,0,0,0,0,0,0,0.102682763404437,0,0.0810691998789757,0,0.081153828240876,0.0716810139125222,0.0306773104875704,0,0,0,0,0,0,0,0,0,0.140617975017479,0,0,-0.0401724793589727,0,0,0,0,0,0
X601088.SH,0.166028364778595,0,0,0,0,0.247881129549204,0,0,0,0.260672274834585,0,0,0,0,0,-0.0722049975611403,0,0,0,0,0,0,0,0,0,0.00646896336331406,0,0,0,-0.10041078326895,0,0,0,0,0,0,0,0,0,0,0,0.0883708143153791,0,0,0.132526450452035,-0.0268646769984584,0,0,0,0,0,0.0446262883993917,0,0,0,0,0,0,0
X600028.SH,0.0760235478974628,0,0,0,0,0,0,0,0,0.0425002864535596,0,0,0,-0.0693141074702076,0,0,0,0,0.0276216081274225,0,0.0601457294348669,0,0.0581648430478692,0,0,0,0,0,0.0063710246164133,0,0,0,0,0,0,0,0.031698560201301,0,0,0.0145708486022756,0.0287396288964017,0,0,0,0,0,0,0,0,0,0,0,-0.0169271747161011,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0286936749619258,0,0,0.0263253233211873,0.181878923657174,0.0912670318349287,0.174460740771707,0,0,0,0,0,0,0,0,0,0,0,0.0690231856313578,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.0175194203059751,0.0104583844566518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0725082937570085,0,-0.0209350437178412,0.0117098338460888,0,0,-3.46944695195361e-18,0,0,0.0514160258597742,0,0,0,0,0,0,0,0,0,0,0.0671529567221411,0,0,0,0,0,0.0200905401754755,0,0,0,0.357970445884605,0,0,0,0,0,0,0,0.0453831397565884,0,0,0,0,0,0,0,0,0,-0.024459887472904,0.00547469231892408,0,0,0,0,0,0
X600188.SH,0,0.302039757359426,0,0,0,0,0,0,0,0,0.103057281503172,0,0,-0.0521583500708353,0,0,0,0,0,0,0,0,0,0,0,0,0.0459465076764588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109683911342798,0,0,0,0.599486120909556,0,0,0,0,0,0,0.0849090625815573,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0465694061808164,0,0,0.528499928924421,0.263657132223565,0,0.0457776611027011,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256640488016521,-0.0671457909736382,0,0,0,0,0,0,0.0304366052197664,0,0,0,0,0.00923453481557001,0,0,0,0,0.0806046967137257,0,0,0,0,0,-0.0956601549151275,0.0429495649640163,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.00923794075811351,0.529572192998573,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06012313804602,0,0.0166907335442503,0.0194883647208994,0,0,0,0,0,0.263918773267108,-0.0209081711583787,0,0,0,0,0,0,0,0,0.20156795276631,0,0,0,0.0352094664185176,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456119492334922,0,0,0,0,0,0,0,0,0,0,0,0,0.0321131156497607,0.0273033165561623,0,0,0,0,0,0.00421416313792577,-0.0975520687260628,0,0,0,0.552190378552166,0,-0.00632772738746411,0,0,0.0440641652043236,0.0826591111944607,0,0,0,0,0,0,-0.00717960002990975,-0.016409480889972,0,0,0,0,0,0
X601898.SH,0,0.0840814782248523,0,0.0439095739415514,0,0,0,0,0,0,0,0,0,-0.0510654347824509,0,0,0,0,0,0.121597249267084,0,0,0,0,0,0,0.231799214261799,0,0,0,0,0,0,4.33680868994202e-19,0,0.00966130665592323,0,0,0,0,0,0,0,0,0.228821125832117,0,0,0.157158791567733,0,0.0498916013607177,0,-0.00758897820725223,-0.0354150328719492,0,0,0,0,0,0
X002466.SZ,-0.0247002469941741,-0.0988977242498534,0,0,0,-0.0420412858904128,0.807629303396038,0,0,0,0,0,-0.0655572282295551,0,0,0,0,0,0,0,0,0,0,0,0,0.0771111472544457,0.13435999983474,0,0.00960963242865211,0,0,0,0,0,0.12452135554987,-1.73472347597681e-18,0,0.0169631906022747,0,0,0,0,0,-0.0337657263859738,0,0,0,0,0,0,0,0,0.00807650108115828,0,0,0,0,0,0
X600111.SH,0,-0.109651560479906,0,0,0,0,0.321839574485159,0,0,0,0,0,0,0,0,0.00389901565909029,0,0.38957615136476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495729239698202,0.127905850114193,0,0.0975529422574562,0,0,0.0689287486425126,0,0,0,0,0,0,0.0481153857289171,0,0,0,0,0,0
X002271.SZ,0.13553743116568,0,0,-0.133275756188367,0,0.0792953767336805,0,-0.27336532220004,0,-0.035893948767651,0,0,0,0,0.0771793864999103,0.255937042640718,0,0,0.0423682485807057,0,0,0,0,0,0,0,0,0.668901431558417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0882433362928667,0,0,0.151696435567016,0,0,0,0,0.135021205547717,0,-8.67361737988404e-19,0.0587520585066718,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.145205660479653,0,0,0,0,0,0,0,0,0,0,0,0,0.255383802301468,0,0,0,-0.118770556051224,0,0,0,0,-0.165114548041517,-0.0308397903747134,0,-0.0758385271073219,0,0,0,0.354238532560805,0,0,0,0.363354711059679,0,0.0649292603261138,0,0,-0.120385012625447,0.0839055572801455,-0.0400033505227614,0,0,0,0,0,0
X000877.SZ,0,0,0,0.0442396548992121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439344716232272,0,0,0,0,0.0594271515790086,0,0,-0.0579703692290241,0,0.0408728759980192,0,0,0,0.148161855486938,0.147746600619757,0,0,0,0,0.242808420668277,0,0,0.0198729401362931,0,0,0,0,0,0,0,0,0,0.0686342309421522,-0.000552361096039284,0,0,0,0,0,0
