,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600010.SH,X600362.SH,X600111.SH,X600027.SH,X600309.SH,X600688.SH,X601992.SH,X600583.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X600489.SH,X000539.SZ,X000883.SZ,X600547.SH,X600352.SH,X000629.SZ,X000630.SZ,X000831.SZ,X000027.SZ,X000825.SZ,X600808.SH,X002353.SZ,X600549.SH,X600578.SH,X601699.SH,X000983.SZ,X600008.SH,X600863.SH,X600307.SH,X600660.SH,X600315.SH,X600098.SH,X000937.SZ,X600348.SH,X601168.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.595720455082547,0.0479253947131459,0,0,0,0,0,0,0,0,0.0388335702651875,0,0,0,0,0,0,0.109131378203473,0,0,0,0,0,0.0186176153330701,0,0,0,-0.124987404256497,0,0.0254136831188096,0,0,0,0,0,0,0,0,0,0,0,-0.00793873978525794,0,0,0,0.0397943124921061,0,0,0,0,-0.0337640202398808,0.0027529743885882,0.00262311622469372,0,0,0,0,0
X600028.SH,0.505166347099955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328785392954405,0,0,0,0,0,0,0,0,0,0,0,0,0.0707996287058119,0,0,-0.0262447329280374,0,0.0073930015736541,0,0,0,0,0.0507176325809682,-0.0546003576566659,0,0,0,0,0,0,0,0,0,-0.0310475158755236,0.00204259234836885,0,0,0,0,0,0
X601088.SH,0,0.0716478640776662,0,0,0,0.071304171494413,0.0740639712587196,-0.0536261591881591,0,0,0,0.183923117725404,0,0.0488990892456641,0,0,0,0,0.0981083859971463,0,0,-0.0610513469979286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133347300751691,0,0.113995764853197,0,0,0,0,0,0,0,0,0,0,0,-0.0296878197091702,0.00178188920187046,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0754259098969391,0,0,0,0,0.327392106270477,0.0917091106927377,0,0,0,0.0685347211783834,0,0,0,0,0,0,0,0,0,0,-0.229591414644815,0,0,0,0.0426837274609452,0,0.0432994978394554,0,0,0,0,0,0,0.0744531678805477,0,0,0,0,0,0,0.0756322811181932,0,0,0,0,0,-0.00554814931781597,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.118556022225807,0.0639307853401395,0,0,0,0,0.00546999023978076,0,0,-0.0666807026270869,0,0,0,0,0,0,0,0,0,0.0114800133111056,0,-0.0351678067841146,0,0,0.0557522573450129,0,0,0,0,0,0,0.0793087106259735,0,0,0,0,0.0817685176309265,0,0,-0.0531616941605632,-0.00932859527981816,0,0,0,0,0,0
X600019.SH,0,0.0514184093261904,0.0792335034792758,0.0524902890415023,0,0,0,0,0,0.0310119991973541,0.123154017658718,0,0,0,0,0,0,0,0,0.081186686082003,0.354266496750919,0,0.138409498248386,0,0,0,0,0,0,0,0,0,0.0386919037324307,-0.0308327015860285,0,0,0,0,0,0,-0.0350014206919338,0,0,0,0,-0.0559544048729675,0.0354432037045179,0,0,0,0,-0.0117127913147917,-0.00987129854002426,-0.104512505307699,0,0,0,0,0
X601898.SH,0,0,0.183267692933599,0,0,0,0,0.0181722490635417,0.189517013762529,0,0,0.0116262159920752,0,0.0237757229324568,0,0.0137994782205736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0657556011459848,-0.0443692273507382,0,0.0570049562849721,0,0,0,0,0.363337410821986,0,0,0,0,0,0,0,0,0,0,0,-0.0112733243104833,-0.0260546183449335,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0999189657935311,0.0141150792476526,0,0.00913854802070421,0,0,0,0.0790918470227592,0,0.122047998462239,0,0.0562193457622399,0,0,0,0,0,0,0.0267106921544684,0,0,0.0779328217069063,0,0,0,0,0,0,0,0.112707080170779,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0181767592088479,-0.0226573297229031,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.208187688327543,0.27797163355576,0,0,0,0,0,0.298200618788795,0,0,0,0,0,0.0178088449433061,0.03040521535563,0,0,0,0,0,-0.0105389980259122,0,0,0.00264108454435258,0,0,0,0.0383015113313852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114388630394024,-0.00204132689522491,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.18413605516998,0,0,0,0,0.183482618733378,0.00230120330169766,0,0,0,0,0,0.0450587454796911,0,0,0,-0.0072674926186259,0,0,0,0,0,0,0,0,0.131538032199618,0,0,0,0,0,0.00120386560935836,0,0,0,0,0,0,0,0,0,0,-0.011176908315016,0,0,0,0,0,0
