,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601600.SH,X600795.SH,X601898.SH,X600010.SH,X601991.SH,X600886.SH,X600362.SH,X600188.SH,X600111.SH,X600027.SH,X600688.SH,X600157.SH,X600583.SH,X601992.SH,X000709.SZ,X600309.SH,X000898.SZ,X601158.SH,X600352.SH,X600808.SH,X000792.SZ,X000629.SZ,X000825.SZ,X600547.SH,X000060.SZ,X000539.SZ,X600021.SH,X600489.SH,X600660.SH,X000027.SZ,X002353.SZ,X000831.SZ,X600008.SH,X600219.SH,X600578.SH,X600307.SH,X600549.SH,X600863.SH,X600022.SH,X601699.SH,X002470.SZ,X600315.SH,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.54017815625605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388906724036402,0,0,0,0,0.123394448615359,0,0.0142830225066605,0.0122679667100348,0,0,0,0,0,0,0.124821794929618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.34220931399814,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.00110133229936025,0,0,0.0697587334009191,0,0.273859819128959,0,0.0912028753861688,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0183607493458174,0.0444803763495103,0.0459248070227544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.042268167845795,0.340013397053779,0.0406180815370111,0,0.221081393092948,0,0,0,0,0.112301639680261,0,0,0,0,0.00183813224160672,0,0,0.0362494781328175,0.0117187650167287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110586289158528,0,0,0,0,0.0120434889935396,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.150500491196354,0,0.174786940521383,0,0,0,0,0,0.515247142066459,0,0,0,0,0,0,0,0.0574574464459112,0,0,0,0,0,0,0,0,-0.0199120273805456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205269096806457,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0490445641621722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204631244240564,0,0.204936638216507,0,0,0,0,0,0.0843298407470584,0,0,0.0327670071505185,0.0526255450554857,0,0,0,0,0,0,0,0,0,0,0,0,0.119873982292822,0,0,0,0,0.0199914644738603,0,0,0,0,0,0,0
X600585.SH,0,0,0.181089028177837,0,0,0,0,0,0,0,0.0188528146918422,0,0,0,0,0,0,0,0.233102162709504,0,0,0.275115200940779,0,0,-0.00599867865955079,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0846378185141066,0,0,0,0.0238832420971947,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0.10635706405378,0,0,0,0,-0.0637365698321997,0.0672475593631625,0.0134079368246334,0,0,0.436010907785803,0.118908115384026,0,0,0,0,0,0,0,0,0,0.0339682311107855,0,0.0793288815419809,0,0,0,0,0,0,0,0,0,0,0,0.0905402466118124,0,0,0.0867878917186728,0,0,0,0,0,0,0,-0.0105457057383383,0.0531512167005449,0,0,0,0,0,0
X600795.SH,0.0197042451343703,0,0,0,0,0,0.0167775966029545,0,0,0.0420934278735049,0.225511294618612,0.197978440810164,0,0,0,6.7762635780344e-21,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.10249804862428,0,0,0,0.00862872649260429,0,0,0.0679227255705498,0,0,0,0,0,0,0.0797201008577009,0,0,0,0.18633486588123,0,0,0,0,0,0,0.00813587939670622,0,0,0,0,0,0,0
X601898.SH,0,0,0.18041786176565,0,0,0,0.132509144955948,0,0,0.0942117326870732,0,0.0288037808117362,0,0.111320220348303,0,0,0,0,0.0587514329560183,0,0.151260228654397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434389919719611,0,0,0,0,0,0.0648031057503499,0,0,0,0,0,0,0,0,0,0.0439449775158879,0,0,0,0,0,0
X600010.SH,0,0,0,0.246399813175459,0,0,0,0,0,0,0,0,0,0.145370008068139,0,0,0,0,0,0,0.0900110100198287,0,0,0,-0.109258464651094,0,0,0,0,0.23077287934052,0,0,-0.109032549336526,0,0.121109531042989,0.107942168269065,0,0.123438514044916,0,0,0,0,0,0,0,0,0,0.0345072854053388,0.0977296775776058,0,0,0.111480166077873,-0.0465843456617671,0,0,0,0,0
