,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X000792.SZ,X600111.SH,X600019.SH,X002466.SZ,X600011.SH,X600010.SH,X002271.SZ,X000877.SZ,X600660.SH,X600188.SH,X601600.SH,X000301.SZ,X000708.SZ,X601898.SH,X600547.SH,X600886.SH,X600362.SH,X000723.SZ,X000408.SZ,X600176.SH,X600426.SH,X601991.SH,X000786.SZ,X002080.SZ,X600219.SH,X600803.SH,X600795.SH,X600027.SH,X300037.SZ,X600399.SH,X600688.SH,X002326.SZ,X300073.SZ,X600141.SH,X600516.SH,X600486.SH,X600157.SH,X600352.SH,X600801.SH,X600378.SH,X000825.SZ,X600489.SH,X000959.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.579056278958453,0,0,0,0.0148196738803999,0.0446867768540076,0,0,0,0,0.00839258368232537,0,0,0,0.0017364431080259,0,0.0618456901727118,0,0.0342523293988994,0,0,0,0.0127378703266601,0,0,0.00336473481983014,0,0,0.00147631057194418,0,0.0612512445552868,0,0.109380185421628,0,0,0,0,0,0,0.0766220761276716,0,0.0269970713782035,0,0,0,0,0,0,0,0,-0.00965690460877398,0,0,0,0,-0.0724603458627895,0,0
X600028.SH,0.20444245756621,0,0,0,0,0,0,0,0.0623607403633144,-0.00168134579022965,0.00615060579298542,0,0,0,0,0.045915016852947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147849681018092,0,0,0,0.0371701710863181,0,0,-0.0136404841888234,0,0,0,0.019297146367238,0,0.0445026478505434,0,0,0,0,0,0,-0.0396114264083485,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0101205634613779,0,0,0.150526432215941,0.097735844912147,0,0,0,0,0.325631220940103,0,0,0,0,0,0,0,0.122505620517581,0,0,0,-0.127239043707525,0,0.0334527619331287,0,0,0,0,0,0,0.0596870105944978,0,0,0.0343441600436453,0,0,0,0,0,0.0837740755893167,0,0,0,0,0,-0.0131255179352045,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0197236319541411,0,0,0,-0.0947455406500312,0.141313143045729,0.0628735642675909,0,0.0912540477780386,0.0377069377252011,0,0,0,0,0,0,0,0,0,0,0,0,0.0527722522089603,0.141094746084096,0,0,0,0,0,0,0,-0.0792545438380598,0,-0.00900854116707512,-0.0458720086217814,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,-0.0047772571867934,0,0
X600585.SH,0,0,0,0,0,0.010952862160443,0,0,0,0.0325634942043369,0,0,0,0.11172161814005,0,0.120016743357766,0,0,0,0,0,0,0,0,0,0.253253683275472,0,0,0.0561765852430399,0,0,0,0,0,0,0,0,-0.0553518482232476,0,0,0,0.0397152402157053,0,0,0.309308679380923,0,0,0,0,-0.13601272899153,0,0,0.00344903931022753,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.485126733573598,-0.0259787138339138,0,0,0,0.397420828549927,-0.0224947605256159,0,0,0,0,0.0451933646991769,0,0,-0.0964972588005423,0.053018218059949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17788849493121,0.197341654502317,0,0,0,0,-0.0023679938271765,0,0,0,0,0,0,-0.0135432795929192,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0.221406228662976,0,0,0,0,-0.169642307389513,0,0,0,0,0.0905777405874328,0,0,0,0,0,0.13715966699114,0.281187763086642,0,0,-0.13067077078113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394332384491613,0,0,0.392105680778848,0,0,0,0.116814914428959,0,0.00226223462366401,0.0264248127171961,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0.468338529815186,0.0741445171733553,0.15418103777964,0.107880167531959,0,0,0,0,0.215909800628968,0,-0.0342438816646973,0,0,0,0,0,0,0.0575876726628794,0,0,0,-0.0282818147881165,-0.0917826047721422,0,0,0,0,0,0.00971400286178713,0,0,0,0,0,0,0,0,0,0,0,0.12108207427162,0,-0.0191625397324628,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.00155035794484171,0,0.049840327390126,0,0,0.0525698885087345,0,0.0296573915045004,0,0,0,0.0515091295995197,0,0,0.0896071838122407,0,0,0,0,0,0,0.0217785314986111,0,0.0576222615090748,0,0,0,0,0,0,0,0,0,0,0.258378813764944,0,0.0523869842631846,0,0.0794437353479824,0,0,0,-0.0143804514086425,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.38395753642118,0.243492723197677,0.0465334284130439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138534187787428,0,0,0,0,0.142532786443473,0,0,0,-0.0380593803722717,0,0,0,0,0.104349250794774,0,0,0,0,0,0,0,0,0,0.0740191687228195,0.0713726948950731,0,0.0186679217377833,0,0,0,0,0,0,0
