,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600309.SH,X601898.SH,X600688.SH,X601600.SH,X601992.SH,X600795.SH,X300072.SZ,X600660.SH,X600188.SH,X601991.SH,X600362.SH,X002466.SZ,X600886.SH,X600547.SH,X600027.SH,X000709.SZ,X600111.SH,X600157.SH,X000898.SZ,X000959.SZ,X600339.SH,X002460.SZ,X600489.SH,X601158.SH,X002271.SZ,X600299.SH,X000723.SZ,X000883.SZ,X600808.SH,X600516.SH,X600176.SH,X600219.SH,X600352.SH,X000630.SZ,X600008.SH,X000792.SZ,X600578.SH,X000408.SZ,X000539.SZ,X000983.SZ,X002092.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.106966802056207,0,0,0,0,0,-0.0111808863411006,0,0,0.166174605548172,0.0106628347923266,0,0,0,0,0,0,0,0,-0.058601601208247,0.00774905469246402,0,0,0,0,0,-0.0259916786032307,-0.00560645141908358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138659244548996,0,0.0340931292395139,-0.0291087221251915,0,0,-0.0138401317911576,0.00549027186178739,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0766206237240344,0,0,-4.33680868994202e-19,0,0,0,0,0,-0.0827859491400964,0,0.0269315236282206,0,0,0,0,-0.127702320738956,0,0,0,0,0.0193600520783953,0,-0.030795024199205,0,-0.102862880009481,0,0.0444436090747692,0,-0.0176356585518306,0,0,0,0.0633698202913189,0,0,0,0,0,0,0,0,0,0,0,0,0.000761352298404782,0,-0.105608847622851,0,0,0,0,0
X601088.SH,0,0,0,0.0321571365378449,0,0,0,0,0,0,0.0404305790763409,0,0,0,0,0,0,0.0187988658651895,0,0,0.0243617200784044,0,-0.0610272866645835,0,0,0.0324484949358962,0.0246732005569805,-0.00234799601235747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131137568008972,4.33680868994202e-19,0,0,0,0,-0.0105448499004121,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0539121070598471,0,0,0.0101382602781074,0,0.0582848394727353,0,0.14084278385018,0,0,0,0,-0.0070823099881818,0,0,0.300063545527634,-0.0851941475344691,0.00096928998859497,0,0,0,0,0,0,-0.0388010717586142,0.34983304068828,-0.0898793249908293,0,0,0,0,0,0,0,0,0,0,0,0.0353457541575893,0,-0.00312311643518768,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0370537140711463,0,0,0,0,0,0,0.222098658429393,0,-0.0684154788679454,0.0432948527397689,0,0.705154537451481,-0.0929198593111406,0,0,0,0,0,0.00993180884414051,0,0.00638244005692901,0,0,0.0551804116300152,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0485206120274033,0,0,0.166693955748606,0,0.0649196226088779,0,0,0,0,-0.0220905105253169,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0346998268004048,0,0,0,0,0,0,0,0,0,0.209802896607885,0,0.109639638012278,0,0,0.292426084400258,0,0,0,0,0,0.0552104001702317,0.0299751559815147,0,0,0,0,0,0,-0.0835559230447042,0,0,0,0,0,0,0,0.0231820313692576,-0.0621991795115564,0,-0.0607856227418335,0,0,0,0.0169349492350293,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,-0.00452139172791314,0,0,0.103784498532949,0,0,0,-0.0780780823431675,0,0,0,-0.0673607660213933,0,0,0.00159110060885962,0.00571926660855522,0.120485513008175,0,0.199660343254911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821772007064698,0.106467982671393,0,-0.0330204449056073,0,0,0,0,0.028018286923355,0,-0.00276560961536622,-0.0243391885458736,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0187012346043083,-0.00147441585351979,0,0.19323533870006,0.247746790388009,0.309448388027893,0,0,0,0,0,0,0.0185611828361812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.147542264773235,0,0.0258207305511497,0.113431937218948,0,-0.196948008793224,0,0.0136128419390654,-0.137822270308706,0,0,0,0,0,0
X601898.SH,0,0,0,0.173176094667656,0,0,0,0,0,0,0,0,0,0.0119973632961662,0,0.0795920692331244,0,0,0,0,0,0,0,0,0,0.358142468155016,0,0,0,0,0,0,0,0,0,0,0,0.099472865597382,0,0,0,0,-0.0173531263624517,0.0157059717870641,-0.0338732779230895,0.0327593136043583,0.107148761531973,0,0.113545776613743,0,-0.00337611546518416,0.0195601196777159,0,0,0,0,0,0
X600688.SH,0,0,0,0,0.11625093652846,2.16840434497101e-19,0,0,0,0,0,-0.0169994848680054,-0.0531592899326855,-0.0335614459016092,0.0314385069558401,0,0,0,0,0,-0.0749299290873253,0,0,0,0,0,0,0,0,0,0,0.0489599174673989,0,0,0,-0.0582375171816765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0081586930308923,-0.0372268376789602,0,0,0,0,0,0
