,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X600585.SH,X002460.SZ,X000792.SZ,X601898.SH,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X000877.SZ,X600886.SH,X601600.SH,X600547.SH,X600795.SH,X002271.SZ,X601991.SH,X600426.SH,X600027.SH,X600803.SH,X000983.SZ,X600176.SH,X600362.SH,X601699.SH,X000408.SZ,X000786.SZ,X000723.SZ,X600096.SH,X000629.SZ,X600348.SH,X600219.SH,X600141.SH,X000933.SZ,X600995.SH,X600160.SH,X002353.SZ,X600985.SH,X600801.SH,X600157.SH,X002080.SZ,X300073.SZ,X600489.SH,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.189245192015721,-0.0694194508645502,0,0,0,0,0,0,0,0,0,0,0,-0.00659802052839158,-0.0429384259807216,0,0,0,0.121822139951445,0,0,0.0840378384285885,0,-0.0245522655048952,0,0,0,0.0290175179913097,0,0,0,0,0,0,0,0,0,0,0,0,0.0403031577008785,0,-0.0162951974936807,-0.00372287092904431,0,0,0,-0.0717105311338709,0,0
X601088.SH,0,0,0,0,0.271513607880773,0.183957720315073,0,0,0,0.300411025783246,0.220947956119261,0,-0.0301037298701153,0,0,0,0,0,0,0,0,0,0.0337828216514291,0,0,0,0,0.11759565134685,0,0,0,0.0313682831915251,0,0,0,-0.141510607612692,0,0,0,-3.46944695195361e-18,-0.121933786612353,0,0,0,0.0512811112411264,0,0,0,0,0,0,0,0.0414469216876765,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0788185727632505,0,0,0,0.00393247779244235,0,0,0,0,0.0485680670633665,0,0,0,0,0,0,0,0,0,0,0,0.0326049466747056,0.00227628005817391,0,0,0,0,0,0,0.00420875232487818,-0.00391525184934113,0,0,0,0,0,0.00242634716951573,0,0,0,0,0,0,0.0747466295746197,0,0.0210278493870409,0,0,0,0,0,0,0
X600309.SH,0,0.145446868423055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305077352543796,0,0,0,0,0,0.00916800591438723,0,0,0.0270951452046573,0,0.0189433125149639,0,0,0.0470733200566792,0,0,0,0,0,-0.0466693847660157,0,0,0,0.0654220179543551,0.0940093384188481,0,0.0227225942722309,0,0.0780684439722333,0,0,0,0,0,-0.02547662244764,0,0,0,0,0,0,0
X600188.SH,0,0.15084677909157,0,0,0,-0.0227555983498972,0,0,0,0.601489421679185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00782653600634496,0,0.0705443447190834,0,0,0,0,0,0,0,0.0193523472569667,0.0513890303568686,0,0,0.106501036775292,0,0,0,0,0,0,-0.0476945133220056,0,0,0,0,-0.130545356382409,0,0,0,0,1.73472347597681e-18,0,0
X002466.SZ,0,0,0,0,0,0,0,0.525813538891346,0.251612719390492,0,0,0,0.0235543052112685,0,0,0,0,0,0,0,0,0,-0.0205771428727119,-0.0592068707458621,0,-0.0863616579011136,0,0,0,0,0,0.331642888144434,0,0,-1.38777878078145e-17,-0.140648372639043,0,0,-6.93889390390723e-18,-0.0631391292851939,-0.0424986862847896,0,0.16287532134992,0,0,0,0.119326134629874,0,0,0,0,0,-0.00651952545173226,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115131701704947,0,0,0,0,0,0,0,0.0956856331289168,0,0,0,0,0,0,0,0,0,0.017396080611971,0.0126473544355403,0.024027726304719,0.0281281293645505,0,0,0,0,0.0541434396874208,0,0,0,0,0.394971220891846,0,0.0390695851359428,0,0,0,0,0.0547981651884226,0.0125791256445832,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.345884914083347,-0.216438571150378,0,0,0,0,0,0.1175425587658,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167516263177895,0,0,0,0,0,0,0.12422101913096,0,0.0817171193703869,0.043068209188858,0,0.087780526950955,0.0733685995500197,0,0,0,0,0,0,0,0,0,0,0,0.0305316966104887,-0.0791588712747414,0,0,0,0,0,0
X000792.SZ,0,0,0,0,-0.00147501522768018,0.055008427703572,0,0.189750805655374,0,0,0.128785737117422,0,0,0,0,0,0.0531492760336026,0,0,0.123522181774072,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.279093835174792,0,0,0,0,0,0,0,0,0,0,0,0,0.0365570914664662,0,0,0,0,0,0,0.00191358541834455,0.0184765877824074,0,0,0,-0.0715307113442928,0,0
X601898.SH,0,0.027738565464879,0,0,0.0777611118500836,0,0,0,0,0,0.0393773483458089,0,0,0,0,0,0,0,0,0,0,0,-0.0643845958581534,0,0,0,0,0.365004007523765,0,0,0,0,0,0,0.102184030740731,0,0,0.0476914494964282,0,0.0130947237656762,0,0,0.238546961955084,0,0,0,-0.0268763299219416,0,0,0,0,0,-0.0394077935960769,0,0,0,0,0,0
