,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X000708.SZ,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X002271.SZ,X600516.SH,X002466.SZ,X000786.SZ,X600489.SH,X000898.SZ,X600176.SH,X002460.SZ,X600299.SH,X601158.SH,X000883.SZ,X000709.SZ,X600426.SH,X002353.SZ,X600612.SH,X000629.SZ,X600219.SH,X600583.SH,X600315.SH,X000027.SZ,X000630.SZ,X000792.SZ,X600985.SH,X000553.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0438198037282794,-0.0210469385284139,0,0,0,0,0,0,0,0.0180516929953971,0,0,0,0.0711032119546878,0,0,0,0.0290626186143477,0.0142940536152734,0,0,0,0,0,0.0897666073097743,0,0,0,0.0354054007259855,0.0327793069044317,0,0,0,0,0,0,0,0,0,0,0,0,-0.0084231108392969,0,0,0,0,0.0283124252623686,0,0
X600028.SH,0,0,0.0227277625049169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424902667118387,0,0,-0.0103023519575478,0.102755030886469,0,0,0,0,0,0,0,0,0,0,0.0207067573413542,0,0,0,0,0.0446166094268339,-0.0255896048452025,0,0,0,-0.0703491444958663,0,0,0,0,0,0,0,-0.00372997072933338,0,0,0.299520084174641,0,-0.0030793927792587,0,0
X601088.SH,0,0,0,0.203263945712014,0,0,0,0,0,0,0,0,0,0,0,0,0.123869940986708,0,0.0847654841143793,0,0,-0.0618119123301549,0,0,0,0,0,0.0157148218353579,0.136303201205282,0,0,0,0,0.01710778666485,0,0.151452649289107,0,0,-0.0954368064578063,0,0,0,0,0,0,0,-0.0573470420414424,0,0,0,0,0,-0.00653022199016818,0,0,0,0.0298332579174037,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268835687735452,0,0,0,0.0797440390310725,0,0.59816971560735,0,-0.0400809532525837,0,0,0.0196740980622336,0,0,0,0,0,0,-0.0672584309157868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00316189886777802,0,0,0,0,-0.00112568725855401,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714259548241103,0,0,0,0,0.0538433665615414,0,0.0719274123951428,0,0.0433458872097384,0,0,0,0.122529419236638,0,0,-0.117088702096703,0,0,0.0899453165268545,0,0,0,0,0.0875297634619909,-0.0438052245815905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00439870603966203,0,0
X600019.SH,0,0,0.161001512358613,0,0,0,0,-0.052870824170157,0.0868734368153963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,-0.00437856924502819,0,0.000683334436350619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0920093909699503,0,0,0,0,0.00148063498576923,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.204668531835284,0,0,0,0.103757357603345,0,0,0,0,0,0,0,0,0,0.110788165522608,-0.0456894340417536,0,0.768203081017647,0,0,0,0,0,0,0,0,0.149327403250851,0,0,0,0,0,0,0,0.158255766007487,0,0,0,0,-0.000628265596171629,-0.0210994551535581,0,0,0,0.0958528979917334,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0706040953110725,0,0,0,0,0,0.209370163893274,0,0,0,0.0841820038265644,0.125161681908755,0,0.0344010640442041,0,0,0,0,0,0,0,0,0,-0.094292872928317,0.080724678385869,-0.00818588626574247,0,0,0,0,0,0,0,-0.177798522351463,0,0,-0.0168620122805923,0.0127878600671621,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0540919200609674,-0.00884444531555187,0,0.0990355430380231,0,0,0,0,0.0123436325660744,0,0,0,0,0.0245594631971679,0.0430282188158251,0,0,0,0,0,0,0,0,0,0.00896278786291957,0.120844208973341,0,0,0.197841308732094,0.0780407569535682,0.0333444172174887,0,0.00923652132440049,0,0,0,0,-0.0229610293931981,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368270205292519,0,0,0,0,0.0141906096376178,0,-0.138359856106392,-0.0418986643467786,0,0,0,0,0,0,0,0,0,0,0,0.0997772081066821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133406496266635,0,0.300114208972043,0,0,-0.0178328942544121,0,0,0,0.0389182933791703,0,0
