,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X600111.SH,X601991.SH,X600027.SH,X600157.SH,X600362.SH,X600188.SH,X600886.SH,X600623.SH,X002466.SZ,X601992.SH,X600547.SH,X600660.SH,X600299.SH,X600309.SH,X000792.SZ,X600489.SH,X601158.SH,X300072.SZ,X600583.SH,X000883.SZ,X000709.SZ,X600549.SH,X600352.SH,X000898.SZ,X002075.SZ,X000723.SZ,X000539.SZ,X000027.SZ,X000630.SZ,X002460.SZ,X002470.SZ,X002407.SZ,X000983.SZ,X000012.SZ,X600021.SH,X600176.SH,X600098.SH,X000060.SZ,X000761.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600299.SH,0,0,0,0,0,0,0,0.298738439836758,0,0,0,-0.0472008639783277,0,0,0.0602256100799655,0,0.131662410920298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0590012942682338,0,0,0.0528576107874791,0.186652705140096,0,0,0.0229186710645515,0,0.0975285499192763,0.0615604124782797,0,-1.0842021724855e-19,0,0,0.297295035571525,0,0,0,-0.114955206357295,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.29818740496296,0,0,0,0,0.082719962553905,0,0,0,0,0,0,0,0,0.0543155941569429,0,0,0,0,0.0340154618169839,-0.076728066689644,0,0,0.149927101529459,0,0,0,0.0625979910216731,0,0,0,0,0,0,0,0,0,0.0912115849141709,0,0,0,0,0,-0.0207989498398929,0,0,0.00735583825144551,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0825184988672114,0,0,1.0842021724855e-19,0,0,0,0.0716741898911153,0.0523521868151598,0.0321446728423449,0,0,0.00353777489846932,0,0,0,0,0,0,0,0,0,0.185860878860827,0,0.0491280191828574,0.0150276260755421,0,0,0,0,0,0,0,0.176385738293961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176134976396277,0,0,-0.0824879703446671,0,0.502364615321284,0,0,0,0,0,0,0,0,0,0,-0.0249929007199211,0,0,0.0338183953728399,0,0,0,0,0,0,0,0,0,0,0,-0.00219008077770002,0.0211117405648564,0,0,0,0,0,0,0,0,0,0
X601158.SH,0,0,0,0,0,0.0446353382460369,0,0.0454455209415332,0,0,0,0,0,0,0,0,0.123205521612711,0,0.0199044104430735,0.0252905899535559,0,0,0,0,0,0,0,0,0,0,0,0,0.00479384074732882,0,0,0.150480179947861,0,0,0,0,0,0,0.0231371914927068,0.0111383226291742,0,0,0.082211259525211,0.203650864050286,0,-0.00755592470134926,0,0,0,0,0,0,0,0,0
X300072.SZ,0,0,0,0,0,0,0,0.0792380019610094,0,0.247369952722815,0,0,-0.113199062086722,0,0,0,0.00835969465767628,0,0,0.105939549043965,0,0.0586055130118389,0,0,0.0188449140617429,0,0,0.186807618329455,0,0,0,0,0,0,0,0,0.0210351359409163,0,0,0,0,0,0,0,0,0,0.339833163536187,0,0,0,0,0.0141528396611109,0,0,0,0,0,0,0
X600583.SH,0,0,0,0,0,0,0,0.0311890359875047,0,0,0,0.0114067480047796,0,0,0,-2.16840434497101e-19,0.0799801256949805,0,0,0,0,0,0,0.0318560901196329,0.390640059114219,0,0.0310263195112919,0,0,0,0,0,0.00324603207183823,0,0,0,0,0,0.0746134366045927,0,0,0,-0.0192854583668014,0.00397080232587915,0.127394351641796,0,0,0,0.0416058985543291,0,0,0,0,0,0,0,0,0,0
X000883.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000807161880537428,0,0,0.0786568993909154,0,0,0,0,0.00159042495913377,0,0.0592283512529701,0,0,0.0453318789548751,0,0,0,0,0,0.0165344442378229,0.0958370387548488,0.100374721038692,0.230268074447877,0,0,0,0,0,0,0,0,0,0,0
X000709.SZ,0,0,0,0,0,0,0.0980334397635986,0,0,0,0,0,0,0,0,0,0.00720907100143016,0,0.0409864080448139,0,0,0,0,0,0,0,0,0,0.0775003091695591,0,0,0,0.105545453579585,0,0.353141121649614,0,0,0,0,0,0,0,0,0.0846446816851619,0,0,0,0,0.0145557679664461,0,0,0,0,-0.0646145255211239,0,0,0,0,0
X600549.SH,0,-0.136496719473642,0,-0.0173771366424596,0,0,-0.188258933735685,0,0,0,0,0.33660722682624,0,0,-0.00666935729235883,0,0.334339688449558,0,0.030305542086454,0,0,0,0,0,0,0,0,0,0.185457440266334,0,0,0,0,0,0,0.0507176236655589,0,0,0,0,0,0,-0.0168148569214187,0,0,0,0,0,0.242567852557638,0,0,0,0,0,0.109474892473304,0,0,0,0
