,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X002460.SZ,X002466.SZ,X000792.SZ,X601898.SH,X600547.SH,X601600.SH,X600111.SH,X600660.SH,X000301.SZ,X000708.SZ,X600010.SH,X002271.SZ,X600886.SH,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X601699.SH,X600803.SH,X600176.SH,X600027.SH,X000983.SZ,X601991.SH,X600489.SH,X600160.SH,X000807.SZ,X000786.SZ,X600995.SH,X000629.SZ,X600378.SH,X002080.SZ,X000933.SZ,X000723.SZ,X600219.SH,X600096.SH,X000932.SZ,X000408.SZ,X600688.SH,X300037.SZ,X600157.SH,X000630.SZ,X600141.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.195388107282234,0,0,0,0,0,-0.00148506233496432,0,0,0,0,-0.0538390481277069,0.0997257953081508,0,0,0,0,0,0.103972312091614,0,0,0,0,0,0.0650006597573532,0.0135149512093097,0.0583335592314617,0,0,0,0,0,0,0.0239805803592016,0,0,0,0,0,0,0,-0.03078899101594,0,0,0.0635490779432397,0,0,0,0,0,0.0441319596983677,-0.0598111420789284,0,0,0,0,0,0
X600028.SH,0.325303879753701,0,0.24504399396517,0.104964377048862,-0.100011598036484,0,0,0,0,0,0,0.132231581495353,0.110256969913188,0.0201068366553193,0,0,0,0,0,0,0,0,0.0500144809185092,0,0,0,0.0495709367285562,0,0,0,0,-4.33680868994202e-19,0.0225923744101298,0,-0.0125177037731857,0,0,0,0,0,-0.0304525819615613,0,0,0,0,0,0,0,0,0,0,0.0181636115053272,-0.0302407225917322,0,0,0,0,0,0
X601088.SH,0,0.249802452908772,0,0,-0.123259091366603,0,0,0,0,0,0,0.112167788974693,0,0,0,-0.119818264093467,0,0,0,0.0108630079861449,0,0.0477555470238074,0,0,0,0.117248017464528,0,0,0,0,0.195084680927898,0,0,0,0.0398921450052354,0,0,0.0191522641678639,0,0.111041983914737,0,0,0,0,0,0,0,0,0.0742311298774044,0,0,0.00663728205411665,0,0,0,0,0,0,0
X600309.SH,0,0,0.00892349417240192,0,0.0514691865803533,0,0.138990839510474,0,0,0,0,0,0,0,0,0,0.0186466136252304,0,0.0767823679408461,0,0,0,0.321339221134576,0,0,0,0,0,1.73472347597681e-18,0.0226691360437797,0.114704164682499,0,0,-0.0553972560769728,0,0,0,0,0,0,0,0,0,0,0,0.0798101664372422,0,0,0,0,-0.114713072795836,-0.0241678964549101,0.0278576213044473,0,0,0,0,0,0
X600188.SH,0,0,0.412045055093586,0,0,0,0,0,0,0,0,0,0.0282173213534417,0,0,-0.114542046435688,0,0,0,0.0730378639725502,0,0,0,0,0,0.130075717930457,0.0486870581532906,0,0,0.120603560182569,0,0,0,0.135535015460831,0,0,0,0,0,0.135752453839682,-0.336248054441995,0,0,0,0,0,0,0,0,0,0,-0.0500261845304202,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.00711939788012158,0,0,0,0,0,0,0,0,0,0,0,0.116226832860056,0,0,0.0638580360209945,0,0.422262579272655,0,0,0,-0.00897858769285211,0,0,0.011101365086127,0,0.0159867464647543,0,0,0,0,0,0,0,0,0.100482160425813,0,0,0.0737489555132118,0,0,0,0,0,0,0,0.0272804971059011,-0.00158072115418964,0,0,0,0,0,0,0
X600019.SH,0.0678634444890288,0.0364521833956587,0,0,0,0,0,0,0,0,0,0.00415379510340303,0,0.088945341186169,0,0,0.301884357725134,0,0,0,0,0.242242048979663,0,0,0,0,0,0.192789265693776,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.122534664218407,0,0,0,0,0.0623206954767629,0,0,0,0,0,-0.00532843060356789,0.0452058680416696,0,-0.0297063532090325,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0207290678997083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.189931474540337,0,0,-0.01913727269634,0,0,0,0.0219900065219598,-0.086290476860288,0.494094081326297,0,0,0,0,0,0.238108414141314,0,0,0.119335175509674,0,-0.0624190474206653,0,0,0,0,0,0,-0.0467720874552917,0,0,0,0.0272965141166085,-0.0164526020311391,0,0,0,0,0,0,0
X002460.SZ,-0.0269225351655444,0,0,0,0,0,0,0,0,0.618240322316813,0,0,0.0361694846170828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366436836781883,0.0515807272464424,-0.0802421181416424,0,0,0,0,0,0,0,0,0,0.183338711366749,0,0,0,0.0170248743472746,0,0,4.33680868994202e-19,0.0267711526198871,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.535612426424234,0,0,0,0,0,0.0190254284296154,0,0,0,0,0,0,0,-0.0430736224138547,0.136768578464858,0,0,0,0,0,0,0,0,0,0,0,0,0.0585602075428879,0.0459516849845322,0.0220600499051506,0,0,0,0,0,0,0,0.00183440313650993,0,0,0,-0.0193600302999992,-0.0126140673420267,0.00704916839317187,0,0,0,0,0,0
