,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X600309.SH,X601600.SH,X601898.SH,X600188.SH,X002466.SZ,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X601992.SH,X002460.SZ,X601991.SH,X600547.SH,X000898.SZ,X600111.SH,X600886.SH,X600516.SH,X600176.SH,X600352.SH,X000709.SZ,X000786.SZ,X000825.SZ,X002271.SZ,X600027.SH,X000792.SZ,X000553.SZ,X601699.SH,X600299.SH,X000408.SZ,X600808.SH,X601158.SH,X600219.SH,X600489.SH,X000959.SZ,X000932.SZ,X000883.SZ,X002110.SZ,X000630.SZ,X000983.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.410566631707755,0,0,0,0,0,0,0,0,0,0,0.146890447980964,0,0,0,0.231955071200395,0,0,0,0,0,0,0,0,0,0,0,0,0.0763144412241671,0,0,0,0,-0.0210768076692348,0,0,0,0,0,0,0,0.0449698088460116,0,0.000387193978558228,0,0,0,0,-0.00352004336002839,0.00605790747471137,0,0,0,0,0,0
X600028.SH,0.48625475174118,0,0.185960485377801,0,0,0,0,0,0,0,0,0,0,0.0822932836265003,0,0,0,0,0,0,0.222218556570212,0,0,0,0,0,0,0,0.0733647505876918,0,-0.0125414387242947,0,0,0.0342114581736981,0,0,0,0,0,0,0,0,-0.134470091550228,0,0,0,0,-0.0360012987133065,0,-0.0109633409050368,0,0,0,0,0,0,0
X601088.SH,0,-3.46944695195361e-18,0,0.351567961430472,0.103195905545169,0,0,0,0,0,0,0,0,0,0,0,-0.0510354768397222,-0.0412494742155157,0,0,0.0521570739877409,0.0360481973599689,0,0,0,0,0,0,0,0,0,0,0,0,0.126076481861608,0,0,0,0,0,0,0,0,0,-0.0326114026829747,0,0.121382833203109,0.0288715021308543,0,0,0.00161013454970903,0.108756071857141,0,0,0,0,0
X600019.SH,0,0,0,0,0.384259409253255,0,-0.126320186218885,0,0,0,0,0,0,0,0.126306267830244,0,0,0,2.16840434497101e-19,0,0,0.460525328002995,0,0,0,0,0,0,0,0.0147225047104719,0,0,-0.133316010302752,0,0,0,0,0,0,0,0,0,0.0632320332366318,0,0,0,0,0,0,0,0.0108892792800093,0.0500852599586931,0,0,0,0,0
X600585.SH,0,0,0,0.171027579248765,0,0,0,0,0.0213180166885314,0,-1.38777878078145e-17,0,0,0,0,0,-0.0306473776424509,0,0,0,0,0,0,0,0,0.18913954870265,0,0,0.272107151481506,0,0,0,-0.226786635848757,0,0.281091563080609,0,0,0,0,0,0,0,0.116492764875343,0,0,0,0,0,0,-0.00702433159771696,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,-0.0203368117898079,0,0,0,0,0,0,0,0,0,0,0,0,0.0173186507692534,0.0320239230019526,0,-0.0602687213851998,0,0.0147842291611327,0,0,0,0,0.117644164944036,0,0.228893576381542,0,0,0,0,0,0,0,0.0438756408408642,0.0446610333957869,0,0,0,0.210685362966219,0.0357041733225174,0,0.0333510729958419,-0.0355338170744593,0,0,0,0,0,0
X600011.SH,0,0,0,-0.0825380674975916,0,0,0,0,0,0.022760209316492,0,0,0,0,0,0,0.111136979284067,0,0,0,0,0,0,0,0.0591844213882668,0,0.0163731972266483,0,0,0,0,0.172256637193728,0.0646303505219354,0.124714135397933,0,0,0,0,0,0,0,0.0711484576418627,0,0,-0.00578802054688468,0,0,0,0,0.0011585854314087,0,0,0,0,0,0,0
X600309.SH,0,0,0.0658793760924523,0,0,0,0,0,0,0,0,0.000339214194937137,0,0,0,0,0,-0.0265377560407014,0,0,0,0,0,0,0.0110488142311836,0.01485951790148,0,0,0.0254946182173512,0,0,0,0,-0.025803335000957,0,0,0,0,0,0,0,0,0,0,-0.0776656274604421,0,0,0.0246173263848205,0,0,0.0217018934532139,0.0169196717832692,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.232196996420233,-0.05625477696395,0,0,0,0,-0.416205771051732,-0.227432331654644,0,0,0,0,0,0,-0.0656229655798355,0,0,0,0,0,0.302538948411328,0,-0.196072890130405,0,0.14984277370148,0,0,0,0,0,0,0,-0.214975451403471,0,0,0,0,0,0,0.232462117712603,-0.349192734804471,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0938174812506021,0,0,0.0800529746417667,0,0,0.0753981862169903,0,0,0,0,0,0.0688723010408459,0,0,0.00529947503016277,0,0,0.126815557296409,0,0.137880757467856,0,0,0,0,0,0,0.112563019740994,0,0,0,0,0.236871315413774,0,0,0.000897117258790991,0,0,0,0,0,0,0
