,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X600019.SH,X000792.SZ,X601898.SH,X600011.SH,X600111.SH,X000301.SZ,X600660.SH,X002271.SZ,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X000877.SZ,X600795.SH,X600426.SH,X600362.SH,X000983.SZ,X601699.SH,X600176.SH,X600027.SH,X600803.SH,X601991.SH,X000786.SZ,X600995.SH,X000807.SZ,X000408.SZ,X600160.SH,X000629.SZ,X600378.SH,X600489.SH,X600219.SH,X600096.SH,X000723.SZ,X002080.SZ,X000933.SZ,X000831.SZ,X600348.SH,X000630.SZ,X300037.SZ,X600141.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.30205244365943,0,0,0,0,0,0,0,0,0,0.075439998197613,0,0,0.00555478024353688,0,0,0,0,0,0,0,0.0453569231393986,0,0.099653278953014,0,0,0,0,0.166189323962025,0.082969293811032,0,0,0,0,0,0,0,0,0,0,0,0.0043030409636143,0,0.016725491643287,0,0,0,0,0,-0.00260711080184612,0.00619253404690609,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.459951224312437,0,0,0,0,0,0,0,0,-0.00149789212547503,0,0,0,0,0,0,0,0,0,0.00367535059405246,0,0,0,0,0,0.0926143167512184,4.33680868994202e-19,0,0,0,0.0897966913721284,0,-0.0356669327181164,-0.0494415714015886,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278478159155514,-0.0143877501478313,0,0,0,0,0,0,0
X600028.SH,0.31955182100644,0,0,0,0.00419925822995759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0988056745413776,0,0,0,0.00718519234042463,0.149316337132824,0,-0.0252364665499484,0,-0.00380091958483753,0,0,0,0,0,-0.0437635770375808,0,0,0,0.04127105200404,0,0.0396428765023661,0,0,0,0,0,0.011150533339136,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0780897689069854,0,0,0.129908084837738,0,0.0472357074044734,0,0,0.235196116324537,0,0,0,0,0.0636487922468727,0,0,0,-0.0959327116001819,0,0,0,0.0176240659514428,0,0,0,-0.0358268395699726,0.261251599602461,-0.00913709895499086,0,0,0,0,0,0,0,0,0,-0.0381724202862407,0,-0.0219357777859686,0,0,0,0,0,0,0.0290858880497494,-0.0169660979673089,0,0,0,0,0,0
X600188.SH,0,0.670588741863633,0,0,0,0,0,0,0,0,0.0246250782531534,0,0,0.048114229373001,0,-0.0671657430728464,0,0,0,0,0,0,0,-0.0565304101725355,0,0.0518398549106611,0,0,0,0.0251403073236556,0,0,0,0,0,0,0,0,0,0,0.0205030080818153,0,0,0.345633829809364,0,0.00650637926485606,0,0,0,0,-0.0272323071850612,-0.00135918878144184,0.0178228776150697,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.59457788688664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378034753020424,0,0,0.0302251793957307,0,0,0,0,8.67361737988404e-19,0.113647636184625,0,0,0,0,0,0.0655036032458322,0,0.00821090560312731,0,0,0,0,0.0557487617144068,0,0,0.0169024178706212,0.00639638259613803,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226824567294759,0,0,0,0,0.403079422465576,0,0,0,0,-0.0201814608003576,0,0,0,0,0.158860096263134,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0679577457793354,0.0984005574164415,0,0,0,0,0,0,0.0865048542833225,-0.00408337457818006,0.0064502778820934,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.855485875023761,0,0,0,0,-0.134060594221122,-0.0221108544031603,0,0,0,0,0,-0.0214618034673532,0,0,0,0,0,0,0,0.0981905512886344,0.0531361167473435,0,0,-0.0738682078891976,0,-0.166053481737534,0,0.0518680763659063,0,0,0,0,0,0,0,0,0,0.0855377527374324,0,0,0,-0.0234326870641154,0,0,-0.0719263478646972,0.00107196192530705,0.000130231334460369,-0.0552333400981507,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0371737220625389,0,0,0.218789702377867,0,0,0,0,0,0,0,0,0.142261770011875,0,0,0,0,0,0,0,0,0.0475800218121441,0,0,0.134068759703682,0,0,0,-0.102777882351816,0,0,0,0,0,0,0,0,0,0,0.0965991217322584,-0.0213500639815192,0,0,0,0,0.00508199114887743,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.36615327202338,0,0,0,0,0,0,0.0806921637231829,0,0,0,0,0,0,0,0,0.00290474602762195,0,0,0,0,-0.0357043661692343,0,0,0,0,0.0479419013564817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242962416830698,0,0.131438525722392,0.0221942341369547,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.266120044064463,0,0,-0.0685219794726723,0,0,0,0,0,0.0181914545495435,0,0,0,-0.0119941937615728,0,0.0420372301605848,0,0,0,0,0,0.0973261369369607,0.177372343609052,0,0,0.0850455140395147,0,0,0,0,0,0,0.0547825686390694,0,0,0,0,0,0,0.0806753273218595,0,0.0405319364623145,0,0,0,0,0,-0.0171438606618839,0,0,0,0,0,0,0
